Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADSK,ADSK,ADSK,ADSK,ADSK,ADSK
Date,,,,,,
2000-01-03,8.05290412902832,8.34375,8.65625,8.03125,8.5,2845600
2000-01-04,7.660815715789795,7.9375,8.125,7.875,8.046875,3348800
2000-01-05,7.178245544433594,7.4375,7.765625,7.34375,7.75,4297600
2000-01-06,6.7409138679504395,6.984375,7.46875,6.90625,7.375,3856800
2000-01-07,7.540173053741455,7.8125,7.875,7.0,7.015625,6387600
2000-01-10,7.464022159576416,7.71875,8.03125,7.5,7.90625,1180800
2000-01-11,7.267601013183594,7.515625,7.8125,7.515625,7.625,934000
2000-01-12,7.146726131439209,7.390625,7.53125,7.203125,7.5,1117600
2000-01-13,7.071179389953613,7.3125,7.65625,7.265625,7.390625,1217200
2000-01-14,7.282710075378418,7.53125,7.53125,7.3125,7.351562976837158,1225600
2000-01-18,7.0862884521484375,7.328125,7.5,7.25,7.4375,1618000
2000-01-19,7.2978196144104,7.546875,7.65625,7.265625,7.273437976837158,3188800
2000-01-20,7.312929630279541,7.5625,7.773437976837158,7.46875,7.5625,1371600
2000-01-21,7.433804035186768,7.6875,7.71875,7.515625,7.59375,1968400
2000-01-24,8.128833770751953,8.40625,8.71875,7.78125,7.859375,8451600
2000-01-25,7.992848873138428,8.265625,8.53125,8.09375,8.351563453674316,2772800
2000-01-26,7.811537265777588,8.078125,8.3125,8.078125,8.125,3570000
2000-01-27,7.856865406036377,8.125,8.25,8.0,8.078125,2780400
2000-01-28,7.464022159576416,7.71875,8.078125,7.71875,8.0,1506000
2000-01-31,7.38847541809082,7.640625,7.78125,7.4375,7.65625,1864400
2000-02-01,7.6604437828063965,7.921875,8.0,7.46875,7.546875,698800
2000-02-02,7.7057719230651855,7.96875,8.125,7.65625,7.875,1245600
2000-02-03,7.977741718292236,8.25,8.3125,7.96875,8.0,3368000
2000-02-04,7.902193546295166,8.171875,8.296875,7.875,8.25,1589600
2000-02-07,8.838973045349121,9.140625,9.3125,8.171875,8.1875,11131200
2000-02-08,9.549114227294922,9.875,10.046875,9.1875,9.21875,12836800
2000-02-09,9.201595306396484,9.515625,9.828125,9.125,9.75,3866000
2000-02-10,9.216706275939941,9.53125,9.875,9.328125,9.578125,1761600
2000-02-11,8.914522171020508,9.21875,9.671875,9.140625,9.5625,1704800
2000-02-14,8.990067481994629,9.296875,9.703125,8.98828125,9.171875,3272000
2000-02-15,8.899412155151367,9.203125,9.3125,8.9375,9.28125,1969200
2000-02-16,9.00517749786377,9.3125,9.40625,9.140625,9.1875,2137600
2000-02-17,9.367802619934082,9.6875,9.78125,9.25,9.3125,3688400
2000-02-18,9.201595306396484,9.515625,9.78125,9.3125,9.640625,3000800
2000-02-22,8.733206748962402,9.03125,9.5,8.75,9.46875,3323200
2000-02-23,9.307363510131836,9.625,9.65625,9.1875,9.1875,3070800
2000-02-24,9.926846504211426,10.265625,10.53125,9.59375,9.59375,12784800
2000-02-25,11.603985786437988,12.0,12.25,10.75,10.75,18195200
2000-02-28,11.01472282409668,11.390625,11.875,10.96875,11.875,7662400
2000-02-29,10.803189277648926,11.171875,11.34375,10.875,11.25,8181200
2000-03-01,10.833410263061523,11.203125,11.390625,11.0,11.15625,4728400
2000-03-02,10.621877670288086,10.984375,11.421875,10.9375,11.15625,5231200
2000-03-03,11.105379104614258,11.484375,11.75,10.984375,10.984375,10904800
2000-03-06,11.377345085144043,11.765625,12.140625,11.4375,11.515625,5162000
2000-03-07,11.603985786437988,12.0,12.359375,11.75,11.75,12373600
2000-03-08,11.603985786437988,12.0,12.125,11.671875,12.03125,6500800
2000-03-09,12.163033485412598,12.578125,12.59375,12.03125,12.0625,10476400
2000-03-10,13.26601505279541,13.71875,14.015625,13.109375,13.375,10580800
2000-03-13,12.797623634338379,13.234375,13.3125,12.765625,13.125,6472800
