Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CLX,CLX,CLX,CLX,CLX,CLX
Date,,,,,,
2000-01-03,25.111698150634766,49.1875,49.875,48.75,49.75,721300
2000-01-04,24.441614151000977,47.875,49.0,47.5625,48.75,614000
2000-01-05,25.079771041870117,49.125,50.25,47.5,48.125,743400
2000-01-06,25.303138732910156,49.5625,50.5,47.0625,47.5625,1038500
2000-01-07,26.70710563659668,52.3125,52.875,49.1875,49.75,1013300
2000-01-10,26.4199161529541,51.75,53.25,51.375,52.8125,445400
2000-01-11,26.675182342529297,52.25,52.75,50.375,50.9375,882600
2000-01-12,26.64328956604004,52.1875,52.625,51.0,52.0,657500
2000-01-13,28.079145431518555,55.0,56.375,52.0,52.8125,2040300
2000-01-14,27.696247100830078,54.25,55.5,53.75,54.125,938500
2000-01-18,26.930463790893555,52.75,53.75,52.1875,52.875,733900
2000-01-19,26.515647888183594,51.9375,53.25,50.25,53.25,1142200
2000-01-20,26.547548294067383,52.0,53.5,50.625,53.5,851000
2000-01-21,25.845582962036133,50.625,52.0,49.875,52.0,1225200
2000-01-24,24.952152252197266,48.875,50.5625,48.5,50.5,1138800
2000-01-25,24.122543334960938,47.25,49.9375,45.9375,48.875,1151600
2000-01-26,24.40970802307129,47.8125,48.125,47.375,47.4375,579500
2000-01-27,24.223873138427734,47.25,49.75,46.75,49.75,1877800
2000-01-28,24.0316104888916,46.875,48.0,45.0,48.0,1265100
2000-01-31,24.48019027709961,47.75,48.375,46.875,46.875,1083400
2000-02-01,24.608366012573242,48.0,48.1875,47.125,47.6875,1054000
2000-02-02,24.768585205078125,48.3125,49.9375,47.875,47.9375,1077300
2000-02-03,23.9034481048584,46.625,49.1875,45.5,48.5,1224900
2000-02-04,22.49359130859375,43.875,46.75,43.1875,46.0625,1816500
2000-02-07,21.88479232788086,42.6875,43.375,41.8125,42.0,1296700
2000-02-08,23.070350646972656,45.0,45.5625,42.875,43.5,1128200
2000-02-09,22.974220275878906,44.8125,45.5,44.625,45.375,1096400
2000-02-10,21.46824836730957,41.875,44.5625,41.625,44.5625,853000
2000-02-11,20.763320922851562,40.5,41.875,39.5625,41.8125,1540100
2000-02-14,20.98760986328125,40.9375,41.125,39.6875,40.5625,913600
2000-02-15,21.0196590423584,41.0,41.625,39.6875,41.25,1114000
2000-02-16,20.827394485473633,40.625,41.6875,40.25,40.875,728200
2000-02-17,20.92353057861328,40.8125,41.5,40.3125,41.0,890100
2000-02-18,19.99430274963379,39.0,40.3125,38.25,40.0,1267400
2000-02-22,20.15451431274414,39.3125,39.75,38.5625,39.125,945100
2000-02-23,20.28267478942871,39.5625,40.5,38.9375,39.25,1225400
2000-02-24,19.898183822631836,38.8125,40.25,37.75,40.25,1066500
2000-02-25,19.12915802001953,37.3125,38.75,36.4375,38.5625,974700
2000-02-28,19.99430274963379,39.0,39.5,37.0625,37.125,967200
2000-02-29,20.731271743774414,40.4375,42.0,39.0,39.0625,1423100
2000-03-01,20.57105255126953,40.125,41.1875,40.0,40.9375,717000
2000-03-02,20.635143280029297,40.25,40.8125,40.0,40.25,659500
2000-03-03,21.11577796936035,41.1875,41.5,40.1875,40.625,851100
2000-03-06,20.539016723632812,40.0625,40.875,40.0,40.6875,673400
2000-03-07,18.584447860717773,36.25,38.5,34.5625,38.5,3258600
2000-03-08,17.110509872436523,33.375,36.375,31.5,36.1875,4021000
2000-03-09,17.334806442260742,33.8125,34.5,33.0,33.5,1583200
2000-03-10,15.316144943237305,29.875,32.5625,29.0625,32.5,4337100
2000-03-13,15.70064640045166,30.625,30.8125,29.5,29.875,2371300
2000-03-14,15.316144943237305,29.875,31.25,29.875,31.0,1388100
2000-03-15,17.20663833618164,33.5625,34.5,30.125,30.75,2451600
2000-03-16,18.776704788208008,36.625,38.25,33.8125,34.125,2741100
