Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CMS,CMS,CMS,CMS,CMS,CMS
Date,,,,,,
2000-01-03,13.642705917358398,29.5,31.0,29.5,30.9375,1615200
2000-01-04,13.816134452819824,29.875,30.0,29.5625,29.5625,456400
2000-01-05,14.191883087158203,30.6875,31.0,29.6875,29.8125,1842300
2000-01-06,14.076265335083008,30.4375,31.125,30.125,30.6875,366500
2000-01-07,14.394208908081055,31.125,31.25,30.625,30.875,531300
2000-01-10,14.191883087158203,30.6875,31.3125,30.4375,30.9375,257800
2000-01-11,14.567633628845215,31.5,31.5625,30.5625,30.5625,1471100
2000-01-12,14.480920791625977,31.3125,31.5,31.0625,31.3125,1518200
2000-01-13,14.625448226928711,31.625,32.0,31.3125,31.5625,492700
2000-01-14,14.42310905456543,31.1875,31.625,30.875,31.625,276700
2000-01-18,14.134078025817871,30.5625,31.0,30.4375,31.0,418900
2000-01-19,14.278595924377441,30.875,31.125,30.5,30.625,512300
2000-01-20,14.307497024536133,30.9375,31.125,30.3125,30.9375,391500
2000-01-21,14.509827613830566,31.375,31.625,30.625,31.0,567300
2000-01-24,14.452016830444336,31.25,32.0625,31.25,31.5,657300
2000-01-25,14.191883087158203,30.6875,31.3125,30.5,31.3125,714500
2000-01-26,14.076265335083008,30.4375,30.875,30.0,30.875,1105700
2000-01-27,13.873934745788574,30.0,30.6875,29.9375,30.6875,572300
2000-01-28,13.642705917358398,29.5,30.25,29.4375,29.75,514300
2000-01-31,13.873934745788574,30.0,30.375,29.3125,29.75,982200
2000-02-01,10.867916107177734,23.5,26.625,22.75,26.125,4026100
2000-02-02,9.88517951965332,21.375,23.0,20.3125,23.0,6256700
2000-02-03,10.145318031311035,21.9375,22.3125,21.0625,21.1875,5044000
2000-02-04,9.582144737243652,20.375,22.0,20.125,21.875,3314200
2000-02-07,9.552754402160645,20.3125,20.5625,20.0625,20.375,698100
2000-02-08,9.552754402160645,20.3125,20.6875,20.25,20.375,807100
2000-02-09,9.376398086547852,19.9375,20.375,19.8125,20.3125,1282000
2000-02-10,8.817930221557617,18.75,19.9375,18.0625,19.9375,2792300
2000-02-11,8.759142875671387,18.625,18.8125,18.0625,18.8125,1121200
2000-02-14,9.023673057556152,19.1875,19.375,18.625,18.75,714400
2000-02-15,9.111857414245605,19.375,19.75,19.25,19.5,746200
2000-02-16,8.788532257080078,18.6875,19.3125,18.5,19.125,920000
2000-02-17,8.641570091247559,18.375,18.6875,18.0,18.6875,1281500
2000-02-18,8.61217212677002,18.3125,18.5,17.9375,18.3125,907200
2000-02-22,8.582784652709961,18.25,18.375,17.9375,18.3125,685400
2000-02-23,8.25946044921875,17.5625,18.4375,17.5,18.4375,1077400
2000-02-24,7.994924068450928,17.0,17.6875,16.875,17.6875,697500
2000-02-25,7.730383396148682,16.4375,17.0,16.1875,17.0,757300
2000-02-28,7.7597761154174805,16.5,16.6875,16.0625,16.6875,816200
2000-02-29,7.877343654632568,16.75,16.9375,16.5625,16.625,914200
2000-03-01,7.965526580810547,16.9375,17.0,16.6875,16.75,487000
2000-03-02,7.936134338378906,16.875,17.25,16.875,16.9375,1122500
2000-03-03,8.024316787719727,17.0625,17.125,16.8125,17.0,899300
2000-03-06,8.141886711120605,17.3125,18.0,17.0,17.75,1817500
2000-03-07,8.112488746643066,17.25,17.5,17.125,17.3125,842300
2000-03-08,8.083094596862793,17.1875,17.375,17.0625,17.25,850000
2000-03-09,8.053704261779785,17.125,17.25,16.875,17.1875,589200
2000-03-10,8.083094596862793,17.1875,17.375,17.0625,17.0625,450800
2000-03-13,8.083094596862793,17.1875,17.4375,17.125,17.25,537800
