Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EXPD,EXPD,EXPD,EXPD,EXPD,EXPD
Date,,,,,,
2000-01-03,8.425725936889648,10.796875,11.0,10.640625,10.96875,1046800
2000-01-04,8.285500526428223,10.617188453674316,10.75,10.617188453674316,10.6875,813600
2000-01-05,8.309890747070312,10.648438453674316,10.71875,10.59375,10.671875,568400
2000-01-06,8.35256576538086,10.703125,10.8125,10.578125,10.59375,490400
2000-01-07,8.285500526428223,10.617188453674316,10.8125,10.46875,10.59375,804000
2000-01-10,8.407434463500977,10.773438453674316,10.90625,10.578125,10.59375,1740000
2000-01-11,8.206242561340332,10.515625,10.875,10.46875,10.875,647600
2000-01-12,7.828242778778076,10.03125,10.5,10.0,10.5,636400
2000-01-13,8.059920310974121,10.328125,10.40625,10.0625,10.125,561600
2000-01-14,8.639111518859863,11.070313453674316,11.1875,10.40625,10.421875,1625200
2000-01-18,8.169660568237305,10.46875,11.15625,10.46875,11.15625,942400
2000-01-19,8.261113166809082,10.585938453674316,10.65625,10.25,10.4375,857600
2000-01-20,8.273308753967285,10.601563453674316,10.71875,10.5,10.609375,1080800
2000-01-21,8.267210960388184,10.59375,10.75,10.5,10.578125,339200
2000-01-24,8.194046020507812,10.5,10.75,10.21875,10.625,1446000
2000-01-25,8.18795108795166,10.492188453674316,10.75,10.484375,10.554688453674316,595600
2000-01-26,8.37695026397705,10.734375,10.890625,10.5625,10.5625,895200
2000-01-27,8.37695026397705,10.734375,10.875,10.734375,10.8125,686800
2000-01-28,8.2123384475708,10.523438453674316,10.875,10.125,10.703125,1000400
2000-01-31,8.224529266357422,10.539063453674316,10.5625,10.28125,10.421875,500800
2000-02-01,8.236727714538574,10.554688453674316,10.625,10.1875,10.625,805200
2000-02-02,8.157468795776367,10.453125,10.5625,9.6875,10.5625,1085600
2000-02-03,8.633015632629395,11.0625,11.34375,10.375,10.4375,1152800
2000-02-04,8.754951477050781,11.21875,11.375,10.953125,11.140625,692400
2000-02-07,8.267210960388184,10.59375,11.3125,10.484375,11.3125,709600
2000-02-08,8.230630874633789,10.546875,10.9375,10.46875,10.875,1979600
2000-02-09,7.8038530349731445,10.0,10.78125,9.828125,10.5625,1277200
2000-02-10,7.26124382019043,9.304688453674316,10.125,8.890625,10.078125,3404000
2000-02-11,7.413661956787109,9.5,9.53125,9.125,9.5,3893200
2000-02-14,7.358792304992676,9.429688453674316,9.8125,9.40625,9.484375,2596800
2000-02-15,7.316113471984863,9.375,9.53125,9.3125,9.5,1386000
2000-02-16,7.3526930809021,9.421875,9.578125,9.3125,9.390625,1514000
2000-02-17,7.121017932891846,9.125,9.578125,8.875,9.578125,1335200
2000-02-18,6.755211353302002,8.65625,9.1875,8.65625,9.1875,1092400
2000-02-22,6.669858455657959,8.546875,8.71875,8.40625,8.6875,1075600
2000-02-23,6.365020751953125,8.15625,8.59375,8.15625,8.546875,2822800
2000-02-24,6.511342525482178,8.34375,8.90625,8.21875,8.28125,1948400
2000-02-25,6.6271796226501465,8.492188453674316,8.53125,8.3125,8.46875,1822400
2000-02-28,7.627048015594482,9.773438453674316,9.78125,8.375,8.421875,1756000
2000-02-29,7.364888668060303,9.4375,9.671875,9.109375,9.59375,1502400
2000-03-01,7.419762134552002,9.507813453674316,9.65625,9.34375,9.65625,1018000
2000-03-02,7.541698455810547,9.664063453674316,10.0,9.3125,9.40625,1496800
2000-03-03,7.608757019042969,9.75,9.78125,9.5,9.71875,636800
2000-03-06,7.169790267944336,9.1875,9.75,9.1875,9.734375,1230800
2000-03-07,7.121017932891846,9.125,9.28125,9.0,9.28125,883200
2000-03-08,7.145403861999512,9.15625,9.28125,9.0,9.125,1740400
2000-03-09,7.023470401763916,9.0,9.15625,8.953125,9.03125,2971200
2000-03-10,6.950308799743652,8.90625,9.03125,8.84375,9.0,1376400
2000-03-13,6.736921787261963,8.632813453674316,8.859375,8.46875,8.84375,2150800
2000-03-14,6.803986072540283,8.71875,8.78125,8.609375,8.65625,1354400
2000-03-15,6.962501049041748,8.921875,8.9375,8.65625,8.71875,2438400
2000-03-16,7.523402690887451,9.640625,10.046875,9.046875,9.125,966000
2000-03-17,7.602663993835449,9.742188453674316,10.1875,9.40625,9.546875,875600
2000-03-20,7.267340660095215,9.3125,9.6875,9.28125,9.6875,934800
2000-03-21,7.7611799240112305,9.945313453674316,10.03125,9.3125,9.40625,686000
2000-03-22,7.974564552307129,10.21875,10.375,10.0,10.125,1466800
2000-03-23,8.364757537841797,10.71875,10.875,10.0,10.0625,2198800
2000-03-24,8.559852600097656,10.96875,10.984375,10.625,10.71875,1048400
2000-03-27,8.267210960388184,10.59375,11.03125,10.5625,11.03125,2210400
2000-03-28,8.57204532623291,10.984375,11.25,10.59375,10.710938453674316,1311200
2000-03-29,8.4866943359375,10.875,11.0,10.8125,10.960938453674316,1109200
2000-03-30,8.230630874633789,10.546875,10.75,10.46875,10.75,894400
2000-03-31,7.755078315734863,9.9375,10.53125,9.78125,10.53125,2139600
2000-04-03,7.194178104400635,9.21875,10.21875,9.21875,10.015625,1092000
2000-04-04,7.718498706817627,9.890625,9.9375,9.125,9.25,554800
2000-04-05,7.694115161895752,9.859375,9.96875,9.53125,9.53515625,387600
2000-04-06,7.730696201324463,9.90625,9.96875,9.59375,9.96875,262400
2000-04-07,7.401469707489014,9.484375,9.75,9.28125,9.695313453674316,500800
2000-04-10,7.255143165588379,9.296875,9.62109375,9.28125,9.62109375,552800
