Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GWW,GWW,GWW,GWW,GWW,GWW
Date,,,,,,
2000-01-03,30.237091064453125,45.9375,47.6875,45.1875,47.625,334100
2000-01-04,29.373178482055664,44.625,46.0,44.5625,45.75,216500
2000-01-05,29.784576416015625,45.25,45.25,44.375,44.375,277100
2000-01-06,29.6611385345459,45.0625,45.125,44.75,45.0,206300
2000-01-07,29.20863151550293,44.375,45.75,41.25,42.5,1686300
2000-01-10,30.483919143676758,46.3125,46.3125,43.5625,44.625,562100
2000-01-11,31.923782348632812,48.5,48.875,45.625,46.0625,942300
2000-01-12,32.99339294433594,50.125,50.75,48.4375,48.4375,1412800
2000-01-13,34.22755813598633,52.0,52.0,50.25,50.5,892200
2000-01-14,36.61362075805664,55.625,56.25,52.75,52.75,1107900
2000-01-18,35.95541000366211,54.625,55.6875,53.625,55.625,582300
2000-01-19,36.11995315551758,54.875,54.875,53.6875,53.875,305500
2000-01-20,35.95541000366211,54.625,55.25,53.875,55.0,534900
2000-01-21,35.58515930175781,54.0625,54.25,53.375,53.375,537000
2000-01-24,35.66743469238281,54.1875,54.5,54.0,54.0625,890100
2000-01-25,33.8573112487793,51.4375,54.25,49.5,54.1875,796300
2000-01-26,33.1579475402832,50.375,51.375,49.875,50.4375,617500
2000-01-27,33.07566452026367,50.25,52.0,49.25,50.4375,426300
2000-01-28,31.676950454711914,48.125,50.0625,48.125,50.0,374800
2000-01-31,31.553537368774414,47.9375,49.4375,47.0625,48.25,595600
2000-02-01,30.89530372619629,46.9375,48.0,46.625,48.0,541300
2000-02-02,31.22442054748535,47.4375,47.8125,47.0,47.0,479100
2000-02-03,31.37138557434082,47.5,48.875,45.875,47.0,695900
2000-02-04,31.701595306396484,48.0,48.3125,47.0,47.375,301400
2000-02-07,31.701595306396484,48.0,48.25,47.625,47.75,204400
2000-02-08,31.701595306396484,48.0,48.25,47.8125,48.0,318100
2000-02-09,32.19694137573242,48.75,49.0,47.625,48.375,664300
2000-02-10,33.10506057739258,50.125,50.125,48.4375,48.625,683400
2000-02-11,34.05446243286133,51.5625,51.6875,48.875,50.0,628700
2000-02-14,34.8800163269043,52.8125,53.0625,51.375,51.625,718000
2000-02-15,33.68295669555664,51.0,52.8125,50.75,52.8125,433700
2000-02-16,33.39401626586914,50.5625,51.0,49.6875,51.0,490900
2000-02-17,32.98122024536133,49.9375,50.625,49.8125,50.625,371500
2000-02-18,31.453937530517578,47.625,49.5,47.0,49.25,260000
2000-02-22,30.876054763793945,46.75,47.75,45.5,47.75,345300
2000-02-23,31.12371063232422,47.125,47.5,46.0,47.0,217500
2000-02-24,30.2155818939209,45.75,46.625,45.0625,46.5,340800
2000-02-25,28.605751037597656,43.3125,45.6875,42.25,45.6875,646100
2000-02-28,28.729570388793945,43.5,43.8125,41.75,43.4375,510800
2000-02-29,28.2755184173584,42.8125,44.0625,42.625,43.625,453700
2000-03-01,27.738895416259766,42.0,42.375,40.8125,42.375,422500
2000-03-02,26.21160316467285,39.6875,41.75,39.6875,41.75,376000
2000-03-03,26.789499282836914,40.5625,41.25,39.4375,39.6875,429900
2000-03-06,26.706939697265625,40.4375,41.0,39.8125,41.0,479300
2000-03-07,25.674991607666016,38.875,41.0,38.8125,40.875,415300
2000-03-08,24.931989669799805,37.75,38.25,37.25,38.25,707200
2000-03-09,26.706939697265625,40.4375,40.4375,37.25,37.625,656800
2000-03-10,26.170330047607422,39.625,40.4375,38.5,40.4375,460900
2000-03-13,25.633710861206055,38.8125,39.75,38.0,39.625,245100
2000-03-14,30.050466537475586,45.5,45.8125,40.375,40.5,1053400
2000-03-15,30.999889373779297,46.9375,49.125,44.375,45.5,1258500
2000-03-16,33.68295669555664,51.0,51.0625,47.9375,48.0,1091100
2000-03-17,33.311458587646484,50.4375,51.875,49.875,51.0625,921900
2000-03-20,33.18760681152344,50.25,51.75,49.4375,50.1875,618600
2000-03-21,34.26084518432617,51.875,51.9375,50.0,50.0,486100
2000-03-22,34.921302795410156,52.875,52.9375,51.0625,52.0,437500
2000-03-23,36.32475662231445,55.0,55.0625,52.875,52.875,725500
2000-03-24,36.57242965698242,55.375,55.75,54.75,55.0,856600
2000-03-27,36.32475662231445,55.0,55.5,54.1875,55.0,612800
2000-03-28,36.98521041870117,56.0,56.625,55.0,55.0,631900
2000-03-29,36.98521041870117,56.0,56.875,55.375,55.9375,401700
2000-03-30,35.9945182800293,54.5,55.75,54.375,55.75,737000
2000-03-31,35.829429626464844,54.25,55.375,54.25,54.5,1087600
2000-04-03,36.57242965698242,55.375,55.625,53.75,54.0625,685100
2000-04-04,35.49919128417969,53.75,55.6875,52.5,55.125,698600
2000-04-05,33.51784133911133,50.75,53.6875,49.875,53.25,958000
2000-04-06,34.05446243286133,51.5625,51.9375,50.8125,50.875,929900
2000-04-07,32.6510009765625,49.4375,51.75,49.1875,51.6875,1038600
2000-04-10,32.15566635131836,48.6875,50.5,48.3125,50.0,920900
2000-04-11,32.98122024536133,49.9375,50.5,48.875,48.875,747000
2000-04-12,33.39401626586914,50.5625,51.75,49.5625,49.5625,849800
2000-04-13,33.10506057739258,50.125,50.9375,49.625,50.625,519100
2000-04-14,29.88535499572754,45.25,49.875,45.0,49.875,1245900
2000-04-17,30.628379821777344,46.375,46.75,45.5,45.625,322700
2000-04-18,30.133018493652344,45.625,46.6875,45.625,46.4375,880800
2000-04-19,29.142370223999023,44.125,45.875,43.0,45.875,1105500
2000-04-20,28.894699096679688,43.75,44.0,43.4375,43.75,604600
2000-04-24,28.027835845947266,42.4375,43.6875,42.4375,43.6875,381100
2000-04-25,28.729570388793945,43.5,43.625,42.8125,43.0,318700
2000-04-26,28.523183822631836,43.1875,44.25,42.75,43.5,363100
2000-04-27,28.481918334960938,43.125,43.3125,42.75,43.1875,403000
2000-04-28,28.647016525268555,43.375,43.5,42.75,43.0625,359300
2000-05-01,29.926658630371094,45.3125,45.8125,43.375,43.375,345000
2000-05-02,29.43130111694336,44.5625,45.4375,44.375,45.3125,386700
2000-05-03,29.43130111694336,44.5625,44.8125,44.0,44.4375,542100
2000-05-04,29.41970443725586,44.375,45.125,44.1875,44.25,291100
2000-05-05,30.124116897583008,45.4375,45.4375,44.125,44.375,263100
2000-05-08,29.2125301361084,44.0625,45.5625,43.9375,45.1875,188900
2000-05-09,29.25397491455078,44.125,44.4375,43.75,44.3125,205300
2000-05-10,28.922470092773438,43.625,44.9375,43.375,44.375,300400
2000-05-11,28.881031036376953,43.5625,44.625,43.25,43.875,373500
2000-05-12,28.052310943603516,42.3125,43.75,41.6875,43.75,614900
2000-05-15,29.626890182495117,44.6875,44.9375,42.3125,42.5625,387200
2000-05-16,29.668306350708008,44.75,45.25,44.375,44.5,254100
2000-05-17,29.709762573242188,44.8125,44.8125,44.0625,44.5,308600
2000-05-18,29.751190185546875,44.875,45.1875,44.5,44.8125,292100
2000-05-19,29.668306350708008,44.75,44.75,44.25,44.25,585400
2000-05-22,28.590970993041992,43.125,45.0,42.6875,44.6875,320900
2000-05-23,28.300926208496094,42.6875,43.25,42.5,43.25,137100
2000-05-24,27.51364517211914,41.5,43.125,41.375,42.9375,259000
2000-05-25,27.969440460205078,42.1875,42.25,41.125,41.25,389600
2000-05-26,27.099271774291992,40.875,42.5,40.8125,42.3125,193200
2000-05-30,27.430768966674805,41.375,41.5625,40.75,40.875,350900
2000-05-31,26.47773551940918,39.9375,41.625,39.75,41.125,316200
2000-06-01,26.602041244506836,40.125,40.1875,39.375,40.0,467500
2000-06-02,27.430768966674805,41.375,41.9375,40.5,40.625,479200
2000-06-05,26.436283111572266,39.875,41.5625,39.6875,41.375,402400
2000-06-06,26.35342025756836,39.75,40.3125,39.3125,40.0,375400
2000-06-07,25.690433502197266,38.75,39.75,38.375,39.75,426100
2000-06-08,25.690433502197266,38.75,39.375,38.5625,38.875,172600
2000-06-09,25.317516326904297,38.1875,39.0625,37.6875,38.75,299500
2000-06-12,23.556488037109375,35.53125,38.4375,35.25,38.375,754800
2000-06-13,23.038524627685547,34.75,35.5,33.625,35.0,1986900
2000-06-14,23.660057067871094,35.6875,36.625,34.8125,34.875,1584300
