Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HSY,HSY,HSY,HSY,HSY,HSY
Date,,,,,,
2000-01-03,13.11550235748291,23.1875,23.75,23.03125,23.5,906400
2000-01-04,12.620583534240723,22.3125,23.0,22.21875,22.875,1060000
2000-01-05,12.673600196838379,22.40625,23.25,22.1875,22.375,1087400
2000-01-06,13.009440422058105,23.0,23.65625,22.4375,22.53125,1002400
2000-01-07,13.044792175292969,23.0625,23.46875,22.625,23.03125,805800
2000-01-10,13.080147743225098,23.125,23.40625,22.84375,23.0,659200
2000-01-11,12.815008163452148,22.65625,23.25,22.375,23.125,813200
2000-01-12,12.726634979248047,22.5,23.28125,22.34375,22.78125,684000
2000-01-13,12.638253211975098,22.34375,22.71875,22.28125,22.5,500600
2000-01-14,12.037273406982422,21.28125,22.4375,20.0,22.4375,9517000
2000-01-18,12.16100025177002,21.5,21.5,20.8125,21.28125,1003400
2000-01-19,12.196354866027832,21.5625,21.6875,21.0625,21.25,1031400
2000-01-20,11.931212425231934,21.09375,21.5625,21.0,21.53125,1087400
2000-01-21,11.666078567504883,20.625,21.21875,20.375,21.09375,960200
2000-01-24,11.347911834716797,20.0625,20.8125,20.0625,20.8125,665800
2000-01-25,11.259535789489746,19.90625,20.59375,19.65625,20.1875,641600
2000-01-26,11.365586280822754,20.09375,20.21875,19.625,20.0,998200
2000-01-27,11.15347957611084,19.71875,20.0625,19.5,20.0625,623600
2000-01-28,10.676226615905762,18.875,19.625,18.875,19.625,1407600
2000-01-31,12.0195951461792,21.25,21.40625,19.21875,19.25,1982400
2000-02-01,11.47164249420166,20.28125,21.25,20.125,21.125,1198400
2000-02-02,11.50699234008789,20.34375,20.75,20.1875,20.25,1300000
2000-02-03,11.70142936706543,20.6875,20.90625,20.46875,20.46875,975200
2000-02-04,11.736783027648926,20.75,20.9375,20.5,20.8125,786800
2000-02-07,11.595377922058105,20.5,20.75,20.4375,20.5625,627800
2000-02-08,11.931212425231934,21.09375,21.09375,20.5,20.5,887600
2000-02-09,11.807487487792969,20.875,21.15625,20.78125,20.9375,911200
2000-02-10,11.878190994262695,21.0,21.0625,20.59375,20.75,1077600
2000-02-11,12.090302467346191,21.375,22.71875,20.9375,21.0,2209200
2000-02-14,12.001914978027344,21.21875,21.5,20.78125,21.375,885200
2000-02-15,12.390791893005371,21.90625,22.0625,21.125,21.125,1211400
2000-02-16,12.49685001373291,22.09375,22.59375,21.625,22.125,1650000
2000-02-17,12.602899551391602,22.28125,22.53125,22.0,22.03125,838400
2000-02-18,12.761981010437012,22.5625,22.6875,22.25,22.25,1215400
2000-02-22,13.203882217407227,23.34375,23.625,22.1875,22.46875,1636000
2000-02-23,13.11784839630127,23.0625,23.6875,22.75,23.0625,1850200
2000-02-24,12.726799011230469,22.375,22.65625,21.84375,22.65625,2772800
2000-02-25,12.833452224731445,22.5625,22.65625,22.09375,22.40625,1627400
2000-02-28,12.549051284790039,22.0625,22.53125,21.96875,22.5,1047200
2000-02-29,12.4957275390625,21.96875,21.96875,20.9375,21.5,2147800
2000-03-01,12.744575500488281,22.40625,22.5,21.5,21.96875,1485800
2000-03-02,12.424628257751465,21.84375,22.3125,21.46875,22.28125,850200
2000-03-03,12.264653205871582,21.5625,21.71875,21.4375,21.71875,828000
2000-03-06,11.998032569885254,21.09375,21.375,20.78125,21.25,889200
2000-03-07,11.375906944274902,20.0,20.625,19.8125,20.59375,1308200
2000-03-08,11.891386985778809,20.90625,21.5625,19.875,20.0,1841600
2000-03-09,11.695860862731934,20.5625,20.8125,20.15625,20.21875,1652600
2000-03-10,11.375906944274902,20.0,20.5,19.875,20.34375,1022000
2000-03-13,11.375906944274902,20.0,20.0,19.59375,19.6875,825800
2000-03-14,11.642533302307129,20.46875,20.5625,20.0,20.0,1069800
2000-03-15,12.442403793334961,21.875,21.9375,20.3125,20.5,1606600
2000-03-16,13.56222152709961,23.84375,24.15625,22.0,22.0,1892200
2000-03-17,13.11784839630127,23.0625,23.5,23.0625,23.25,1529400
2000-03-20,13.366701126098633,23.5,24.0,23.0625,23.0625,1459200
2000-03-21,13.348919868469238,23.46875,23.625,23.0,23.625,707800
2000-03-22,12.815673828125,22.53125,23.25,22.125,23.125,1051600
2000-03-23,12.886773109436035,22.65625,22.71875,21.90625,22.3125,746600
2000-03-24,12.51350212097168,22.0,22.5,21.875,22.40625,974000
2000-03-27,12.282427787780762,21.59375,21.96875,21.5,21.5625,736400
2000-03-28,11.944708824157715,21.0,21.78125,20.90625,21.5,2338600
2000-03-29,13.313370704650879,23.40625,23.5,21.09375,21.09375,2919000
2000-03-30,13.935490608215332,24.5,24.90625,23.375,23.40625,1623000
2000-03-31,13.864395141601562,24.375,25.34375,24.375,24.8125,1573200
2000-04-03,13.366701126098633,23.5,24.4375,23.5,24.25,1619400
2000-04-04,13.846625328063965,24.34375,25.03125,23.625,23.625,1582200
2000-04-05,13.65109920501709,24.0,24.8125,23.71875,24.0,627200
2000-04-06,13.526668548583984,23.78125,23.8125,23.375,23.75,746200
