Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IPG,IPG,IPG,IPG,IPG,IPG
Date,,,,,,
2000-01-03,33.41413879394531,54.3125,57.6875,53.5625,57.6875,948700
2000-01-04,30.761014938354492,50.0,54.0,49.75,54.0,1250200
2000-01-05,30.068885803222656,48.875,49.9375,48.125,49.9375,1522800
2000-01-06,30.145793914794922,49.0,50.0625,47.875,49.0,984800
2000-01-07,31.222421646118164,50.75,50.875,48.875,49.5,1341700
2000-01-10,32.18369674682617,52.3125,52.5,49.6875,49.75,1541100
2000-01-11,32.02989196777344,52.0625,52.4375,51.375,52.0,1126900
2000-01-12,31.91455078125,51.875,52.375,51.625,52.0,1129800
2000-01-13,32.14525604248047,52.25,53.0,51.75,51.875,992700
2000-01-14,32.76047134399414,53.25,53.625,52.125,52.5,1451400
2000-01-18,33.221893310546875,54.0,54.4375,52.375,52.625,805500
2000-01-19,34.18317413330078,55.5625,55.9375,53.5,54.0,1375700
2000-01-20,32.798912048339844,53.3125,55.5625,53.1875,55.5625,645500
2000-01-21,32.45287322998047,52.75,53.125,51.5625,52.3125,1050900
2000-01-24,31.299327850341797,50.875,52.75,50.5625,52.75,465700
2000-01-25,31.337791442871094,50.9375,51.5,50.4375,50.6875,916900
2000-01-26,31.183977127075195,50.6875,51.5625,49.75,50.9375,609400
2000-01-27,29.761281967163086,48.375,51.1875,47.5,50.9375,1005500
2000-01-28,28.915355682373047,47.0,48.75,46.3125,48.75,753300
2000-01-31,28.300128936767578,46.0,47.0,45.25,47.0,850900
2000-02-01,29.64592170715332,48.1875,48.375,45.75,46.125,941500
2000-02-02,29.722822189331055,48.3125,49.3125,47.875,48.0,682400
2000-02-03,30.145793914794922,49.0,49.875,48.25,48.25,772000
2000-02-04,30.799463272094727,50.0625,50.3125,49.1875,49.3125,661900
2000-02-07,30.453397750854492,49.5,50.0,49.25,49.875,750400
2000-02-08,30.991710662841797,50.375,50.75,49.9375,49.9375,734200
2000-02-09,29.376760482788086,47.75,49.8125,47.375,49.75,1043400
2000-02-10,28.87689208984375,46.9375,48.25,46.6875,48.0,923600
2000-02-11,28.338590621948242,46.0625,46.75,45.8125,46.25,1173400
2000-02-14,28.223222732543945,45.875,46.125,45.75,46.0,545900
2000-02-15,28.261680603027344,45.9375,46.125,45.4375,45.9375,735400
2000-02-16,28.10786247253418,45.6875,46.0,45.5,46.0,846100
2000-02-17,27.415746688842773,44.5625,45.9375,44.5,45.9375,803000
2000-02-18,27.60801124572754,44.875,45.75,44.5,44.6875,1430100
2000-02-22,27.684900283813477,45.0,45.875,44.625,45.5,1046100
2000-02-23,26.45447540283203,43.0,45.375,42.875,44.75,1360800
2000-02-24,25.967477798461914,42.125,42.625,39.9375,42.0,2390900
2000-02-25,23.617305755615234,38.3125,41.9375,36.0,41.875,5279000
2000-02-28,24.156686782836914,39.1875,39.3125,37.0,38.0,1546800
2000-02-29,24.77312660217285,40.1875,41.0,39.5,39.875,1960300
2000-03-01,25.58219337463379,41.5,41.5,39.6875,40.1875,1644400
2000-03-02,25.505155563354492,41.375,41.375,40.5,41.0,1151700
2000-03-03,26.006004333496094,42.1875,42.4375,40.75,40.875,838200
2000-03-06,25.466629028320312,41.3125,42.1875,40.875,42.1875,893200
2000-03-07,24.734601974487305,40.125,41.125,40.0625,41.0625,1555500
