Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MAA,MAA,MAA,MAA,MAA,MAA
Date,,,,,,
2000-01-03,6.328029632568359,22.5,22.875,22.4375,22.625,28800
2000-01-04,6.363183975219727,22.625,22.625,22.375,22.4375,38800
2000-01-05,6.292872905731201,22.375,22.875,22.375,22.5,62900
2000-01-06,6.398339748382568,22.75,23.0,22.375,22.375,29000
2000-01-07,6.451073169708252,22.9375,23.0,22.625,22.625,17700
2000-01-10,6.398339748382568,22.75,22.9375,22.6875,22.9375,20400
2000-01-11,6.328029632568359,22.5,22.75,22.4375,22.75,35000
2000-01-12,6.328029632568359,22.5,22.5625,22.4375,22.4375,18400
2000-01-13,6.328029632568359,22.5,22.5625,22.4375,22.4375,17500
2000-01-14,6.310453414916992,22.4375,22.75,22.3125,22.4375,36600
2000-01-18,6.46865177154541,23.0,23.0,22.5625,22.5625,33900
2000-01-19,6.538963317871094,23.25,23.375,23.125,23.125,56800
2000-01-20,6.417815685272217,22.25,22.75,22.25,22.5,64300
2000-01-21,6.4719038009643555,22.4375,22.4375,22.125,22.375,10600
2000-01-24,6.38176155090332,22.125,22.375,22.0625,22.25,24100
2000-01-25,6.417815685272217,22.25,22.375,22.0625,22.0625,15100
2000-01-26,6.363736629486084,22.0625,22.4375,22.0625,22.125,17200
2000-01-27,6.363736629486084,22.0625,22.25,22.0,22.25,24000
2000-01-28,6.363736629486084,22.0625,22.375,22.0,22.1875,20400
2000-01-31,6.38176155090332,22.125,22.375,22.125,22.25,13800
2000-02-01,6.399790287017822,22.1875,22.375,22.0,22.375,47700
2000-02-02,6.38176155090332,22.125,22.25,22.0,22.25,26400
2000-02-03,6.399790287017822,22.1875,22.3125,22.0,22.1875,26400
2000-02-04,6.363736629486084,22.0625,22.1875,22.0,22.0625,28600
2000-02-07,6.417815685272217,22.25,22.3125,22.0625,22.0625,27100
2000-02-08,6.417815685272217,22.25,22.4375,22.125,22.375,22400
2000-02-09,6.417815685272217,22.25,22.25,22.125,22.25,20500
2000-02-10,6.4358439445495605,22.3125,22.4375,22.1875,22.1875,21300
2000-02-11,6.4538726806640625,22.375,22.375,22.25,22.3125,24900
2000-02-14,6.4358439445495605,22.3125,22.375,22.1875,22.25,24500
2000-02-15,6.489928722381592,22.5,22.5,22.25,22.3125,76600
2000-02-16,6.4719038009643555,22.4375,22.5625,22.0625,22.5,85300
2000-02-17,6.4719038009643555,22.4375,22.4375,22.375,22.4375,17000
2000-02-18,6.4538726806640625,22.375,22.5,22.375,22.4375,20100
2000-02-22,6.399790287017822,22.1875,22.25,22.0625,22.1875,21200
2000-02-23,6.4538726806640625,22.375,22.375,22.125,22.1875,10800
2000-02-24,6.417815685272217,22.25,22.375,22.25,22.3125,42500
2000-02-25,6.399790287017822,22.1875,22.375,22.0,22.3125,30900
2000-02-28,6.4538726806640625,22.375,22.4375,22.25,22.3125,18200
2000-02-29,6.5800676345825195,22.8125,22.875,22.3125,22.3125,39400
2000-03-01,6.489928722381592,22.5,22.625,22.25,22.5,20400
2000-03-02,6.489928722381592,22.5,22.875,22.3125,22.375,44100
2000-03-03,6.489928722381592,22.5,22.625,22.375,22.5,27600
2000-03-06,6.52598237991333,22.625,22.625,22.5,22.5,42500
2000-03-07,6.38176155090332,22.125,22.625,22.0,22.5,98400
2000-03-08,6.489928722381592,22.5,22.5,22.125,22.25,20800
2000-03-09,6.417815685272217,22.25,22.375,22.1875,22.25,20600
2000-03-10,6.417815685272217,22.25,22.25,22.125,22.125,27400
2000-03-13,6.399790287017822,22.1875,22.25,22.0,22.125,15200
2000-03-14,6.4719038009643555,22.4375,22.4375,22.125,22.1875,25200
2000-03-15,6.417815685272217,22.25,22.4375,22.25,22.375,18500
2000-03-16,6.489928722381592,22.5,22.75,22.375,22.375,42600
2000-03-17,6.52598237991333,22.625,22.625,22.375,22.375,20200
2000-03-20,6.4719038009643555,22.4375,22.5,22.3125,22.4375,18200
2000-03-21,6.4538726806640625,22.375,22.5625,22.25,22.3125,32800
2000-03-22,6.4538726806640625,22.375,22.375,22.25,22.3125,12000
2000-03-23,6.4538726806640625,22.375,22.5,22.375,22.375,63000
2000-03-24,6.507956504821777,22.5625,22.5625,22.375,22.5,77100
2000-03-27,6.4719038009643555,22.4375,22.5,22.375,22.5,62100
2000-03-28,6.489928722381592,22.5,22.5625,22.375,22.4375,38000
2000-03-29,6.489928722381592,22.5,22.5625,22.4375,22.5,95400
2000-03-30,6.616118907928467,22.9375,22.9375,22.5,22.5,58600
2000-03-31,6.562036991119385,22.75,22.75,22.5,22.75,79100
2000-04-03,6.52598237991333,22.625,22.625,22.5,22.625,28500
2000-04-04,6.52598237991333,22.625,22.625,22.375,22.4375,13500
2000-04-05,6.562036991119385,22.75,22.8125,22.5,22.5625,28600
2000-04-06,6.5800676345825195,22.8125,22.8125,22.5625,22.625,25400
2000-04-07,6.634145736694336,23.0,23.0,22.625,22.6875,7100
2000-04-10,6.634145736694336,23.0,23.0,22.75,22.75,24800
2000-04-11,6.706259727478027,23.25,23.25,22.875,22.875,39200
2000-04-12,6.904565811157227,23.9375,23.9375,22.9375,22.9375,37300
2000-04-13,6.958646297454834,24.125,24.125,23.5625,23.6875,8400
