Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MS,MS,MS,MS,MS,MS
Date,,,,,,
2000-01-03,33.78385925292969,67.5,69.0,66.0625,68.625,5309000
2000-01-04,31.281339645385742,62.5,66.125,61.5,66.0,6234400
2000-01-05,30.13957977294922,60.21875,62.09375,58.625,62.0,7744200
2000-01-06,30.718280792236328,61.375,62.46875,60.125,60.1875,6586000
2000-01-07,31.672359466552734,63.28125,63.46875,59.71875,60.25,6324800
2000-01-10,32.79265213012695,65.3125,65.5,63.28125,63.4375,4610200
2000-01-11,32.79265213012695,65.3125,66.0625,64.75,66.0,3945600
2000-01-12,33.0436897277832,65.8125,67.3125,65.25,65.4375,4291600
2000-01-13,33.247676849365234,66.21875,66.59375,65.0,66.0,3319200
2000-01-14,34.47150802612305,68.65625,68.8125,66.71875,67.625,3635800
2000-01-18,33.57716369628906,66.875,69.375,66.84375,68.65625,3460400
2000-01-19,34.06356430053711,67.84375,68.59375,67.25,67.3125,3452200
2000-01-20,33.84389114379883,67.40625,68.625,66.625,67.0625,4481000
2000-01-21,33.263362884521484,66.25,67.375,65.75,67.375,3965000
2000-01-24,32.133670806884766,64.0,67.25,62.71875,66.75,4191000
2000-01-25,32.494529724121094,64.71875,65.6875,63.5,63.875,4061400
2000-01-26,33.35749435424805,66.4375,66.4375,64.125,65.25,5503200
2000-01-27,33.9223518371582,67.5625,68.375,65.625,66.0,3009900
2000-01-28,31.788471221923828,63.3125,67.6875,62.875,66.0,3565800
2000-01-31,33.263362884521484,66.25,66.25,62.5,63.5,2606800
2000-02-01,32.133670806884766,64.0,65.875,63.5625,65.625,3177500
2000-02-02,32.698516845703125,65.125,67.25,62.625,63.75,3001000
2000-02-03,33.13783264160156,66.0,66.625,64.25,66.0,4021700
2000-02-04,32.98093032836914,65.6875,65.875,64.0625,65.625,2411100
2000-02-07,32.698516845703125,65.125,65.375,64.0,64.5,2611500
2000-02-08,34.04785919189453,67.8125,68.6875,66.5,67.0,2829000
2000-02-09,33.73406219482422,67.1875,68.9375,66.5,68.8125,3247900
2000-02-10,33.5457878112793,66.8125,68.0,65.8125,67.25,2029600
2000-02-11,33.514400482177734,66.75,69.0625,66.375,66.875,2970400
2000-02-14,33.13783264160156,66.0,67.75,65.75,67.5,1858800
2000-02-15,32.918174743652344,65.5625,65.6875,64.5,64.8125,2999100
2000-02-16,32.918174743652344,65.5625,66.4375,64.25,65.5625,2455100
2000-02-17,31.757097244262695,63.25,65.5,62.875,65.1875,2658800
2000-02-18,30.7529296875,61.25,64.25,60.125,63.25,3347800
2000-02-22,31.286386489868164,62.3125,62.6875,60.5,62.25,3025700
2000-02-23,33.01231002807617,65.75,67.25,61.625,62.0625,3966300
