Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NTRS,NTRS,NTRS,NTRS,NTRS,NTRS
Date,,,,,,
2000-01-03,29.483203887939453,50.46875,52.75,49.5,52.5625,710100
2000-01-04,27.566356658935547,47.1875,49.625,46.75,49.625,1276900
2000-01-05,28.187044143676758,48.25,49.1875,46.8125,47.5,929200
2000-01-06,28.771228790283203,49.25,49.625,47.8125,48.1875,515900
2000-01-07,29.136329650878906,49.875,49.875,48.5,49.140625,612500
2000-01-10,28.406112670898438,48.625,50.0,48.1875,49.9375,528000
2000-01-11,27.894941329956055,47.75,48.4375,46.875,48.375,873100
2000-01-12,29.172849655151367,49.9375,50.1875,47.625,47.75,787200
2000-01-13,32.02077102661133,54.8125,55.125,51.125,52.0,2193600
2000-01-14,32.05728530883789,54.875,55.5,53.875,55.5,995100
2000-01-18,32.458900451660156,55.5625,55.625,52.75,54.4375,1015400
2000-01-19,33.40822219848633,57.1875,59.9375,55.625,55.6875,2081500
2000-01-20,31.509597778320312,53.9375,57.25,53.75,57.1875,467800
2000-01-21,32.16682815551758,55.0625,56.625,53.5625,55.0,903600
2000-01-24,31.217529296875,53.4375,55.375,53.125,55.0,481800
2000-01-25,31.98426628112793,54.75,55.3125,53.125,53.9375,537700
2000-01-26,33.298667907714844,57.0,57.25,54.75,54.875,979800
2000-01-27,32.495426177978516,55.625,57.8125,54.875,57.0625,1014600
2000-01-28,31.54610252380371,54.0,55.375,53.1875,55.375,788500
2000-01-31,35.27031326293945,60.375,60.5625,53.375,53.875,2127600
2000-02-01,35.4163703918457,60.625,62.0,58.125,59.75,2151200
2000-02-02,34.41230392456055,58.90625,62.375,58.125,61.25,1931300
2000-02-03,33.33518600463867,57.0625,60.0,57.0625,59.8125,1848800
2000-02-04,33.992401123046875,58.1875,59.125,57.25,57.59375,953700
2000-02-07,34.61309814453125,59.25,59.3125,57.1875,58.0,447200
2000-02-08,34.704383850097656,59.40625,60.625,58.875,59.4375,770300
2000-02-09,33.44472885131836,57.25,59.75,57.125,59.375,590100
2000-02-10,33.48124313354492,57.3125,58.125,57.0625,57.25,1246300
2000-02-11,32.62321853637695,55.84375,58.875,55.6875,57.125,1047200
2000-02-14,32.203338623046875,55.125,56.75,54.0625,56.25,660800
2000-02-15,34.24799346923828,58.625,59.5,54.875,55.0625,956400
2000-02-16,33.590782165527344,57.5,58.875,56.375,58.375,902100
2000-02-17,34.3940315246582,58.875,59.125,56.375,58.0,1179900
2000-02-18,34.21147537231445,58.5625,59.25,57.75,58.75,2051200
2000-02-22,33.225669860839844,56.875,58.5,55.4375,58.375,956700
2000-02-23,33.627288818359375,57.5625,57.875,55.5625,56.625,1294600
2000-02-24,32.97007751464844,56.4375,57.375,55.375,57.375,924600
2000-02-25,32.53194046020508,55.6875,56.5625,55.5,56.5,1051800
2000-02-28,33.73683547973633,57.75,57.75,55.625,55.75,449200
2000-02-29,33.00659942626953,56.5,57.75,54.625,57.6875,1126100
2000-03-01,32.93357467651367,56.375,56.75,55.625,56.75,884300
2000-03-02,32.97007751464844,56.4375,57.1875,55.8125,56.375,584000
2000-03-03,33.298667907714844,57.0,58.0,56.25,57.0,639600
2000-03-06,33.00659942626953,56.5,58.5,56.4375,57.0,896300
2000-03-07,32.82405471801758,56.1875,57.125,56.125,56.75,840700
2000-03-08,31.54888916015625,53.875,56.125,53.0625,56.125,2636800
2000-03-09,30.99989128112793,52.9375,54.0,52.4375,53.75,1656700
2000-03-10,30.63388442993164,52.3125,53.1875,52.1875,53.1875,962700
2000-03-13,31.951496124267578,54.5625,55.8125,51.0,51.75,712700
2000-03-14,31.731895446777344,54.1875,57.5,53.875,54.875,862000
2000-03-15,33.195884704589844,56.6875,57.3125,53.875,55.0,1640500
