Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PHM,PHM,PHM,PHM,PHM,PHM
Date,,,,,,
2000-01-03,4.325003147125244,5.28125,5.625,5.03125,5.625,923600
2000-01-04,4.120269298553467,5.03125,5.21875,5.0,5.21875,196400
2000-01-05,4.043493747711182,4.9375,5.0625,4.890625,5.03125,1044800
2000-01-06,4.017901420593262,4.90625,4.953125,4.859375,4.953125,469200
2000-01-07,4.081879615783691,4.984375,5.03125,4.875,4.875,509600
2000-01-10,4.005105972290039,4.890625,5.015625,4.890625,4.953125,1116400
2000-01-11,3.838759422302246,4.6875,4.96875,4.625,4.9375,1533200
2000-01-12,3.710799217224121,4.53125,4.75,4.46875,4.75,1540400
2000-01-13,3.8899428844451904,4.75,4.75,4.546875,4.546875,1454800
2000-01-14,3.8643503189086914,4.71875,4.84375,4.609375,4.8125,692800
2000-01-18,3.825962543487549,4.671875,4.703125,4.640625,4.6875,354400
2000-01-19,3.6724143028259277,4.484375,4.703125,4.453125,4.703125,973600
2000-01-20,3.710799217224121,4.53125,4.609375,4.328125,4.5,1896800
2000-01-21,3.761984348297119,4.59375,4.84375,4.53125,4.8125,1245200
2000-01-24,3.659616470336914,4.46875,4.703125,4.421875,4.625,1358800
2000-01-25,3.4804747104644775,4.25,4.53125,4.1875,4.53125,1631600
2000-01-26,3.570047616958618,4.359375,4.421875,4.28125,4.296875,2785600
2000-01-27,3.6724143028259277,4.484375,4.5,4.34375,4.375,1858800
2000-01-28,3.634024143218994,4.4375,4.5625,4.4375,4.515625,1246400
2000-01-31,3.570047616958618,4.359375,4.484375,4.328125,4.484375,1228000
2000-02-01,3.518862247467041,4.296875,4.4375,4.28125,4.40625,798800
2000-02-02,3.4804747104644775,4.25,4.359375,4.234375,4.359375,1172400
2000-02-03,3.5316579341888428,4.3125,4.359375,4.25,4.3125,999600
2000-02-04,3.5316579341888428,4.3125,4.390625,4.265625,4.328125,4247200
2000-02-07,3.390904664993286,4.140625,4.328125,4.109375,4.3125,1506400
2000-02-08,3.646821975708008,4.453125,4.515625,4.234375,4.25,1397600
2000-02-09,3.6212306022644043,4.421875,4.46875,4.375,4.4375,860400
2000-02-10,3.570047616958618,4.359375,4.484375,4.328125,4.421875,937200
2000-02-11,3.608433246612549,4.40625,4.484375,4.34375,4.359375,785200
2000-02-14,3.5956380367279053,4.390625,4.453125,4.375,4.421875,664800
2000-02-15,3.7875757217407227,4.625,4.78125,4.359375,4.359375,1352400
2000-02-16,3.6212306022644043,4.421875,4.625,4.390625,4.625,676000
2000-02-17,3.6212306022644043,4.421875,4.5625,4.390625,4.46875,1258400
2000-02-18,3.634024143218994,4.4375,4.4375,4.21875,4.40625,796000
2000-02-22,3.544454336166382,4.328125,4.5,4.3125,4.40625,324400
2000-02-23,3.493271827697754,4.265625,4.40625,4.25,4.40625,383600
2000-02-24,3.4420876502990723,4.203125,4.375,4.140625,4.3125,634800
2000-02-25,3.3141279220581055,4.046875,4.234375,4.03125,4.1875,810800
2000-02-28,3.3525164127349854,4.09375,4.109375,4.0,4.0,594400
2000-02-29,3.4420876502990723,4.203125,4.296875,4.078125,4.140625,741200
2000-03-01,3.493271827697754,4.265625,4.328125,4.140625,4.203125,714400
2000-03-02,3.403700113296509,4.15625,4.28125,4.0,4.265625,1325600
2000-03-03,3.3781075477600098,4.125,4.25,4.046875,4.203125,523600
2000-03-06,3.3141279220581055,4.046875,4.171875,4.03125,4.125,433600
2000-03-07,3.2629451751708984,3.984375,4.09375,3.90625,4.078125,606000
2000-03-08,3.2117624282836914,3.921875,4.0,3.84375,3.9375,416800
2000-03-09,3.3141279220581055,4.046875,4.0625,3.8125,3.875,943600
2000-03-10,3.2501494884490967,3.96875,4.046875,3.953125,4.0,1440000
2000-03-13,3.3141279220581055,4.046875,4.0625,3.953125,4.015625,1011600
2000-03-14,3.224558115005493,3.9375,4.078125,3.890625,4.015625,613600
2000-03-15,3.51499342918396,4.28125,4.359375,3.9375,3.9375,1652400
2000-03-16,3.951160430908203,4.8125,4.828125,4.28125,4.28125,2527600
2000-03-17,3.8613617420196533,4.703125,4.84375,4.5,4.5,1604800
2000-03-20,3.9639880657196045,4.828125,4.875,4.6875,4.71875,944000
2000-03-21,3.951160430908203,4.8125,4.828125,4.765625,4.796875,624000
2000-03-22,3.899848222732544,4.75,4.796875,4.6875,4.796875,1052400
2000-03-23,4.002475261688232,4.875,5.03125,4.671875,4.71875,1113600
2000-03-24,3.9896457195281982,4.859375,4.984375,4.75,4.890625,1296400
2000-03-27,3.9639880657196045,4.828125,4.96875,4.765625,4.859375,350400
2000-03-28,3.8870201110839844,4.734375,4.828125,4.671875,4.78125,610000
2000-03-29,4.066616535186768,4.953125,5.0,4.75,4.8125,842800
2000-03-30,4.194900989532471,5.109375,5.234375,4.96875,4.96875,1167200
2000-03-31,4.284698963165283,5.21875,5.265625,5.078125,5.171875,1401200
2000-04-03,4.284698963165283,5.21875,5.328125,5.1875,5.1875,702400
2000-04-04,4.194900989532471,5.109375,5.3125,5.046875,5.234375,867200
2000-04-05,4.400157928466797,5.359375,5.375,5.109375,5.109375,1392000
2000-04-06,4.400157928466797,5.359375,5.453125,5.34375,5.375,932800
2000-04-07,4.412985801696777,5.375,5.453125,5.3125,5.3125,716800
2000-04-10,4.36167049407959,5.3125,5.421875,5.265625,5.3125,431200
2000-04-11,4.412985801696777,5.375,5.515625,5.3125,5.3125,927200
2000-04-12,4.643898010253906,5.65625,5.75,5.34375,5.390625,775200
2000-04-13,4.682382583618164,5.703125,5.8125,5.578125,5.625,1052800
2000-04-14,4.387328624725342,5.34375,5.71875,5.3125,5.65625,2032400
2000-04-17,4.464300632476807,5.4375,5.5,5.21875,5.25,916800
2000-04-18,4.425814628601074,5.390625,5.4375,5.25,5.359375,1213200
2000-04-19,4.451469898223877,5.421875,5.46875,5.3125,5.40625,652400
2000-04-20,4.528440952301025,5.515625,5.546875,5.34375,5.359375,1218000
2000-04-24,4.477126598358154,5.453125,5.5625,5.40625,5.46875,630000
2000-04-25,4.515614032745361,5.5,5.609375,5.34375,5.453125,1477600
2000-04-26,4.579754829406738,5.578125,5.625,5.1875,5.4375,993600
2000-04-27,4.477126598358154,5.453125,5.59375,5.421875,5.515625,740400
2000-04-28,4.412985801696777,5.375,5.40625,5.28125,5.40625,1361200
2000-05-01,4.451469898223877,5.421875,5.5625,5.3125,5.3125,510000
2000-05-02,4.502782821655273,5.484375,5.578125,5.390625,5.390625,453200
2000-05-03,4.438643932342529,5.40625,5.5,5.3125,5.453125,480000
2000-05-04,4.489956378936768,5.46875,5.5625,5.390625,5.390625,871200
2000-05-05,4.515614032745361,5.5,5.59375,5.421875,5.4375,442000
2000-05-08,4.387328624725342,5.34375,5.5,5.3125,5.5,716000
2000-05-09,4.515614032745361,5.5,5.53125,5.375,5.40625,350800
2000-05-10,4.400157928466797,5.359375,5.5,5.34375,5.5,519600
2000-05-11,4.631069183349609,5.640625,5.71875,5.359375,5.359375,1023600
2000-05-12,4.6567254066467285,5.671875,5.71875,5.625,5.625,350000
2000-05-15,4.579754829406738,5.578125,5.671875,5.484375,5.671875,400400
2000-05-16,4.708038330078125,5.734375,5.78125,5.5,5.53125,446400
2000-05-17,4.489956378936768,5.46875,5.6875,5.375,5.671875,626800
2000-05-18,4.438643932342529,5.40625,5.5,5.390625,5.453125,585200
2000-05-19,4.387328624725342,5.34375,5.4375,5.328125,5.328125,333600
2000-05-22,4.400157928466797,5.359375,5.453125,5.3125,5.375,647600
2000-05-23,4.412985801696777,5.375,5.46875,5.359375,5.40625,384400
2000-05-24,4.451469898223877,5.421875,5.5,5.375,5.375,282800
2000-05-25,4.425814628601074,5.390625,5.53125,5.375,5.375,324400
2000-05-26,4.515614032745361,5.5,5.515625,5.40625,5.453125,299200
2000-05-30,4.477126598358154,5.453125,5.53125,5.4375,5.46875,274800
2000-05-31,4.554100036621094,5.546875,5.5625,5.375,5.40625,632000
2000-06-01,4.464300632476807,5.4375,5.515625,5.421875,5.5,628800
2000-06-02,4.797839164733887,5.84375,5.859375,5.46875,5.5,748800
2000-06-05,4.618241310119629,5.625,5.6875,5.53125,5.625,470400
