Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RVTY,RVTY,RVTY,RVTY,RVTY,RVTY
Date,,,,,,
2000-01-03,16.322689056396484,20.71875,21.0,20.375,20.875,283400
2000-01-04,15.559490203857422,19.75,20.71875,19.65625,20.71875,249200
2000-01-05,15.387146949768066,19.53125,19.90625,19.0,19.84375,190400
2000-01-06,15.58410358428955,19.78125,20.25,19.5625,19.65625,401400
2000-01-07,15.781049728393555,20.03125,20.03125,19.625,19.96875,453200
2000-01-10,16.421167373657227,20.84375,21.46875,19.90625,19.90625,411400
2000-01-11,15.904153823852539,20.1875,20.96875,20.15625,20.9375,178800
2000-01-12,15.928779602050781,20.21875,20.4375,19.90625,20.0625,204200
2000-01-13,16.371923446655273,20.78125,20.84375,20.09375,20.09375,396400
2000-01-14,16.371923446655273,20.78125,21.21875,20.53125,20.875,569200
2000-01-18,16.987417221069336,21.5625,21.625,20.625,20.75,745600
2000-01-19,17.289731979370117,21.875,22.25,21.0,21.5,662400
2000-01-20,17.981319427490234,22.75,23.28125,21.875,21.875,998400
2000-01-21,18.62352180480957,23.5625,24.5,22.875,23.0625,1146800
2000-01-24,18.69761848449707,23.65625,24.0625,23.28125,23.75,798200
2000-01-25,18.79640769958496,23.78125,24.1875,23.46875,23.78125,786200
2000-01-26,18.845809936523438,23.84375,24.0,23.65625,23.75,471800
2000-01-27,19.4385929107666,24.59375,25.21875,24.46875,24.8125,901200
2000-01-28,19.685596466064453,24.90625,25.46875,24.65625,24.6875,1041400
2000-01-31,19.78439712524414,25.03125,25.28125,24.8125,24.84375,717600
2000-02-01,20.327791213989258,25.71875,25.96875,24.875,24.90625,762400
2000-02-02,20.006690979003906,25.3125,26.0,25.125,25.625,555800
2000-02-03,20.130191802978516,25.46875,25.78125,25.375,25.40625,551000
2000-02-04,20.821773529052734,26.34375,26.5,25.3125,25.59375,667000
2000-02-07,21.068777084350586,26.65625,26.8125,26.25,26.625,583400
2000-02-08,21.760360717773438,27.53125,27.875,26.75,26.78125,658200
2000-02-09,21.538068771362305,27.25,27.71875,27.0625,27.53125,718600
2000-02-10,21.735660552978516,27.5,27.5,26.6875,27.3125,422400
2000-02-11,22.328447341918945,28.25,29.0,27.75,28.4375,1039400
2000-02-14,23.612823486328125,29.875,30.15625,28.40625,28.46875,1401200
2000-02-15,25.81109046936035,32.65625,33.4375,29.6875,30.03125,1517400
2000-02-16,26.502685546875,33.53125,34.46875,31.8125,32.53125,1090600
2000-02-17,30.08414077758789,38.0625,42.25,33.53125,33.53125,2996200
2000-02-18,26.873184204101562,34.0,38.21875,33.0,38.21875,2592800
2000-02-22,27.663572311401367,35.0,35.8125,33.8125,34.0,1860200
2000-02-23,27.14487648010254,34.34375,35.1875,33.84375,35.125,509200
2000-02-24,25.761699676513672,32.59375,34.9375,32.25,34.53125,922600
2000-02-25,24.897216796875,31.5,32.5625,31.0,32.5625,1125400
2000-02-28,23.85982894897461,30.1875,31.46875,28.40625,31.25,1547200
