Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC
Date,,,,,,
2000-01-03,16.96917152404785,18.0,19.1875,17.625,18.5625,233800
2000-01-04,16.733491897583008,17.75,18.125,16.5,17.9375,195500
2000-01-05,16.026445388793945,17.0,17.0,16.5,16.625,166700
2000-01-06,15.967529296875,16.9375,17.0,16.6875,16.875,410900
2000-01-07,17.32270050048828,18.375,18.5625,16.75,16.8125,508600
2000-01-10,20.74010467529297,22.0,22.625,21.0,21.875,1448400
2000-01-11,24.39319610595703,25.875,27.125,22.25,22.71875,713300
2000-01-12,21.447154998779297,22.75,27.8125,22.5,27.5,433600
2000-01-13,23.98074722290039,25.4375,26.5,23.0,24.125,150300
2000-01-14,23.627220153808594,25.0625,26.5,24.0,25.46875,124900
2000-01-18,26.33757781982422,27.9375,27.9375,23.125,23.25,270800
2000-01-19,25.33592414855957,26.875,27.9375,26.125,27.9375,114300
2000-01-20,25.33592414855957,26.875,27.0,26.25,26.375,276100
2000-01-21,25.33592414855957,26.875,27.5,26.5,27.25,539600
2000-01-24,26.750024795532227,28.375,29.9375,26.5,26.875,165500
2000-01-25,28.753326416015625,30.5,31.375,28.4375,28.4375,226400
2000-01-26,29.696063995361328,31.5,34.0,30.5625,31.5625,244600
2000-01-27,27.280311584472656,28.9375,32.25,27.875,32.0,289100
2000-01-28,28.51765251159668,30.25,30.375,26.75,26.875,3695000
2000-01-31,28.576566696166992,30.3125,30.75,28.75,29.75,972000
2000-02-01,31.22800636291504,33.125,33.75,31.0,31.96875,675100
2000-02-02,32.05289077758789,34.0,34.0,32.625,33.9375,974600
2000-02-03,32.99562072753906,35.0,35.0,34.0,34.0625,889800
2000-02-04,32.52425765991211,34.5,35.0,33.75,35.0,465100
2000-02-07,33.34915542602539,35.375,36.5,34.75,34.75,770400
2000-02-08,32.64209747314453,34.625,35.5,33.375,35.5,176200
2000-02-09,31.817218780517578,33.75,34.625,31.25,34.3125,660500
2000-02-10,32.75994110107422,34.75,35.75,33.625,33.875,333700
2000-02-11,32.87778091430664,34.875,35.375,34.75,35.25,650300
2000-02-14,32.87778091430664,34.875,35.703125,34.125,35.25,253000
2000-02-15,33.05454635620117,35.0625,35.0625,33.6875,35.0,183000
2000-02-16,32.17073440551758,34.125,35.125,32.4375,35.125,99000
2000-02-17,29.813907623291016,31.625,33.9375,31.5,33.0,425900
2000-02-18,26.16081428527832,27.75,31.8125,27.75,31.78125,387000
2000-02-22,28.39980697631836,30.125,31.0,29.375,30.0,832800
2000-02-23,29.106855392456055,30.875,31.5,30.0,30.3125,691500
2000-02-24,31.34584617614746,33.25,33.375,32.25,33.0,437000
2000-02-25,33.9383430480957,36.0,36.375,34.0625,34.125,698400
2000-02-28,33.9383430480957,36.0,36.5,35.25,36.5,621000
2000-02-29,38.1806526184082,40.5,41.375,36.5,36.8125,422200
2000-03-01,40.89100646972656,43.375,45.875,41.0,41.0,321400
2000-03-02,40.41963577270508,42.875,43.875,42.75,43.25,402100
2000-03-03,41.59804916381836,44.125,45.0,42.875,43.5,195400
2000-03-06,40.77315902709961,43.25,44.25,42.375,44.25,222400
2000-03-07,42.1872673034668,44.75,45.0,43.0,43.8125,235100
2000-03-08,45.368988037109375,48.125,52.0,44.5,45.125,418000
2000-03-09,44.661930084228516,47.375,50.0,47.25,49.375,349400
2000-03-10,46.78307342529297,49.625,52.0,47.25,48.0,477600
2000-03-13,50.67184829711914,53.75,54.75,49.0,49.5,289600
2000-03-14,49.493446350097656,52.5,54.75,51.875,54.625,487300
2000-03-15,46.13494873046875,48.9375,52.9375,47.75,52.5625,378000
2000-03-16,42.776466369628906,45.375,50.0,42.625,49.375,351800
2000-03-17,47.195533752441406,50.0625,50.625,45.125,45.25,770400
2000-03-20,46.4295539855957,49.25,51.25,49.25,50.1875,468700
2000-03-21,44.485172271728516,47.1875,49.3125,47.0,49.25,241400
2000-03-22,45.31006622314453,48.0625,49.0,47.125,47.25,441800
2000-03-23,45.840354919433594,48.625,49.625,48.25,49.0,306500
2000-03-24,43.60136413574219,46.25,48.984375,45.125,48.5,222100
2000-03-27,46.25279235839844,49.0625,49.1875,45.5,45.5,685700
2000-03-28,46.13494873046875,48.9375,50.5,48.25,49.6875,259800
2000-03-29,42.894309997558594,45.5,49.25,45.25,49.0,224700
2000-03-30,37.70928955078125,40.0,45.3125,36.25,45.125,451200
2000-03-31,41.48020935058594,44.0,44.5,40.25,40.25,310400
2000-04-03,39.123390197753906,41.5,45.0,41.5,44.125,244100
2000-04-04,36.413028717041016,38.625,42.375,31.5,41.6875,680300
2000-04-05,37.47360610961914,39.75,41.375,36.5,37.0,427100
2000-04-06,40.24287033081055,42.6875,43.0,40.75,40.9375,227500
2000-04-07,42.540794372558594,45.125,45.125,42.75,43.0,158400
2000-04-10,40.65532684326172,43.125,49.0,43.0,48.5,310800
2000-04-11,36.413028717041016,38.625,43.5,38.5,42.875,313800
2000-04-12,37.5914421081543,39.875,40.5,38.625,39.0625,1033600
2000-04-13,36.29519271850586,38.5,42.25,38.375,40.625,367200
2000-04-14,33.820518493652344,35.875,36.5,34.0,35.5,335300
2000-04-17,32.288578033447266,34.25,34.25,33.0,34.0,383400
2000-04-18,37.827125549316406,40.125,41.125,33.0,33.0,536000
2000-04-19,34.70432662963867,36.8125,41.25,36.8125,40.25,99700
2000-04-20,35.11677932739258,37.25,38.0,36.125,37.5,129800
2000-04-24,37.65035629272461,39.9375,39.9375,34.25,36.25,108600
2000-04-25,35.11677932739258,37.25,40.0,37.125,40.0,96900
2000-04-26,36.8843879699707,39.125,39.6875,38.125,38.125,509300
2000-04-27,40.30180358886719,42.75,42.75,38.0625,38.5,427800
2000-04-28,38.298500061035156,40.625,43.25,40.625,42.75,50500
2000-05-01,38.769859313964844,41.125,42.625,40.625,40.75,51700
2000-05-02,39.00553512573242,41.375,42.625,40.625,40.75,79800
2000-05-03,39.594749450683594,42.0,42.0,38.875,40.75,81400
2000-05-04,40.77315902709961,43.25,43.625,41.375,42.125,76100
2000-05-05,42.1872673034668,44.75,45.0,41.25,42.75,87200
