Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SWKS,SWKS,SWKS,SWKS,SWKS,SWKS
Date,,,,,,
2000-01-03,26.145221710205078,31.40625,31.5,28.84375,29.0625,512000
2000-01-04,24.61033058166504,29.5625,30.875,28.59375,30.8125,292600
2000-01-05,25.247695922851562,30.328125,30.4375,28.5625,29.59375,411800
2000-01-06,22.789264678955078,27.375,30.40625,26.3125,29.125,385400
2000-01-07,25.130626678466797,30.1875,30.46875,26.25,27.1875,536000
2000-01-10,23.76483154296875,28.546875,30.21875,27.75,30.0,339800
2000-01-11,23.751829147338867,28.53125,30.625,28.1875,28.375,611400
2000-01-12,26.94518280029297,32.3671875,32.5625,30.3125,30.4375,1927200
2000-01-13,28.720720291137695,34.5,34.6875,32.40625,32.40625,1653400
2000-01-14,31.63442039489746,38.0,38.75,35.0,35.5,1820200
2000-01-18,32.935176849365234,39.5625,39.5625,36.71875,36.71875,697200
2000-01-19,36.72037887573242,44.109375,44.3125,38.59375,39.03125,1000000
2000-01-20,37.66992950439453,45.25,46.5,42.40625,44.3125,545400
2000-01-21,38.268280029296875,45.96875,47.46875,44.6875,45.90625,666200
2000-01-24,36.95450973510742,44.390625,50.0625,41.875,45.84375,549600
2000-01-25,37.87805938720703,45.5,46.5625,43.0,44.25,845400
2000-01-26,36.05699157714844,43.3125,46.125,41.875,45.875,440800
2000-01-27,36.213077545166016,43.5,46.1875,43.0,43.15625,907000
2000-01-28,36.42119216918945,43.75,45.625,42.96875,43.53125,293200
2000-01-31,34.86029052734375,41.875,43.96875,40.34375,43.96875,257800
2000-02-01,36.629329681396484,44.0,44.4375,40.46875,41.75,266400
2000-02-02,40.505577087402344,48.65625,49.9375,44.3125,44.8125,726400
2000-02-03,43.159122467041016,51.84375,52.0625,48.5625,48.5625,551400
2000-02-04,44.511905670166016,53.46875,55.5,51.9375,51.9375,397400
2000-02-07,46.476043701171875,55.828125,56.65625,53.375,53.5,1080400
2000-02-08,41.78031539916992,50.1875,57.15625,50.0,56.640625,476400
2000-02-09,41.702274322509766,50.09375,52.5,49.6875,52.5,340000
2000-02-10,49.01252746582031,58.875,59.5,50.3125,50.96875,481200
2000-02-11,48.20606231689453,57.90625,62.25,56.0,61.75,739800
