Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TDY,TDY,TDY,TDY,TDY,TDY
Date,,,,,,
2000-01-03,9.375,9.375,9.625,9.3125,9.5625,315400
2000-01-04,9.125,9.125,9.375,8.9375,9.375,444300
2000-01-05,9.5,9.5,9.6875,9.0625,9.0625,109100
2000-01-06,9.25,9.25,9.625,9.125,9.625,120700
2000-01-07,9.5625,9.5625,9.625,9.375,9.5625,222100
2000-01-10,9.75,9.75,9.8125,9.5,9.5625,97500
2000-01-11,9.375,9.375,9.5625,9.125,9.5,290600
2000-01-12,9.375,9.375,9.5,9.3125,9.375,60300
2000-01-13,9.25,9.25,9.375,9.1875,9.25,82400
2000-01-14,9.5625,9.5625,9.625,9.1875,9.25,36100
2000-01-18,9.625,9.625,9.875,9.4375,9.5625,72300
2000-01-19,9.6875,9.6875,10.0,9.5625,9.75,429300
2000-01-20,9.4375,9.4375,9.75,9.25,9.6875,21800
2000-01-21,9.75,9.75,9.75,9.375,9.375,16100
2000-01-24,9.625,9.625,10.0,9.625,9.9375,122900
2000-01-25,9.5625,9.5625,9.8125,9.5,9.75,40200
2000-01-26,9.5625,9.5625,9.875,9.5625,9.6875,65500
2000-01-27,9.6875,9.6875,10.0625,9.6875,9.6875,112700
2000-01-28,9.25,9.25,9.9375,9.25,9.8125,247000
2000-01-31,9.25,9.25,9.4375,9.1875,9.375,128200
2000-02-01,9.25,9.25,9.375,9.1875,9.1875,62400
2000-02-02,9.1875,9.1875,9.5,9.1875,9.375,124500
2000-02-03,9.1875,9.1875,9.1875,9.0,9.1875,291200
2000-02-04,9.0,9.0,9.4375,9.0,9.4375,63800
2000-02-07,8.9375,8.9375,9.1875,8.875,9.1875,29300
2000-02-08,9.0,9.0,9.125,8.875,8.9375,107800
2000-02-09,8.9375,8.9375,9.125,8.9375,9.0,152600
2000-02-10,8.75,8.75,9.0625,8.75,9.0625,87200
2000-02-11,8.6875,8.6875,8.9375,8.6875,8.875,57000
2000-02-14,8.625,8.625,8.8125,8.625,8.8125,37400
2000-02-15,8.9375,8.9375,9.0,8.625,8.625,101400
2000-02-16,8.8125,8.8125,9.0,8.8125,8.875,283000
2000-02-17,9.0,9.0,9.125,8.8125,8.9375,563600
2000-02-18,9.1875,9.1875,10.25,8.75,8.9375,402600
2000-02-22,9.5,9.5,9.75,9.3125,9.375,255200
2000-02-23,9.0,9.0,9.6875,8.75,9.625,374500
2000-02-24,8.875,8.875,9.375,8.875,9.125,128000
2000-02-25,8.8125,8.8125,9.125,8.8125,9.125,111600
2000-02-28,8.875,8.875,9.4375,8.75,8.9375,208900
2000-02-29,8.6875,8.6875,9.0,8.6875,9.0,118000
2000-03-01,8.5625,8.5625,8.9375,8.5625,8.6875,80000
2000-03-02,8.5,8.5,8.6875,8.5,8.5,88300
2000-03-03,8.875,8.875,8.9375,8.5625,8.625,26800
2000-03-06,9.0,9.0,9.125,8.8125,8.8125,76600
2000-03-07,8.625,8.625,9.125,8.625,9.0625,50400
2000-03-08,8.8125,8.8125,8.8125,8.375,8.625,166200
2000-03-09,9.0,9.0,9.0,8.625,8.9375,152400
2000-03-10,9.3125,9.3125,9.375,8.75,9.125,725500
2000-03-13,10.1875,10.1875,10.4375,8.875,9.4375,250400
2000-03-14,10.8125,10.8125,11.625,10.5,10.5,435100
2000-03-15,10.625,10.625,11.0,10.625,10.9375,137200
2000-03-16,10.9375,10.9375,11.0625,10.75,11.0,440900
2000-03-17,12.375,12.375,12.875,11.0,11.0,926200
2000-03-20,13.0625,13.0625,13.4375,12.625,13.0,717400
2000-03-21,13.625,13.625,13.875,12.75,13.4375,527500
2000-03-22,13.5625,13.5625,13.75,12.5625,13.625,437100
2000-03-23,13.625,13.625,13.75,13.0,13.5,496700
2000-03-24,15.6875,15.6875,15.9375,13.75,13.9375,585900
2000-03-27,18.375,18.375,18.5625,16.1875,16.5,1053800
2000-03-28,26.0,26.0,28.5,18.5,19.5625,1939100
2000-03-29,18.75,18.75,24.9375,18.5,24.9375,2304600
2000-03-30,19.0,19.0,19.0,16.0,18.25,808500
2000-03-31,18.5,18.5,19.125,16.5,18.25,580600
2000-04-03,15.8125,15.8125,17.625,15.5,17.5,455200
2000-04-04,14.875,14.875,15.75,13.375,15.75,775200
2000-04-05,16.0,16.0,16.875,14.375,14.875,387000
2000-04-06,15.8125,15.8125,16.625,15.125,16.25,311000
2000-04-07,15.9375,15.9375,16.5,15.8125,16.1875,238000
2000-04-10,15.875,15.875,16.4375,15.75,16.4375,153100
2000-04-11,15.625,15.625,16.0625,15.375,15.8125,89000
2000-04-12,15.5625,15.5625,15.9375,15.25,15.8125,195500
2000-04-13,16.1875,16.1875,16.8125,15.625,15.625,128900
2000-04-14,13.875,13.875,16.3125,13.75,16.3125,254100
2000-04-17,14.625,14.625,14.9375,13.3125,13.75,248600
2000-04-18,16.5625,16.5625,17.25,15.125,15.125,254600
2000-04-19,17.125,17.125,17.25,16.5625,16.5625,194000
2000-04-20,17.0625,17.0625,17.125,16.5625,17.0,78300
2000-04-24,17.8125,17.8125,18.0,16.4375,17.0625,174200
2000-04-25,19.1875,19.1875,19.8125,17.9375,17.9375,206800
2000-04-26,19.625,19.625,20.0,18.6875,19.1875,141700
2000-04-27,18.125,18.125,19.1875,17.375,19.1875,345400
2000-04-28,17.5,17.5,18.375,16.5,18.25,183600
2000-05-01,18.0625,18.0625,18.1875,17.375,17.4375,110900
2000-05-02,18.125,18.125,18.5625,17.9375,18.0,110600
2000-05-03,18.0,18.0,18.0,17.0,17.875,186600
2000-05-04,18.125,18.125,18.125,17.3125,17.5,88200
2000-05-05,18.6875,18.6875,18.8125,18.25,18.375,95300
2000-05-08,18.3125,18.3125,18.6875,18.125,18.6875,68300
2000-05-09,18.875,18.875,19.0625,18.5,18.5625,240900
2000-05-10,17.625,17.625,18.75,17.3125,18.625,95100
2000-05-11,17.6875,17.6875,18.0,17.5,17.875,40800
2000-05-12,17.5,17.5,18.0,17.5,17.5625,48100
2000-05-15,16.375,16.375,17.5625,16.25,17.5,88600
2000-05-16,16.0,16.0,16.625,15.625,16.5,140100
2000-05-17,15.1875,15.1875,16.125,15.0,16.0,180700
2000-05-18,14.25,14.25,15.125,14.1875,15.125,167700
2000-05-19,13.875,13.875,14.5,13.625,14.3125,356700
2000-05-22,13.125,13.125,13.875,12.75,13.875,100400
2000-05-23,13.0625,13.0625,13.625,12.9375,13.25,70400
2000-05-24,11.5,11.5,12.5,10.75,12.5,357200
2000-05-25,12.875,12.875,13.375,11.875,11.875,150600
2000-05-26,12.6875,12.6875,13.125,12.25,13.0,77300
2000-05-30,16.0,16.0,16.0,13.0,13.0,74100
2000-05-31,15.8125,15.8125,15.8125,13.6875,13.6875,51200
2000-06-01,14.875,14.875,15.0,14.5,14.5625,89500
2000-06-02,14.5,14.5,15.125,14.5,14.875,83800
2000-06-05,14.3125,14.3125,14.625,14.0625,14.625,50800
2000-06-06,13.4375,13.4375,14.4375,13.25,14.0,89600
2000-06-07,14.4375,14.4375,15.625,13.375,13.375,137700
2000-06-08,13.6875,13.6875,14.4375,13.5625,14.4375,75800
2000-06-09,13.5,13.5,13.9375,13.4375,13.8125,86200
2000-06-12,13.5,13.5,14.0,13.4375,13.625,153500
2000-06-13,13.75,13.75,13.8125,13.4375,13.75,138800
2000-06-14,13.3125,13.3125,13.75,13.3125,13.75,58600
2000-06-15,13.1875,13.1875,13.5,13.0625,13.3125,33600
2000-06-16,13.5,13.5,13.5625,13.0625,13.0625,92400
2000-06-19,13.625,13.625,13.875,13.5,13.8125,48100
2000-06-20,13.5625,13.5625,13.75,13.5,13.75,32800
2000-06-21,13.875,13.875,14.0,13.625,14.0,140000
2000-06-22,16.0,16.0,16.5,14.0625,14.125,267500
2000-06-23,15.9375,15.9375,16.375,15.5,16.0,136500
2000-06-26,16.875,16.875,16.875,15.5,15.5,125800
2000-06-27,17.625,17.625,18.375,16.1875,16.3125,190900
2000-06-28,18.75,18.75,18.75,17.375,17.5,123600
2000-06-29,19.125,19.125,19.125,17.4375,17.4375,309700
2000-06-30,18.875,18.875,19.5,16.75,19.0625,447600
2000-07-03,18.6875,18.6875,18.6875,17.0,17.125,54200
2000-07-05,17.5,17.5,17.875,17.1875,17.5,80400
2000-07-06,16.8125,16.8125,17.0,16.5,16.8125,73300
2000-07-07,17.0625,17.0625,17.1875,16.8125,16.8125,39000
2000-07-10,17.125,17.125,17.5,16.9375,16.9375,36700
2000-07-11,17.25,17.25,17.4375,17.0,17.125,129600
2000-07-12,17.5,17.5,17.625,17.3125,17.3125,79000
2000-07-13,17.5625,17.5625,17.6875,17.3125,17.5,96400
2000-07-14,17.375,17.375,17.75,17.25,17.75,104300
2000-07-17,17.3125,17.3125,17.4375,17.1875,17.4375,51100
2000-07-18,17.9375,17.9375,18.125,17.25,17.25,98200
2000-07-19,17.625,17.625,18.0,17.5625,17.9375,57800
2000-07-20,18.9375,18.9375,19.25,17.625,17.625,131700
2000-07-21,18.9375,18.9375,19.0625,18.4375,18.5625,81800
2000-07-24,18.9375,18.9375,19.125,18.75,19.0,67400
2000-07-25,18.9375,18.9375,18.9375,18.625,18.875,32700
2000-07-26,21.5625,21.5625,21.5625,18.6875,18.875,191600
2000-07-27,19.875,19.875,20.875,19.8125,20.875,117000
2000-07-28,20.0,20.0,20.25,19.875,20.0,97700
2000-07-31,19.75,19.75,20.0,19.5625,20.0,111000
2000-08-01,18.8125,18.8125,19.9375,18.25,19.9375,77000
2000-08-02,19.25,19.25,19.25,18.375,18.75,41800
2000-08-03,18.25,18.25,19.25,17.9375,19.25,147800
2000-08-04,15.25,15.25,16.125,14.6875,15.5,531300
2000-08-07,16.75,16.75,17.0,14.875,15.25,255200
2000-08-08,16.625,16.625,16.75,16.25,16.6875,62700
2000-08-09,19.25,19.25,19.75,16.75,16.75,708100
2000-08-10,19.25,19.25,20.5625,18.5,19.0,348200
2000-08-11,19.5,19.5,20.25,19.0,19.0,267900
2000-08-14,19.5625,19.5625,20.0,19.375,19.375,41400
2000-08-15,19.25,19.25,19.5625,18.5,19.5625,84100
2000-08-16,19.75,19.75,19.875,18.1875,18.625,63800
2000-08-17,20.4375,20.4375,20.9375,20.3125,20.5,2349500
2000-08-18,20.125,20.125,20.25,19.625,20.25,562900
2000-08-21,19.9375,19.9375,20.375,19.875,20.375,353000
2000-08-22,19.75,19.75,19.9375,19.5,19.9375,581800
