Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TPR,TPR,TPR,TPR,TPR,TPR
Date,,,,,,
2000-10-06,1.6026813983917236,2.4375,2.578125,2.34375,2.546875,7776800
2000-10-09,1.489672064781189,2.265625,2.429687976837158,2.265625,2.429687976837158,2759200
2000-10-10,1.510218858718872,2.296875,2.375,2.25,2.25,2257600
2000-10-11,1.4588514566421509,2.21875,2.289062976837158,2.203125,2.289062976837158,3709600
2000-10-12,1.3869357109069824,2.109375,2.1875,2.0,2.1875,4552000
2000-10-13,1.41775643825531,2.15625,2.15625,2.0625,2.078125,1595200
2000-10-16,1.422893762588501,2.164062976837158,2.1875,2.140625,2.15625,1236800
2000-10-17,1.510218858718872,2.296875,2.328125,2.15625,2.15625,620000
2000-10-18,1.4331672191619873,2.179687976837158,2.296875,2.171875,2.28125,1392000
2000-10-19,1.4023463726043701,2.132812976837158,2.203125,2.125,2.195312976837158,1219200
2000-10-20,1.3972091674804688,2.125,2.148437976837158,2.109375,2.148437976837158,1064800
2000-10-23,1.3766621351242065,2.09375,2.125,2.09375,2.125,1488800
2000-10-24,1.4383035898208618,2.1875,2.1875,2.117187976837158,2.125,533600
2000-10-25,1.4999456405639648,2.28125,2.34375,2.171875,2.1875,1664000
2000-10-26,1.489672064781189,2.265625,2.265625,2.203125,2.265625,338400
2000-10-27,1.6026813983917236,2.4375,2.453125,2.273437976837158,2.289062976837158,400000
2000-10-30,1.767059326171875,2.6875,2.6875,2.40625,2.414062976837158,741600
2000-10-31,1.9211629629135132,2.921875,3.03125,2.8125,2.8125,3561600
2000-11-01,1.9057525396347046,2.898437976837158,2.929687976837158,2.796875,2.890625,2935200
2000-11-02,1.9622572660446167,2.984375,3.015625,2.890625,2.914062976837158,914400
2000-11-03,2.0752673149108887,3.15625,3.15625,2.875,2.953125,2640800
2000-11-06,1.9776681661605835,3.007812976837158,3.15625,3.0,3.15625,677600
2000-11-07,1.9519844055175781,2.96875,3.0,2.890625,3.0,866400
2000-11-08,1.9725308418273926,3.0,3.0,2.703125,2.78125,2896000
2000-11-09,1.9673947095870972,2.992187976837158,3.03125,2.921875,3.0,1449600
2000-11-10,2.034172296524048,3.09375,3.125,2.984375,2.984375,368000
2000-11-13,1.8184267282485962,2.765625,3.0625,2.75,3.0625,726400
2000-11-14,1.8697949647903442,2.84375,2.84375,2.65625,2.75,1000800
2000-11-15,1.8903427124023438,2.875,2.90625,2.804687976837158,2.859375,736800
2000-11-16,1.8852070569992065,2.867187976837158,2.875,2.859375,2.859375,72800
2000-11-17,1.9211629629135132,2.921875,2.921875,2.851562976837158,2.890625,272800
2000-11-20,1.8697949647903442,2.84375,2.90625,2.75,2.90625,264800
2000-11-21,1.8595218658447266,2.828125,2.84375,2.820312976837158,2.835937976837158,712800
2000-11-22,1.8903427124023438,2.875,2.875,2.8125,2.84375,404000
2000-11-24,1.8903427124023438,2.875,2.875,2.867187976837158,2.875,242400
2000-11-27,1.9519844055175781,2.96875,2.976562976837158,2.875,2.90625,833600
2000-11-28,1.9314360618591309,2.9375,3.023437976837158,2.9375,2.945312976837158,1260800
2000-11-29,1.8287006616592407,2.78125,2.90625,2.75,2.90625,128000
2000-11-30,1.8184267282485962,2.765625,2.765625,2.71875,2.75,688000
2000-12-01,1.8081539869308472,2.75,2.75,2.6875,2.734375,416800
2000-12-04,1.900615930557251,2.890625,2.890625,2.734375,2.734375,1025600
2000-12-05,1.8287006616592407,2.78125,2.890625,2.78125,2.890625,1095200
2000-12-06,1.8954797983169556,2.882812976837158,2.898437976837158,2.765625,2.765625,408800
2000-12-07,1.9725308418273926,3.0,3.0625,2.914062976837158,2.914062976837158,440000
2000-12-08,2.085540533065796,3.171875,3.21875,3.007812976837158,3.03125,424800
2000-12-11,2.1214983463287354,3.226562976837158,3.25,3.15625,3.171875,264800
2000-12-12,2.0495834350585938,3.117187976837158,3.21875,3.109375,3.164062976837158,470400
2000-12-13,1.9725308418273926,3.0,3.101562976837158,3.0,3.101562976837158,324000
2000-12-14,1.731101632118225,2.632812976837158,3.0,2.515625,3.0,1654400
2000-12-15,1.731101632118225,2.632812976837158,2.640625,2.625,2.640625,32800
2000-12-18,1.6951440572738647,2.578125,2.664062976837158,2.515625,2.65625,369600
2000-12-19,1.7054173946380615,2.59375,2.59375,2.546875,2.570312976837158,316800
2000-12-20,1.6643229722976685,2.53125,2.585937976837158,2.515625,2.585937976837158,838400
2000-12-21,1.725965142250061,2.625,2.625,2.53125,2.546875,652000
2000-12-22,1.8389742374420166,2.796875,2.8125,2.625,2.625,232000
2000-12-26,1.9314360618591309,2.9375,3.0,2.804687976837158,2.804687976837158,272000
2000-12-27,2.0547194480895996,3.125,3.125,3.0,3.0,406400
2000-12-28,2.3218328952789307,3.53125,3.578125,3.125,3.125,1199200
2000-12-29,2.362928628921509,3.59375,3.671875,3.53125,3.53125,590400
2001-01-02,2.147181987762451,3.265625,3.625,3.25,3.578125,1202400
2001-01-03,2.1420459747314453,3.257812976837158,3.28125,3.21875,3.25,487200
2001-01-04,2.0547194480895996,3.125,3.25,3.117187976837158,3.25,1032000
2001-01-05,2.003351926803589,3.046875,3.125,3.046875,3.109375,274400
2001-01-08,1.8441109657287598,2.804687976837158,3.03125,2.75,3.03125,480000
2001-01-09,1.9108887910842896,2.90625,2.953125,2.851562976837158,2.875,709600
2001-01-10,2.0649940967559814,3.140625,3.296875,3.109375,3.15625,2014400
2001-01-11,2.239645004272461,3.40625,3.421875,3.15625,3.15625,760000
2001-01-12,2.188277006149292,3.328125,3.4375,3.328125,3.375,578400
2001-01-16,2.3372437953948975,3.554687976837158,3.59375,3.296875,3.296875,269600
2001-01-17,2.3834760189056396,3.625,3.8125,3.53125,3.554687976837158,1263200
2001-01-18,2.465663194656372,3.75,3.773437976837158,3.625,3.625,450400
2001-01-19,2.4964845180511475,3.796875,3.8125,3.75,3.8125,424800
2001-01-22,2.547853708267212,3.875,3.953125,3.804687976837158,3.804687976837158,2515200
2001-01-23,2.547853708267212,3.875,4.0625,3.859375,4.0,2376000
2001-01-24,2.5273051261901855,3.84375,3.867187976837158,3.71875,3.867187976837158,4156800
2001-01-25,2.486210584640503,3.78125,3.84375,3.765625,3.835937976837158,5560000
2001-01-26,2.5067577362060547,3.8125,3.8125,3.78125,3.78125,2942400
2001-01-29,2.546208620071411,3.872499942779541,3.934999942779541,3.8137500286102295,3.827500104904175,936800
2001-01-30,2.5766191482543945,3.918750047683716,3.950000047683716,3.8687500953674316,3.872499942779541,1567200
2001-01-31,2.773871421813965,4.21875,4.25,3.950000047683716,3.950000047683716,3824800
2001-02-01,2.928387403488159,4.453750133514404,4.537499904632568,4.212500095367432,4.224999904632568,2373600
2001-02-02,2.958796739578247,4.5,4.800000190734863,4.481249809265137,4.550000190734863,3716800
2001-02-05,2.8914027214050293,4.397500038146973,4.5,4.352499961853027,4.487500190734863,2656800
2001-02-06,2.804281234741211,4.264999866485596,4.400000095367432,4.25,4.375,3628000
2001-02-07,2.8149664402008057,4.28125,4.525000095367432,4.25,4.25,1839200
2001-02-08,2.7779805660247803,4.224999904632568,4.293749809265137,4.1875,4.28000020980835,2738400
2001-02-09,2.773871421813965,4.21875,4.262499809265137,4.191249847412109,4.237500190734863,856000
2001-02-12,2.6957931518554688,4.099999904632568,4.21875,4.068749904632568,4.21875,436800
2001-02-13,2.6957931518554688,4.099999904632568,4.215000152587891,4.099999904632568,4.106249809265137,660000
2001-02-14,2.790309190750122,4.243750095367432,4.243750095367432,4.101250171661377,4.101250171661377,1584800
2001-02-15,2.8149664402008057,4.28125,4.449999809265137,4.28125,4.375,696800
2001-02-16,2.7985281944274902,4.256249904632568,4.287499904632568,4.243750095367432,4.269999980926514,158400
2001-02-20,2.782090425491333,4.231249809265137,4.3125,4.21875,4.297500133514404,632000
2001-02-21,2.8429102897644043,4.323750019073486,4.474999904632568,4.306250095367432,4.474999904632568,1096800
2001-02-22,2.7944183349609375,4.25,4.25,4.125,4.125,620800
2001-02-23,2.7122294902801514,4.125,4.21999979019165,4.125,4.21875,1180000
2001-02-26,2.7081210613250732,4.118750095367432,4.159999847412109,4.09375,4.12624979019165,2472000
2001-02-27,2.6670265197753906,4.056250095367432,4.105000019073486,4.054999828338623,4.09375,882400
2001-02-28,2.477170467376709,3.7674999237060547,4.068749904632568,3.7674999237060547,4.068749904632568,609600
2001-03-01,2.3423805236816406,3.5625,3.752500057220459,3.5,3.7512500286102295,1388000
2001-03-02,2.294710874557495,3.490000009536743,3.549999952316284,3.4437499046325684,3.549999952316284,503200
2001-03-05,2.3037519454956055,3.5037500858306885,3.512500047683716,3.490000009536743,3.490000009536743,455200
2001-03-06,2.1697840690612793,3.299999952316284,3.4000000953674316,3.28125,3.4000000953674316,5880000
2001-03-07,2.1936187744140625,3.336250066757202,3.34375,3.299999952316284,3.299999952316284,2145600
2001-03-08,2.3095054626464844,3.512500047683716,3.5250000953674316,3.331249952316284,3.331249952316284,2920800
2001-03-09,2.3185458183288574,3.526249885559082,3.5625,3.5250000953674316,3.5625,1976000
2001-03-12,2.3144359588623047,3.5199999809265137,3.5562500953674316,3.5062499046325684,3.518749952316284,1716800
2001-03-13,2.2848496437072754,3.4749999046325684,3.507499933242798,3.40625,3.5062499046325684,1292800
2001-03-14,2.243753671646118,3.4124999046325684,3.4437499046325684,3.375,3.375,1640000
2001-03-15,2.235535144805908,3.4000000953674316,3.4375,3.3187499046325684,3.40625,6079200
2001-03-16,2.241288185119629,3.408750057220459,3.422499895095825,3.387500047683716,3.387500047683716,669600
2001-03-19,2.2963552474975586,3.492500066757202,3.492500066757202,3.40625,3.40625,2302400
2001-03-20,2.3021085262298584,3.5012500286102295,3.5250000953674316,3.492500066757202,3.492500066757202,4213600
2001-03-21,2.260192394256592,3.4375,3.447499990463257,3.40625,3.40625,974400
2001-03-22,2.204303503036499,3.3524999618530273,3.4387500286102295,3.2799999713897705,3.4387500286102295,2184800
