Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP,UNP
Date,,,,,,
2000-01-03,6.66270112991333,10.765625,11.03125,10.734375,11.03125,4101200
2000-01-04,6.65302848815918,10.75,10.84375,10.65625,10.765625,4865200
2000-01-05,6.65302848815918,10.75,10.9375,10.734375,10.75,3579600
2000-01-06,7.059172630310059,11.40625,11.5,10.75,10.75,6216000
2000-01-07,7.010818958282471,11.328125,11.421875,11.15625,11.40625,3256000
2000-01-10,7.175216197967529,11.59375,11.6875,11.375,11.59375,4311600
2000-01-11,7.233236312866211,11.6875,11.796875,11.5625,11.5625,2384000
2000-01-12,7.088184356689453,11.453125,11.703125,11.40625,11.625,2298800
2000-01-13,7.213897228240967,11.65625,11.90625,11.34375,11.453125,3092400
2000-01-14,7.126864910125732,11.515625,11.734375,11.421875,11.6875,2435600
2000-01-18,6.8657755851745605,11.09375,11.46875,11.0625,11.390625,2967600
2000-01-19,6.749732494354248,10.90625,10.921875,10.5625,10.78125,5771600
2000-01-20,6.4983110427856445,10.5,11.203125,10.21875,11.0625,8070800
2000-01-21,6.769069194793701,10.9375,11.046875,10.625,10.640625,5105200
2000-01-24,6.5660014152526855,10.609375,11.0625,10.59375,10.953125,3004000
2000-01-25,6.333916664123535,10.234375,10.671875,10.0,10.609375,5056800
2000-01-26,6.469299793243408,10.453125,10.453125,9.984375,10.25,3849200
2000-01-27,6.227546691894531,10.0625,10.5,10.015625,10.5,3670400
2000-01-28,6.285563945770264,10.15625,10.328125,9.9375,10.078125,3590400
2000-01-31,6.227546691894531,10.0625,10.28125,9.953125,10.15625,3682400
2000-02-01,6.237216472625732,10.078125,10.09375,9.875,10.0,2813200
2000-02-02,5.995462894439697,9.6875,10.0625,9.65625,10.03125,4220400
2000-02-03,6.08249568939209,9.828125,9.890625,9.75,9.8125,3600800
2000-02-04,6.237216472625732,10.078125,10.21875,9.921875,9.9375,4637200
2000-02-07,6.140514373779297,9.921875,10.125,9.875,10.0625,2911200
2000-02-08,5.995462894439697,9.6875,10.0,9.65625,9.984375,3675200
2000-02-09,6.024472713470459,9.734375,10.15625,9.703125,9.8125,4865600
2000-02-10,5.73436975479126,9.265625,9.734375,8.96875,9.734375,8339600
2000-02-11,5.686018943786621,9.1875,9.34375,9.15625,9.28125,3565600
2000-02-14,5.87942361831665,9.5,9.5,9.21875,9.3125,4377600
2000-02-15,6.005134105682373,9.703125,9.703125,9.4375,9.625,7250800
2000-02-16,5.782719612121582,9.34375,9.84375,9.25,9.75,5134400
2000-02-17,5.860081195831299,9.46875,9.5,9.1875,9.375,3093600
2000-02-18,5.840739727020264,9.4375,9.5625,9.359375,9.5,3406800
2000-02-22,6.005134105682373,9.703125,9.84375,9.46875,9.484375,3113200
2000-02-23,6.08249568939209,9.828125,9.859375,9.6875,9.703125,4042800
2000-02-24,5.763380527496338,9.3125,9.890625,9.0625,9.875,7104800
2000-02-25,5.792391777038574,9.359375,9.375,9.140625,9.3125,3038000
2000-02-28,5.956784725189209,9.625,9.6875,9.203125,9.359375,3203200
2000-02-29,5.87942361831665,9.5,9.703125,9.484375,9.609375,3417200
2000-03-01,5.918102264404297,9.5625,9.65625,9.5,9.53125,6612000
2000-03-02,5.850412368774414,9.453125,9.546875,9.34375,9.546875,3593200
2000-03-03,6.092165946960449,9.84375,10.0,9.390625,9.4375,5631600
2000-03-06,5.840739727020264,9.4375,9.78125,9.328125,9.78125,3090000
2000-03-07,5.569979190826416,9.0,9.375,8.921875,9.3125,5256400
2000-03-08,5.61832857131958,9.078125,9.265625,9.0625,9.125,4718000
2000-03-09,5.5603108406066895,8.984375,9.125,8.640625,9.125,6275600
2000-03-10,5.424928188323975,8.765625,9.0625,8.71875,8.921875,6513200
2000-03-13,5.485224723815918,8.8125,8.8125,8.5625,8.734375,3582000
2000-03-14,5.485224723815918,8.8125,8.875,8.71875,8.875,3457200
2000-03-15,5.8158955574035645,9.34375,9.34375,8.78125,8.78125,3905200
2000-03-16,6.195193290710449,9.953125,9.953125,9.296875,9.453125,7003200
2000-03-17,6.263274192810059,10.0625,10.15625,9.9375,10.0,4546800
2000-03-20,5.952054500579834,9.5625,10.171875,9.421875,10.109375,4032400
2000-03-21,6.224370956420898,10.0,10.03125,9.4375,9.4375,4837600
2000-03-22,6.010406970977783,9.65625,10.109375,9.578125,10.0625,3949600
2000-03-23,6.020133018493652,9.671875,9.6875,9.40625,9.5,2982000
2000-03-24,5.932601451873779,9.53125,9.71875,9.4375,9.640625,2878000
2000-03-27,6.020133018493652,9.671875,9.71875,9.5,9.5,2232800
2000-03-28,5.786721229553223,9.296875,9.671875,9.25,9.59375,3300400
2000-03-29,5.8936991691589355,9.46875,9.46875,9.25,9.296875,3122400
2000-03-30,5.786721229553223,9.296875,9.5,9.25,9.5,2840400
2000-03-31,6.0882110595703125,9.78125,9.78125,9.3125,9.359375,3893200
2000-04-03,6.029860496520996,9.6875,9.78125,9.65625,9.78125,4480000
2000-04-04,6.020133018493652,9.671875,9.828125,9.390625,9.71875,3644400
2000-04-05,6.379978656768799,10.25,10.25,9.671875,9.6875,4744800
2000-04-06,6.418881416320801,10.3125,10.59375,10.21875,10.25,5835600
2000-04-07,6.341076374053955,10.1875,10.28125,9.921875,10.28125,3235600
2000-04-10,6.477236747741699,10.40625,10.578125,10.109375,10.125,3093200
2000-04-11,6.710646629333496,10.78125,10.8125,10.40625,10.40625,3586800
2000-04-12,6.817630767822266,10.953125,11.015625,10.609375,10.78125,5521600
2000-04-13,6.662020683288574,10.703125,10.9375,10.515625,10.921875,3427200
2000-04-14,6.389703273773193,10.265625,10.671875,10.1875,10.671875,3517600
2000-04-17,6.195193290710449,9.953125,10.40625,9.953125,10.265625,4448000
2000-04-18,6.302173614501953,10.125,10.15625,9.953125,9.96875,2484800
2000-04-19,6.27299690246582,10.078125,10.390625,10.0,10.1875,3087600
2000-04-20,6.428606033325195,10.328125,10.328125,10.015625,10.15625,3432000
2000-04-24,6.545312881469727,10.515625,10.71875,10.3125,10.3125,2635200
2000-04-25,6.817630767822266,10.953125,11.21875,10.5,10.5,5768000
2000-04-26,7.070496559143066,11.359375,11.578125,11.203125,11.28125,6341600
2000-04-27,6.67174768447876,10.71875,11.3125,10.6875,11.25,4370800
2000-04-28,6.555037021636963,10.53125,10.796875,10.3125,10.796875,3790800
2000-05-01,6.6814703941345215,10.734375,10.84375,10.421875,10.46875,4576400
2000-05-02,6.4966864585876465,10.4375,10.71875,10.328125,10.59375,3259600
2000-05-03,6.45778226852417,10.375,10.640625,10.203125,10.3125,2203200
2000-05-04,6.3118977546691895,10.140625,10.4375,10.140625,10.4375,2612800
2000-05-05,6.584214687347412,10.578125,10.625,10.15625,10.15625,1982400
2000-05-08,6.632846355438232,10.65625,10.65625,10.5,10.515625,1576400
2000-05-09,6.759276390075684,10.859375,11.0,10.640625,10.65625,2952400
2000-05-10,6.67174768447876,10.71875,10.953125,10.640625,10.796875,1645600
2000-05-11,6.700921535491943,10.765625,10.890625,10.640625,10.8125,1475600
2000-05-12,6.80304479598999,10.929688453674316,10.953125,10.765625,10.90625,2759200
2000-05-15,6.807904243469238,10.9375,11.046875,10.875,10.9375,1927200
2000-05-16,6.953787326812744,11.171875,11.21875,10.90625,10.9375,2038800
2000-05-17,6.914887428283691,11.109375,11.359375,11.078125,11.15625,2173200
2000-05-18,7.00241756439209,11.25,11.359375,11.09375,11.109375,2245600
2000-05-19,7.0607709884643555,11.34375,11.390625,11.015625,11.1875,2994800
2000-05-22,6.895436763763428,11.078125,11.375,11.03125,11.28125,3488800
2000-05-23,7.031593322753906,11.296875,11.3125,11.078125,11.125,1790400
2000-05-24,7.012142181396484,11.265625,11.484375,11.234375,11.296875,2578800
2000-05-25,6.788453578948975,10.90625,11.140625,10.75,11.046875,3155600
2000-05-26,6.662020683288574,10.703125,10.78125,10.546875,10.6875,3062400
2000-05-30,6.749553680419922,10.84375,10.96875,10.796875,10.84375,2183200
2000-05-31,6.6133928298950195,10.625,10.90625,10.578125,10.90625,2518800
2000-06-01,6.749553680419922,10.84375,10.875,10.578125,10.578125,2985200
2000-06-02,7.00241756439209,11.25,11.4375,10.835938453674316,10.875,2463600
2000-06-05,6.749553680419922,10.84375,11.21875,10.71875,11.21875,2418400
2000-06-06,6.603667259216309,10.609375,10.78125,10.4375,10.734375,2684000
2000-06-07,6.691197872161865,10.75,10.828125,10.671875,10.6875,2495600
2000-06-08,6.4966864585876465,10.4375,10.75,10.375,10.71875,1821200
2000-06-09,6.525864601135254,10.484375,10.59375,10.421875,10.4375,1930000
2000-06-12,6.664628505706787,10.65625,10.6875,10.484375,10.484375,2119200
2000-06-13,6.576676368713379,10.515625,10.734375,10.484375,10.59375,2929200
2000-06-14,6.371465682983398,10.1875,10.515625,10.125,10.515625,2192400
2000-06-15,6.283512592315674,10.046875,10.359375,10.0,10.1875,4430800
2000-06-16,6.195564270019531,9.90625,10.140625,9.859375,10.0625,3098000
2000-06-19,6.136933326721191,9.8125,10.046875,9.75,9.9375,2407600
2000-06-20,6.127159118652344,9.796875,9.890625,9.78125,9.828125,2381200
2000-06-21,6.166245937347412,9.859375,9.984375,9.78125,9.8125,4770400
2000-06-22,6.088068008422852,9.734375,9.828125,9.71875,9.828125,4683200
2000-06-23,6.107615947723389,9.765625,9.796875,9.71875,9.75,4018000
2000-06-26,6.136933326721191,9.8125,9.828125,9.71875,9.765625,3323600
2000-06-27,6.146700859069824,9.828125,9.890625,9.78125,9.84375,4470400
2000-06-28,6.327489376068115,10.117188453674316,10.140625,9.859375,9.859375,4563200
2000-06-29,6.2541985511779785,10.0,10.21875,9.890625,10.125,6217200
2000-06-30,5.814450263977051,9.296875,9.96875,9.28125,9.96875,6577200
2000-07-03,5.980578899383545,9.5625,9.65625,9.359375,9.359375,2360400
2000-07-05,6.156473159790039,9.84375,9.890625,9.578125,9.59375,2832000
2000-07-06,6.351921081542969,10.15625,10.203125,9.875,9.875,4844000
2000-07-07,6.5180463790893555,10.421875,10.4375,10.171875,10.203125,5559600
2000-07-10,6.5180463790893555,10.421875,10.53125,10.421875,10.4375,3654800
2000-07-11,6.605993270874023,10.5625,10.578125,10.390625,10.421875,2322400
2000-07-12,6.596221923828125,10.546875,10.609375,10.453125,10.5625,2273200
2000-07-13,6.410552501678467,10.25,10.546875,10.25,10.546875,2654800
2000-07-14,6.801438331604004,10.875,10.875,10.265625,10.28125,3765600
2000-07-17,6.889391899108887,11.015625,11.09375,10.875,10.875,3422800
2000-07-18,6.86984395980835,10.984375,11.046875,10.984375,11.015625,3250400
2000-07-19,6.615766525268555,10.578125,11.078125,10.515625,11.0,3669600
2000-07-20,6.557136058807373,10.484375,10.78125,10.46875,10.59375,5126800
2000-07-21,6.508272647857666,10.40625,10.515625,10.359375,10.484375,7306400
2000-07-24,6.439867973327637,10.296875,10.5,10.25,10.40625,3196000
2000-07-25,6.2541985511779785,10.0,10.328125,9.890625,10.3125,2982000
2000-07-26,6.200454235076904,9.914063453674316,10.140625,9.890625,10.0625,4376800
2000-07-27,6.498499393463135,10.390625,10.421875,10.09375,10.09375,3466800
2000-07-28,6.684171199798584,10.6875,10.78125,10.34375,10.5,3553600
2000-07-31,6.752574443817139,10.796875,11.0,10.6875,10.75,2878800
2000-08-01,6.820983409881592,10.90625,10.90625,10.765625,10.796875,2332000
2000-08-02,6.977337837219238,11.15625,11.1875,10.875,10.890625,3152400
2000-08-03,7.123920917510986,11.390625,11.5,11.1875,11.1875,4706800
2000-08-04,6.879617214202881,11.0,11.375,10.9375,11.359375,4142400
2000-08-07,6.987109661102295,11.171875,11.25,10.9375,11.03125,1972800
2000-08-08,7.016426086425781,11.21875,11.375,10.921875,11.34375,2736800
2000-08-09,6.772121429443359,10.828125,11.1875,10.8125,11.1875,2153600
2000-08-10,6.791667461395264,10.859375,10.890625,10.78125,10.890625,2215200
2000-08-11,6.908935546875,11.046875,11.0625,10.8125,10.859375,2723200
2000-08-14,6.948022365570068,11.109375,11.140625,11.046875,11.109375,1897200
2000-08-15,6.811213493347168,10.890625,11.078125,10.875,11.078125,1767600
2000-08-16,6.762350082397461,10.8125,10.90625,10.75,10.890625,1655200
2000-08-17,6.654854774475098,10.640625,10.828125,10.59375,10.8125,1408800
2000-08-18,6.742805004119873,10.78125,10.796875,10.5625,10.578125,2117600
2000-08-21,6.703718185424805,10.71875,10.8125,10.578125,10.796875,1737600
2000-08-22,6.693946361541748,10.703125,10.71875,10.609375,10.65625,1471600
2000-08-23,6.391007900238037,10.21875,10.65625,10.15625,10.640625,3960000
2000-08-24,6.488724708557129,10.375,10.5,10.25,10.25,2452000
2000-08-25,6.469184875488281,10.34375,10.40625,10.296875,10.375,1107600
2000-08-28,6.342149257659912,10.140625,10.34375,10.140625,10.328125,2539200
2000-08-29,6.303059101104736,10.078125,10.234375,10.078125,10.140625,2429200
2000-08-30,6.176018238067627,9.875,10.1875,9.875,10.109375,3046000
2000-08-31,6.217552661895752,9.94140625,10.015625,9.890625,9.921875,2012400
2000-09-01,6.185791015625,9.890625,9.921875,9.640625,9.890625,2816400
2000-09-05,6.234650611877441,9.96875,10.03125,9.890625,9.890625,4430400
2000-09-06,6.2541985511779785,10.0,10.078125,9.9375,9.96875,3912400
2000-09-07,6.039209365844727,9.65625,9.9375,9.625,9.9375,3102800
2000-09-08,6.039209365844727,9.65625,9.78125,9.625,9.71875,5310000
2000-09-11,6.001882553100586,9.546875,9.71875,9.5,9.59375,2926000
2000-09-12,6.06082010269165,9.640625,9.65625,9.484375,9.515625,3370000
2000-09-13,6.168875217437744,9.8125,9.859375,9.625,9.625,4465200
2000-09-14,6.0902886390686035,9.6875,9.828125,9.640625,9.8125,2628000
2000-09-15,6.149229526519775,9.78125,9.78125,9.5625,9.578125,4141200
2000-09-18,6.139405250549316,9.765625,9.9375,9.640625,9.78125,2530400
2000-09-19,6.06082010269165,9.640625,9.765625,9.515625,9.75,3075200
2000-09-20,5.982234477996826,9.515625,9.625,9.4375,9.609375,2659600
2000-09-21,5.962589263916016,9.484375,9.640625,9.421875,9.5,2536400
2000-09-22,6.001882553100586,9.546875,9.734375,9.390625,9.484375,1930800
2000-09-25,6.070643424987793,9.65625,9.6875,9.546875,9.6875,3319200
2000-09-26,5.893829345703125,9.375,9.6875,9.375,9.65625,4816400
2000-09-27,5.982234477996826,9.515625,9.59375,9.375,9.53125,3528800
2000-09-28,6.188518524169922,9.84375,9.859375,9.5,9.5,2613200
2000-09-29,6.119753837585449,9.734375,9.859375,9.71875,9.859375,2611600
2000-10-02,6.021529197692871,9.578125,9.734375,9.46875,9.734375,2996000
2000-10-03,6.168875217437744,9.8125,9.890625,9.5,9.59375,3944800
2000-10-04,6.443920612335205,10.25,10.359375,9.78125,9.8125,3674400
2000-10-05,6.660027503967285,10.59375,10.59375,10.34375,10.375,5036800
2000-10-06,6.532324314117432,10.390625,10.6875,10.359375,10.59375,2662400
2000-10-09,6.335865497589111,10.078125,10.546875,9.96875,10.4375,4350400
2000-10-10,6.532324314117432,10.390625,10.5,10.0625,10.078125,3163600
2000-10-11,6.473385334014893,10.296875,10.40625,10.078125,10.328125,2169200
2000-10-12,6.36533260345459,10.125,10.328125,10.046875,10.25,2210800
2000-10-13,6.31621789932251,10.046875,10.21875,9.84375,10.1875,1658000
2000-10-16,6.414452075958252,10.203125,10.21875,10.015625,10.015625,1556000
2000-10-17,6.31621789932251,10.046875,10.28125,10.015625,10.203125,1912400
2000-10-18,6.188518524169922,9.84375,9.9375,9.71875,9.90625,4588800
2000-10-19,6.384978294372559,10.15625,10.203125,9.875,9.875,3530400
2000-10-20,6.483208656311035,10.3125,10.328125,10.09375,10.09375,1818800
2000-10-23,6.542149066925049,10.40625,10.59375,10.34375,10.5,4432000
2000-10-24,6.679670810699463,10.625,10.75,10.34375,10.375,3423200
