Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UPS,UPS,UPS,UPS,UPS,UPS
Date,,,,,,
2000-01-03,34.56596374511719,67.0625,69.75,67.0,69.6875,1273200
2000-01-04,33.47067642211914,64.9375,67.0,64.625,67.0,1385800
2000-01-05,35.049171447753906,68.0,68.0,64.75,64.875,1401700
2000-01-06,35.049171447753906,68.0,68.125,65.0,65.875,1959100
2000-01-07,34.21159362792969,66.375,67.625,65.75,67.625,996000
2000-01-10,34.56596374511719,67.0625,67.4375,66.4375,66.875,1191700
2000-01-11,33.63174057006836,65.25,67.4375,65.25,67.125,1020000
2000-01-12,34.72704315185547,67.375,67.5,65.4375,66.125,1097700
2000-01-13,35.21025085449219,68.3125,68.5,67.375,67.625,1071200
2000-01-14,35.59683609008789,69.0625,69.25,68.3125,68.875,1160000
2000-01-18,35.4035530090332,68.6875,69.0,67.375,69.0,980500
2000-01-19,35.17803192138672,68.25,68.5625,67.4375,68.5,1087300
2000-01-20,35.500186920166016,68.875,69.125,68.125,68.125,1972000
2000-01-21,34.662601470947266,67.25,68.875,66.6875,68.875,1270100
2000-01-24,34.018314361572266,66.0,68.25,66.0,67.875,831400
2000-01-25,33.95388412475586,65.875,66.625,64.75,65.625,1263000
2000-01-26,33.567325592041016,65.125,65.625,64.5,65.25,933400
2000-01-27,33.567325592041016,65.125,65.375,64.0,65.3125,1128400
2000-01-28,33.47067642211914,64.9375,65.875,64.0,65.125,1324700
2000-01-31,30.925739288330078,60.0,64.0,59.0,63.0,5745800
2000-02-01,31.63446044921875,61.375,61.5,58.3125,59.6875,4761000
2000-02-02,30.02374267578125,58.25,59.9375,57.1875,59.75,4740600
2000-02-03,29.701610565185547,57.625,59.5,57.375,59.25,1951900
2000-02-04,29.05731964111328,56.375,58.1875,56.0625,58.1875,1745200
2000-02-07,28.735170364379883,55.75,56.8125,55.5,56.625,1480200
2000-02-08,30.603612899780273,59.375,59.375,55.75,56.25,2055100
2000-02-09,29.8948917388916,58.0,59.625,58.0,59.5,1209400
2000-02-10,29.41166877746582,57.0625,58.5,56.5,58.0625,995700
2000-02-11,28.413022994995117,55.125,57.0,55.125,56.8125,1013900
2000-02-14,28.026447296142578,54.375,55.5,54.125,55.3125,2052800
2000-02-15,28.316383361816406,54.9375,55.0,53.5625,54.4375,1182900
2000-02-16,28.864025115966797,56.0,56.4375,54.5,55.1875,1530000
2000-02-17,29.8948917388916,58.0,58.25,56.125,56.5,1036000
2000-02-18,29.34722900390625,56.9375,59.4375,55.25,58.0,1529200
2000-02-22,28.348609924316406,55.0,56.9375,54.5625,56.9375,1226000
2000-02-23,28.316383361816406,54.9375,56.25,54.0625,55.0625,855700
2000-02-24,27.951873779296875,54.0625,55.0,53.8125,55.0,1049300
2000-02-25,28.695100784301758,55.5,55.75,54.0625,54.9375,961700
2000-02-28,28.436599731445312,55.0,55.625,54.5,55.5625,565600
2000-02-29,28.242712020874023,54.625,55.3125,54.5,55.0,750900
2000-03-01,27.144023895263672,52.5,54.6875,51.875,54.625,1471000
2000-03-02,27.564105987548828,53.3125,53.625,52.0625,52.125,1136600
2000-03-03,27.2409725189209,52.6875,53.5,52.5625,53.3125,1030700
2000-03-06,27.27328109741211,52.75,54.375,52.5,54.375,1431500
2000-03-07,26.17459487915039,50.625,52.8125,49.0,52.75,2319100
2000-03-08,28.081127166748047,54.3125,54.5,51.3125,52.75,2275300
2000-03-09,27.402536392211914,53.0,54.5,52.4375,54.5,1199700
2000-03-10,27.628746032714844,53.4375,54.375,53.0625,53.75,776700
2000-03-13,27.27328109741211,52.75,54.1875,52.125,52.25,671700
2000-03-14,27.176332473754883,52.5625,53.5,52.3125,52.5,1072500
2000-03-15,28.404277801513672,54.9375,55.375,51.625,52.9375,2274800
2000-03-16,29.082889556884766,56.25,57.625,55.0625,55.875,1635300
2000-03-17,28.695100784301758,55.5,57.0625,55.5,57.0625,622400
2000-03-20,29.244457244873047,56.5625,56.875,55.25,56.5,843400
2000-03-21,30.084623336791992,58.1875,58.375,55.25,56.3125,889000
2000-03-22,29.406024932861328,56.875,59.0625,56.8125,58.1875,763100
2000-03-23,30.82785415649414,59.625,59.9375,56.0,56.8125,1472900
2000-03-24,32.96061325073242,63.75,64.125,59.8125,60.0,2148200
2000-03-27,32.66978073120117,63.1875,64.0,62.625,63.0,960400
2000-03-28,31.1510009765625,60.25,63.0,60.0625,62.5,639300
2000-03-29,30.537031173706055,59.0625,61.25,58.3125,61.25,869700
2000-03-30,30.278512954711914,58.5625,60.125,58.3125,58.8125,682400
2000-03-31,32.56474685668945,62.984375,63.0,58.1875,59.5625,727100
2000-04-03,30.69861602783203,59.375,62.0,59.0,62.0,830000
2000-04-04,29.890737533569336,57.8125,59.75,55.375,59.375,1309000
2000-04-05,30.084623336791992,58.1875,58.25,56.8125,56.8125,478000
2000-04-06,30.957122802734375,59.875,60.1875,58.3125,58.3125,800700
2000-04-07,31.47414779663086,60.875,61.4375,59.125,59.875,778200
2000-04-10,33.089866638183594,64.0,64.0,61.0,61.125,1275600
2000-04-11,32.66978073120117,63.1875,63.3125,62.125,63.3125,616700
2000-04-12,31.79727554321289,61.5,62.875,61.25,62.8125,608700
2000-04-13,31.1510009765625,60.25,61.5,59.4375,61.5,566300
2000-04-14,28.436599731445312,55.0,58.75,55.0,58.5,859800
2000-04-17,29.98769187927246,58.0,59.5,55.0,57.0,1152900
