Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WAB,WAB,WAB,WAB,WAB,WAB
Date,,,,,,
2000-01-03,7.880459308624268,8.59375,8.78125,8.34375,8.78125,181400
2000-01-04,7.765835762023926,8.46875,8.5,8.3125,8.5,193400
2000-01-05,7.737181186676025,8.4375,8.4375,8.25,8.375,304800
2000-01-06,7.42195987701416,8.09375,8.40625,7.9375,8.40625,199000
2000-01-07,7.135396957397461,7.78125,8.09375,7.75,8.09375,231400
2000-01-10,7.221364974975586,7.875,8.0,7.625,7.9375,337000
2000-01-11,7.020772933959961,7.65625,7.8125,7.53125,7.8125,318000
2000-01-12,6.648243427276611,7.25,7.65625,7.1875,7.65625,219600
2000-01-13,6.705555438995361,7.3125,7.34375,7.25,7.3125,95600
2000-01-14,6.3330230712890625,6.90625,7.4375,6.75,7.4375,755000
2000-01-18,6.3043670654296875,6.875,6.875,6.6875,6.84375,431800
2000-01-19,6.418991565704346,7.0,7.09375,6.875,6.875,261800
2000-01-20,6.418991565704346,7.0,7.28125,6.9375,7.03125,525800
2000-01-21,6.3330230712890625,6.90625,7.0,6.875,6.90625,767600
2000-01-24,6.218398571014404,6.78125,7.0,6.75,6.9375,258200
2000-01-25,5.7025885581970215,6.21875,6.6875,6.0625,6.6875,654000
2000-01-26,5.387369632720947,5.875,6.1875,5.78125,6.1875,521200
2000-01-27,5.301400184631348,5.78125,5.96875,5.78125,5.875,272400
2000-01-28,5.186776161193848,5.65625,5.8125,5.625,5.78125,98400
2000-01-31,5.10080623626709,5.5625,5.6875,5.53125,5.59375,303400
2000-02-01,5.10080623626709,5.5625,5.65625,5.4375,5.625,290200
2000-02-02,5.2440876960754395,5.71875,5.78125,5.625,5.65625,182600
2000-02-03,5.272744178771973,5.75,5.8125,5.71875,5.71875,196200
2000-02-04,5.301400184631348,5.78125,5.84375,5.75,5.78125,411400
2000-02-07,5.387369632720947,5.875,6.0625,5.75,5.8125,123000
2000-02-08,5.330057621002197,5.8125,6.03125,5.78125,6.03125,170800
2000-02-09,5.444681644439697,5.9375,6.09375,5.75,5.875,276200
2000-02-10,5.78855562210083,6.3125,6.375,5.9375,6.0,130400
2000-02-11,5.907856464385986,6.4375,6.53125,6.09375,6.25,138400
