Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEE,AEE,AEE,AEE,AEE,AEE
Date,,,,,,
2000-01-03,10.489189147949219,32.3125,32.625,31.5625,32.5625,700800
2000-01-04,10.489189147949219,32.3125,32.5,32.1875,32.3125,455600
2000-01-05,10.894953727722168,33.5625,33.5625,32.3125,32.3125,1293200
2000-01-06,10.854378700256348,33.4375,33.6875,33.25,33.5625,320400
2000-01-07,11.016687393188477,33.9375,34.0,33.4375,33.5,312700
2000-01-10,10.93553352355957,33.6875,34.25,33.625,33.9375,483300
2000-01-11,10.915245056152344,33.625,33.6875,33.4375,33.625,479200
2000-01-12,10.97611141204834,33.8125,33.875,33.3125,33.75,240400
2000-01-13,11.016687393188477,33.9375,34.0625,33.625,33.75,235100
2000-01-14,10.854378700256348,33.4375,33.875,33.1875,33.875,280900
2000-01-18,10.489189147949219,32.3125,33.4375,32.3125,33.4375,416000
2000-01-19,10.752933502197266,33.125,33.1875,32.375,32.4375,406200
2000-01-20,10.712362289428711,33.0,33.0625,32.75,32.9375,212300
2000-01-21,10.793511390686035,33.25,33.25,32.8125,33.0625,407000
2000-01-24,10.854378700256348,33.4375,33.9375,33.25,33.25,342400
2000-01-25,10.590630531311035,32.625,33.5,32.4375,33.375,405900
2000-01-26,10.712362289428711,33.0,33.25,32.6875,32.75,324600
2000-01-27,10.692070960998535,32.9375,33.125,32.75,32.875,291100
2000-01-28,10.489189147949219,32.3125,32.8125,32.25,32.6875,610400
2000-01-31,10.570340156555176,32.5625,32.8125,32.0,32.375,256700
2000-02-01,10.570340156555176,32.5625,32.8125,32.3125,32.8125,185200
2000-02-02,10.570340156555176,32.5625,33.375,32.5625,32.8125,418500
2000-02-03,10.692070960998535,32.9375,33.4375,32.5625,32.5625,434400
2000-02-04,10.367453575134277,31.9375,33.1875,31.75,33.0,378700
2000-02-07,10.306589126586914,31.75,31.9375,31.625,31.9375,234900
2000-02-08,10.347164154052734,31.875,32.4375,31.75,31.75,309900
2000-02-09,10.245722770690918,31.5625,32.5,31.5,32.5,328900
2000-02-10,10.103704452514648,31.125,31.8125,31.0,31.5625,367100
2000-02-11,10.06312370300293,31.0,31.375,31.0,31.125,446200
2000-02-14,10.14427661895752,31.25,31.5,30.875,31.25,261500
2000-02-15,10.103704452514648,31.125,31.3125,31.0,31.25,199700
2000-02-16,10.042837142944336,30.9375,31.1875,30.8125,31.0,154000
2000-02-17,9.900816917419434,30.5,30.9375,30.4375,30.9375,186900
2000-02-18,9.819665908813477,30.25,30.5,29.5625,30.5,463200
2000-02-22,9.880526542663574,30.4375,30.625,30.125,30.5,209700
2000-02-23,9.819665908813477,30.25,30.4375,29.6875,30.375,292300
2000-02-24,9.373310089111328,28.875,30.25,28.5,30.25,397900
2000-02-25,9.373310089111328,28.875,29.1875,28.5,28.875,297400
2000-02-28,9.758797645568848,30.0625,30.125,28.875,29.125,652300
2000-02-29,9.738508224487305,30.0,30.0625,29.6875,29.9375,767000
2000-03-01,9.576201438903809,29.5,29.9375,29.0,29.8125,317700
2000-03-02,9.393603324890137,28.9375,29.125,28.5625,28.8125,580800
2000-03-03,9.474754333496094,29.1875,29.5,28.8125,29.0,273600
2000-03-06,9.150139808654785,28.1875,29.0,28.0,29.0,2242900
2000-03-07,9.257237434387207,27.875,28.375,27.625,27.75,294700
2000-03-08,9.298752784729004,28.0,28.375,27.75,27.9375,489500
2000-03-09,9.319513320922852,28.0625,28.25,27.75,28.0,379700
2000-03-10,9.340261459350586,28.125,28.3125,28.0,28.3125,216800
2000-03-13,9.340261459350586,28.125,28.25,27.875,28.25,252800
2000-03-14,9.236481666564941,27.8125,28.125,27.5625,28.125,299800
