Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEP,AEP,AEP,AEP,AEP,AEP
Date,,,,,,
2000-01-03,10.573490142822266,31.4375,32.0,31.125,32.0,396900
2000-01-04,10.699614524841309,31.8125,31.9375,31.375,31.375,325500
2000-01-05,11.099011421203613,33.0,33.125,31.8125,31.8125,392200
2000-01-06,11.16207218170166,33.1875,33.6875,32.75,32.75,433000
2000-01-07,11.309218406677246,33.625,33.75,33.0625,33.375,250500
2000-01-10,11.26717758178711,33.5,33.8125,33.4375,33.625,307700
2000-01-11,11.309218406677246,33.625,33.6875,33.5,33.5,223000
2000-01-12,11.393303871154785,33.875,33.9375,33.5,33.5625,252500
2000-01-13,11.372279167175293,33.8125,34.0,33.625,33.875,222400
2000-01-14,11.372279167175293,33.8125,33.875,33.5,33.875,529900
2000-01-18,11.099011421203613,33.0,33.75,33.0,33.6875,363800
2000-01-19,11.246155738830566,33.4375,33.625,33.0,33.0,215500
2000-01-20,11.120030403137207,33.0625,33.375,33.0625,33.375,278800
2000-01-21,11.435346603393555,34.0,34.0,33.1875,33.3125,345000
2000-01-24,11.393303871154785,33.875,34.4375,33.875,34.0,855500
2000-01-25,11.05697250366211,32.875,34.125,32.625,33.875,964400
2000-01-26,11.330239295959473,33.6875,33.6875,32.875,33.125,508500
2000-01-27,11.288193702697754,33.5625,34.125,33.3125,33.6875,923900
2000-01-28,11.099011421203613,33.0,33.625,32.875,33.5625,357300
2000-01-31,11.26717758178711,33.5,33.5625,33.0,33.1875,209900
2000-02-01,11.330239295959473,33.6875,33.75,33.0625,33.5,318200
2000-02-02,11.309218406677246,33.625,34.0625,33.5625,33.625,765300
2000-02-03,11.687592506408691,34.75,34.8125,33.6875,33.6875,536200
2000-02-04,11.456364631652832,34.0625,34.9375,33.875,34.9375,1106200
2000-02-07,11.330239295959473,33.6875,34.0,33.5625,34.0,2040500
2000-02-08,11.407288551330566,33.3125,33.5,33.0625,33.125,461400
2000-02-09,11.150464057922363,32.5625,33.25,32.5,33.25,307500
2000-02-10,10.829426765441895,31.625,32.5625,31.4375,32.5625,399000
2000-02-11,10.893638610839844,31.8125,31.9375,31.3125,31.625,339400
2000-02-14,10.872238159179688,31.75,32.3125,31.6875,31.8125,317600
2000-02-15,10.72242259979248,31.3125,31.8125,31.3125,31.75,234600
2000-02-16,10.508404731750488,30.6875,31.3125,30.6875,31.125,367900
2000-02-17,10.422786712646484,30.4375,30.75,30.3125,30.75,287100
2000-02-18,10.251578330993652,29.9375,30.1875,29.8125,30.125,510500
2000-02-22,10.422786712646484,30.4375,30.5625,29.9375,30.0,410600
2000-02-23,10.272985458374023,30.0,30.375,29.625,30.375,356400
2000-02-24,9.909143447875977,28.9375,29.8125,28.375,29.75,653000
2000-02-25,9.652316093444824,28.1875,28.875,28.0,28.875,798200
2000-02-28,9.844935417175293,28.75,29.125,28.125,28.375,335700
2000-02-29,9.63092041015625,28.125,28.75,28.0625,28.75,365600
2000-03-01,9.438305854797363,27.5625,28.1875,27.5,28.125,324200
2000-03-02,9.438305854797363,27.5625,27.8125,27.5625,27.5625,455900
2000-03-03,9.352693557739258,27.3125,27.8125,27.0625,27.5625,595000
2000-03-06,8.967449188232422,26.1875,27.3125,25.9375,27.3125,386100
2000-03-07,9.24567985534668,27.0,27.9375,26.5625,26.6875,828200
2000-03-08,9.160070419311523,26.75,26.9375,26.625,26.75,442100
2000-03-09,9.117268562316895,26.625,27.0,26.375,26.8125,430200
2000-03-10,8.924654006958008,26.0625,26.75,26.0,26.6875,687100
2000-03-13,9.074464797973633,26.5,28.375,26.125,26.625,555600
2000-03-14,9.202876091003418,26.875,26.9375,26.1875,26.5,458400
2000-03-15,9.844935417175293,28.75,29.125,27.0,27.125,744900
2000-03-16,10.59400463104248,30.9375,31.125,28.875,29.0,908000
2000-03-17,10.40139389038086,30.375,31.0,30.375,30.9375,813300
2000-03-20,10.294377326965332,30.0625,30.4375,29.875,30.4375,293400
2000-03-21,10.208772659301758,29.8125,30.375,29.625,30.1875,591800
2000-03-22,9.994752883911133,29.1875,29.9375,28.5,29.9375,375900
2000-03-23,10.101760864257812,29.5,30.0,29.1875,29.1875,340500
2000-03-24,10.251578330993652,29.9375,30.0625,29.125,29.25,257800
2000-03-27,10.272985458374023,30.0,30.4375,29.8125,29.9375,420500
2000-03-28,10.037556648254395,29.3125,30.3125,29.3125,30.125,240800
2000-03-29,10.230172157287598,29.875,30.25,29.375,29.4375,357400
2000-03-30,10.251578330993652,29.9375,30.3125,29.875,29.9375,491600
2000-03-31,10.208772659301758,29.8125,29.8125,29.25,29.6875,315800
2000-04-03,10.208772659301758,29.8125,30.1875,29.5,29.8125,441000
2000-04-04,10.551209449768066,30.8125,31.0625,29.75,30.0,561800
2000-04-05,10.829426765441895,31.625,32.3125,30.875,31.0,527000
2000-04-06,10.465600967407227,30.5625,31.8125,30.25,31.625,350200
2000-04-07,10.444196701049805,30.5,30.8125,30.25,30.5625,450900
2000-04-10,10.615409851074219,31.0,31.3125,30.5,30.5625,457300
2000-04-11,10.829426765441895,31.625,31.875,31.0,31.125,523200
2000-04-12,11.193264961242676,32.6875,33.0,32.0,32.125,737500
2000-04-13,11.599906921386719,33.875,33.9375,32.625,32.6875,559900
2000-04-14,11.38588809967041,33.25,34.375,33.0,33.875,898000
2000-04-17,11.57850170135498,33.8125,33.9375,32.3125,33.25,734000
2000-04-18,11.599906921386719,33.875,34.0,33.3125,33.6875,863500
2000-04-19,11.535698890686035,33.6875,33.8125,32.875,33.4375,338400
2000-04-20,11.57850170135498,33.8125,33.8125,33.4375,33.5,261300
2000-04-24,11.985137939453125,35.0,35.125,33.8125,33.8125,421500
2000-04-25,12.370376586914062,36.125,36.25,34.8125,35.0,368000
2000-04-26,12.926825523376465,37.75,37.8125,36.125,36.125,715100
2000-04-27,13.055248260498047,38.125,38.5,37.625,37.75,1064900
2000-04-28,12.541593551635742,36.625,38.0,36.5,37.9375,537900
2000-05-01,12.49879264831543,36.5,37.375,36.5,37.375,396100
2000-05-02,12.177760124206543,35.5625,36.6875,35.25,36.3125,521000
2000-05-03,11.856725692749023,34.625,35.1875,34.1875,35.0625,747700
2000-05-04,12.113554954528809,35.375,35.875,34.0,34.8125,585700
2000-05-05,11.856725692749023,34.625,35.4375,34.25,35.375,1953200
2000-05-08,12.261828422546387,35.1875,35.8125,34.0,34.0,506500
2000-05-09,12.240049362182617,35.125,35.25,34.9375,35.1875,327200
2000-05-10,12.610297203063965,36.1875,36.1875,35.0,35.0,773600
2000-05-11,12.653854370117188,36.3125,36.375,35.8125,36.0625,450400
2000-05-12,12.566739082336426,36.0625,36.4375,35.625,36.4375,385200
