Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AES,AES,AES,AES,AES,AES
Date,,,,,,
2000-01-03,24.847671508789062,36.25,37.375,35.625,37.375,1334400
2000-01-04,23.862337112426758,34.8125,35.96875,34.625,35.9375,1484800
2000-01-05,24.119388580322266,35.1875,35.375,34.25,34.84375,1569800
2000-01-06,24.312170028686523,35.46875,35.8125,35.0,35.3125,1708400
2000-01-07,24.783414840698242,36.15625,36.15625,35.09375,35.34375,1449400
2000-01-10,25.89727210998535,37.78125,37.96875,36.25,36.25,3457800
2000-01-11,26.025793075561523,37.96875,38.3125,37.28125,37.96875,2610000
2000-01-12,26.561307907104492,38.75,39.46875,38.0,38.0,2820000
2000-01-13,27.011125564575195,39.40625,40.34375,38.375,38.6875,3322600
2000-01-14,28.53199005126953,41.625,41.6875,40.3125,40.5,2132600
2000-01-18,26.711254119873047,38.96875,40.875,38.875,40.875,1874400
2000-01-19,26.86119270324707,39.1875,39.6875,38.8125,39.0,2348000
2000-01-20,26.62557029724121,38.84375,39.5,38.75,39.5,1469800
2000-01-21,27.418128967285156,40.0,40.0,39.0625,39.25,1648800
2000-01-24,27.418128967285156,40.0,40.71875,39.71875,40.0,3477600
2000-01-25,26.047222137451172,38.0,40.28125,37.9375,40.0,2054600
2000-01-26,24.826257705688477,36.21875,37.875,36.21875,37.875,2922200
2000-01-27,26.004375457763672,37.9375,38.78125,36.71875,36.75,2284800
2000-01-28,26.175737380981445,38.1875,38.34375,37.4375,38.0625,1270400
2000-01-31,27.460962295532227,40.0625,40.46875,38.53125,39.0,1837400
2000-02-01,27.6751766204834,40.375,40.75,39.1875,40.0625,2032200
2000-02-02,27.182506561279297,39.65625,40.6875,38.75,40.34375,1879600
2000-02-03,27.546634674072266,40.1875,41.40625,39.40625,39.90625,2607400
2000-02-04,25.7901668548584,37.625,40.25,36.3125,40.1875,4407600
2000-02-07,27.418128967285156,40.0,40.25,38.25,38.5,2595600
2000-02-08,28.93897247314453,42.21875,42.9375,40.375,40.625,3109200
2000-02-09,29.431642532348633,42.9375,43.25,41.59375,42.21875,2093200
2000-02-10,28.403474807739258,41.4375,42.875,41.1875,42.5,1584600
2000-02-11,28.103578567504883,41.0,41.28125,40.375,40.75,1046600
2000-02-14,29.303125381469727,42.75,42.84375,40.6875,41.0,1931800
2000-02-15,29.60300636291504,43.1875,43.84375,42.3125,42.75,1828000
2000-02-16,30.224193572998047,44.09375,44.6875,42.875,43.0625,1986000
2000-02-17,30.138526916503906,43.96875,44.71875,43.625,44.125,1082400
2000-02-18,30.15994644165039,44.0,44.5,43.6875,44.0,1339200
2000-02-22,29.45306396484375,42.96875,44.0,42.34375,43.875,1125000
2000-02-23,28.853300094604492,42.09375,42.75,41.0,42.75,1886200
2000-02-24,29.088916778564453,42.4375,42.71875,41.65625,42.5,1634200
2000-02-25,28.96039581298828,42.25,42.5,41.375,42.4375,972400
2000-02-28,29.410215377807617,42.90625,42.90625,42.25,42.375,1162800
2000-02-29,28.724767684936523,41.90625,43.21875,41.65625,42.90625,1580000
2000-03-01,28.082155227661133,40.96875,42.1875,40.4375,41.90625,1697600
2000-03-02,29.86005401611328,43.5625,43.71875,41.1875,41.25,1947200
2000-03-03,29.79578399658203,43.46875,44.25,43.0,43.875,2172400
2000-03-06,27.88938331604004,40.6875,42.5,37.0,42.5,6996800
2000-03-07,27.28959846496582,39.8125,41.625,39.6875,41.0625,2509400
2000-03-08,26.81834602355957,39.125,39.875,38.6875,39.8125,2753800
2000-03-09,25.89727210998535,37.78125,39.875,37.375,39.875,2170800
2000-03-10,25.019039154052734,36.5,39.0,34.75,36.0,3729800
2000-03-13,25.019039154052734,36.5,37.0,35.15625,35.875,2579200
2000-03-14,24.633481979370117,35.9375,37.0,35.0625,36.875,1799400
2000-03-15,25.490285873413086,37.1875,37.375,35.53125,35.8125,2036800
2000-03-16,27.460962295532227,40.0625,41.0,37.9375,38.375,2875400
2000-03-17,26.689828872680664,38.9375,40.03125,37.375,40.0,3874200
2000-03-20,26.347097396850586,38.4375,39.84375,37.53125,38.9375,1934400
2000-03-21,25.575971603393555,37.3125,38.25,37.25,38.25,1659600
2000-03-22,24.740568161010742,36.09375,37.4375,35.3125,37.375,3595000
2000-03-23,25.297510147094727,36.90625,37.625,36.53125,36.59375,2630800
2000-03-24,25.96154022216797,37.875,37.875,36.25,36.8125,2296200
2000-03-27,25.4688663482666,37.15625,38.4375,37.03125,38.0,1151000
2000-03-28,24.95477294921875,36.40625,37.21875,35.625,36.0,2158400
2000-03-29,25.8330135345459,37.6875,38.34375,36.0,36.0,1710600
