Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AKAM,AKAM,AKAM,AKAM,AKAM,AKAM
Date,,,,,,
2000-01-03,321.25,321.25,345.5,311.0,344.1875,285600
2000-01-04,300.0,300.0,321.5,300.0,320.0,215900
2000-01-05,283.5,283.5,299.625,262.0,282.5,1183500
2000-01-06,236.125,236.125,278.125,235.25,272.0,797500
2000-01-07,248.375,248.375,254.5,238.0,248.375,729100
2000-01-10,285.5,285.5,286.25,249.5625,259.125,1143200
2000-01-11,278.4375,278.4375,298.0,267.25,295.125,481000
2000-01-12,254.0,254.0,289.25,250.0,288.0,1011300
2000-01-13,232.8125,232.8125,260.5,218.375,260.375,1031300
2000-01-14,230.0,230.0,254.625,229.0,254.0,641500
2000-01-18,211.5,211.5,229.0625,207.5,229.0625,822200
2000-01-19,224.75,224.75,233.0,212.0,212.0,1367500
2000-01-20,234.0,234.0,235.75,220.0,229.5,916400
2000-01-21,269.0,269.0,275.0,229.75,235.0,1232100
2000-01-24,262.0625,262.0625,284.4375,258.625,271.9375,886600
2000-01-25,279.3125,279.3125,282.0,254.625,264.0,369800
2000-01-26,277.5,277.5,288.0,274.0625,278.0,596900
2000-01-27,281.125,281.125,290.0,264.0,270.0,544100
2000-01-28,270.0625,270.0625,285.0625,255.0,266.125,418300
2000-01-31,249.125,249.125,267.0,235.0625,264.125,675900
2000-02-01,239.0625,239.0625,256.46875,235.375,255.25,328100
2000-02-02,233.625,233.625,245.0,231.25,239.125,314400
2000-02-03,245.375,245.375,252.0,239.875,240.0,479800
2000-02-04,235.0,235.0,254.0,230.40625,247.625,330200
2000-02-07,228.625,228.625,233.0,216.0,230.0,1577400
2000-02-08,240.9375,240.9375,246.0,232.0625,241.125,684000
2000-02-09,234.875,234.875,244.0,233.0,241.25,672500
2000-02-10,229.0,229.0,236.875,227.0,236.75,422800
2000-02-11,233.0625,233.0625,241.0,226.125,229.0625,393000
2000-02-14,230.375,230.375,238.75,226.8125,233.5625,419000
2000-02-15,222.5,222.5,233.0,217.0,231.75,380600
2000-02-16,246.125,246.125,252.0,228.1875,229.75,1087700
2000-02-17,252.0,252.0,253.0,235.5,246.25,702300
