Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMAT,AMAT,AMAT,AMAT,AMAT,AMAT
Date,,,,,,
2000-01-03,23.138017654418945,31.625,32.09375,30.34375,32.09375,14356400
2000-01-04,21.994834899902344,30.0625,31.3125,30.0,30.4375,22822400
2000-01-05,21.17174530029297,28.9375,30.046875,28.40625,29.515625,27791200
2000-01-06,21.206031799316406,28.984375,29.71875,28.0625,28.5625,22438000
2000-01-07,21.388944625854492,29.234375,29.265625,27.75,28.1875,37732400
2000-01-10,23.11515235900879,31.59375,31.796875,29.625,29.78125,30214400
2000-01-11,22.09771728515625,30.203125,32.421875,30.046875,30.9375,27264000
2000-01-12,23.24090576171875,31.765625,31.8125,29.46875,30.5,30550400
2000-01-13,22.772199630737305,31.125,31.875,29.90625,30.90625,44196400
2000-01-14,24.80706787109375,33.90625,34.75,32.375,32.453125,61415200
2000-01-18,24.71560287475586,33.78125,34.4375,33.03125,33.46875,27733600
2000-01-19,26.041698455810547,35.59375,35.8125,33.5625,33.875,29092400
2000-01-20,25.6072940826416,35.0,36.34375,34.65625,35.96875,28180000
2000-01-21,25.835941314697266,35.3125,35.6875,34.453125,35.40625,30846000
2000-01-24,25.698734283447266,35.125,36.65625,35.0625,35.078125,25352800
2000-01-25,26.418949127197266,36.109375,36.328125,33.8125,35.359375,32854800
2000-01-26,24.566999435424805,33.578125,36.109375,33.515625,36.015625,27227600
2000-01-27,24.784204483032227,33.875,35.078125,33.34375,34.296875,26986000
2000-01-28,23.732467651367188,32.4375,34.59375,32.140625,33.65625,31494800
2000-01-31,25.104293823242188,34.3125,34.390625,32.0625,32.171875,30351200
2000-02-01,25.698734283447266,35.125,35.34375,33.3125,33.4375,22794800
2000-02-02,26.304645538330078,35.953125,36.78125,34.90625,35.015625,27897200
2000-02-03,27.162004470825195,37.125,37.5,36.234375,36.234375,23597200
2000-02-04,26.590431213378906,36.34375,37.71875,36.21875,37.40625,18998000
2000-02-07,28.099416732788086,38.40625,38.546875,36.0,36.375,21438000
2000-02-08,29.47125816345215,40.28125,40.375,38.125,38.6875,37100400
2000-02-09,29.948545455932617,40.93359375,42.140625,39.78125,39.796875,37757200
2000-02-10,31.96337890625,43.6875,43.6875,40.3125,40.9375,27658800
2000-02-11,30.180021286010742,41.25,43.578125,40.875,43.21875,33136400
2000-02-14,29.45982551574707,40.265625,42.40625,39.9375,41.90625,30705200
2000-02-15,30.45438575744629,41.625,42.3125,39.953125,40.96875,41104800
2000-02-16,31.711889266967773,43.34375,44.4375,42.875,43.75,50966000
2000-02-17,34.45552444458008,47.09375,47.234375,42.46875,43.515625,47536400
2000-02-18,32.512123107910156,44.4375,47.4375,44.25,47.078125,35272800
2000-02-22,32.70359802246094,44.69921875,46.0,43.359375,44.09375,30175600
2000-02-23,33.10658264160156,45.25,46.0625,44.40625,44.625,23998000
2000-02-24,33.563846588134766,45.875,46.6875,44.6875,45.0625,27143200
2000-02-25,31.51754379272461,43.078125,46.34375,42.75,45.921875,26224800
2000-02-28,32.35207748413086,44.21875,44.8125,41.78125,43.4375,34048000
2000-02-29,33.460968017578125,45.734375,46.125,44.90625,45.0,27234400
2000-03-01,33.769615173339844,46.15625,46.375,45.359375,45.875,19686000
2000-03-02,33.01799011230469,45.12890625,46.71875,45.0625,45.8125,17372800
2000-03-03,34.889930725097656,47.6875,47.75,45.96875,46.09375,23431200
2000-03-06,33.65529251098633,46.0,48.34375,45.390625,47.796875,21448400
2000-03-07,33.67815017700195,46.03125,47.921875,45.875,46.5625,24902800
2000-03-08,32.80935287475586,44.84375,46.4375,43.265625,46.3671875,32934800
2000-03-09,34.809906005859375,47.578125,47.625,43.515625,44.625,22627200
2000-03-10,35.31291961669922,48.265625,49.234375,46.734375,47.02734375,24828800
2000-03-13,34.37550735473633,46.984375,47.75,46.125,46.37109375,27823600
2000-03-14,32.69501495361328,44.6875,48.0625,44.6171875,47.875,34925200
2000-03-15,31.311767578125,42.796875,45.1875,42.125,44.71875,50149200
2000-03-16,32.16914367675781,43.96875,45.375,40.75,43.75,31674000
2000-03-17,35.067134857177734,47.9296875,48.28125,44.96875,45.0625,25240600
2000-03-20,34.386932373046875,47.0,48.75,46.5625,47.59375,22011400
2000-03-21,35.850215911865234,49.0,49.4375,46.0,47.21875,19909400
2000-03-22,38.319515228271484,52.375,52.5625,48.5,48.96875,18566000
2000-03-23,37.47352981567383,51.21875,54.625,51.0,52.125,19089600
2000-03-24,39.073974609375,53.40625,55.0,51.75,52.71875,21554800
2000-03-27,39.71415328979492,54.28125,55.0,52.75,53.96875,14457400
2000-03-28,37.336326599121094,51.03125,54.125,50.5,53.9375,18758600
2000-03-29,35.415794372558594,48.40625,51.34375,48.0625,51.3125,22673800
2000-03-30,34.021114349365234,46.5,49.0,43.625,47.3125,28126400
2000-03-31,34.47838592529297,47.125,48.46875,44.0625,47.0,34750400
2000-04-03,32.649295806884766,44.625,48.375,43.5,47.78125,25758400
2000-04-04,35.895938873291016,49.0625,50.125,42.5,46.6875,47590600
2000-04-05,38.11371612548828,52.09375,55.125,48.0,48.125,43664400
2000-04-06,39.028255462646484,53.34375,55.625,52.1875,53.25,27906400
2000-04-07,42.023399353027344,57.4375,57.5,53.5625,54.0,24500600
2000-04-10,37.816490173339844,51.6875,57.3125,51.625,57.1875,31959600
2000-04-11,38.27376174926758,52.3125,55.625,49.84375,50.875,38127000
2000-04-12,35.69016647338867,48.78125,54.375,47.5625,53.53125,38652400
2000-04-13,32.55784225463867,44.5,51.125,44.46875,50.5,50301000
2000-04-14,29.379804611206055,40.15625,44.15625,39.0,44.15625,56500800
2000-04-17,35.34721374511719,48.3125,48.34375,39.46875,40.5625,42170400
2000-04-18,36.94765090942383,50.5,50.5625,47.5,48.5,35026800
