Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ANSS,ANSS,ANSS,ANSS,ANSS,ANSS
Date,,,,,,
2000-01-03,2.765625,2.765625,2.78125,2.71875,2.71875,52400
2000-01-04,2.6875,2.6875,2.8125,2.65625,2.8125,1358800
2000-01-05,2.703125,2.703125,2.703125,2.65625,2.679687976837158,336400
2000-01-06,2.703125,2.703125,2.703125,2.53125,2.6875,238800
2000-01-07,2.703125,2.703125,2.703125,2.59375,2.59375,44800
2000-01-10,2.71875,2.71875,2.71875,2.640625,2.695312976837158,166000
2000-01-11,2.65625,2.65625,2.71875,2.59375,2.679687976837158,734000
2000-01-12,2.59375,2.59375,2.640625,2.53125,2.632812976837158,138400
2000-01-13,2.5,2.5,2.570312976837158,2.4375,2.570312976837158,113600
2000-01-14,2.484375,2.484375,2.546875,2.40625,2.4375,323600
2000-01-18,2.484375,2.484375,2.5,2.484375,2.484375,298000
2000-01-19,2.46875,2.46875,2.5,2.4375,2.5,276000
2000-01-20,2.578125,2.578125,2.578125,2.4375,2.5,393200
2000-01-21,2.640625,2.640625,2.640625,2.5,2.578125,221600
2000-01-24,2.71875,2.71875,2.796875,2.59375,2.59375,69200
2000-01-25,2.796875,2.796875,2.921875,2.71875,2.78125,137200
2000-01-26,2.75,2.75,2.796875,2.71875,2.796875,30800
2000-01-27,2.6875,2.6875,2.734375,2.6875,2.734375,28800
2000-01-28,2.5625,2.5625,2.6875,2.5625,2.625,84000
2000-01-31,2.5625,2.5625,2.6875,2.5625,2.59375,133600
2000-02-01,2.65625,2.65625,2.6875,2.5625,2.59375,84400
2000-02-02,2.6875,2.6875,2.6875,2.515625,2.546875,37200
2000-02-03,2.578125,2.578125,2.578125,2.546875,2.546875,14800
2000-02-04,2.59375,2.59375,2.59375,2.5,2.5,60000
2000-02-07,2.5625,2.5625,2.6875,2.515625,2.554687976837158,121600
2000-02-08,2.78125,2.78125,2.859375,2.5625,2.578125,186800
2000-02-09,3.140625,3.140625,3.25,2.90625,2.9375,976000
2000-02-10,3.375,3.375,3.5,3.28125,3.28125,828000
2000-02-11,3.140625,3.140625,3.4375,2.96875,3.390625,408800
2000-02-14,3.140625,3.140625,3.25,3.09375,3.125,848800
2000-02-15,3.078125,3.078125,3.1875,3.03125,3.171875,548400
2000-02-16,3.109375,3.109375,3.109375,3.0,3.070312976837158,989600
2000-02-17,3.328125,3.328125,3.5625,3.09375,3.125,1075600
2000-02-18,3.28125,3.28125,3.5625,3.265625,3.46875,596400
2000-02-22,3.21875,3.21875,3.3125,3.1875,3.3125,471600
2000-02-23,3.375,3.375,3.53125,3.15625,3.25,550800
2000-02-24,3.0,3.0,3.34375,2.953125,3.34375,1591200
2000-02-25,3.0,3.0,3.078125,2.96875,3.039062976837158,355200
2000-02-28,3.09375,3.09375,3.1875,2.96875,3.0625,1062800
2000-02-29,3.21875,3.21875,3.21875,3.09375,3.1875,1582400
2000-03-01,3.28125,3.28125,3.3125,3.1875,3.21875,634800
2000-03-02,3.21875,3.21875,3.4375,3.1875,3.375,1180400
2000-03-03,3.375,3.375,3.4375,3.25,3.34375,3088400
2000-03-06,3.4375,3.4375,3.59375,3.40625,3.4375,5235200
2000-03-07,3.578125,3.578125,3.75,3.5625,3.714843988418579,5404800
2000-03-08,3.5,3.5,3.65625,3.4375,3.65625,2728000
2000-03-09,3.25,3.25,3.53125,3.15625,3.523437976837158,800800
2000-03-10,3.0625,3.0625,3.25,3.03125,3.21875,649600
2000-03-13,3.109375,3.109375,3.203125,3.0,3.03125,1011200
2000-03-14,3.25,3.25,3.3125,3.15625,3.15625,1006800
2000-03-15,3.203125,3.203125,3.28125,3.140625,3.28125,906400
2000-03-16,3.171875,3.171875,3.3125,3.15625,3.1875,792800
2000-03-17,3.125,3.125,3.34375,3.109375,3.3125,1211600
2000-03-20,3.078125,3.078125,3.28125,3.0,3.1875,230400
2000-03-21,2.796875,2.796875,3.125,2.460937976837158,3.078125,882400
2000-03-22,2.46875,2.46875,2.921875,2.421875,2.90625,1931600
2000-03-23,2.625,2.625,2.65625,2.25,2.453125,1531600
2000-03-24,2.546875,2.546875,2.625,2.515625,2.625,1042800
2000-03-27,2.546875,2.546875,2.609375,2.453125,2.550781011581421,802800
2000-03-28,2.75,2.75,2.8125,2.59375,2.609375,818800
2000-03-29,2.75,2.75,2.84375,2.6875,2.71875,594000
2000-03-30,2.625,2.625,2.71875,2.5625,2.6875,516400
