Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AVB,AVB,AVB,AVB,AVB,AVB
Date,,,,,,
2000-01-03,12.663020133972168,33.9375,34.25,33.8125,34.1875,61900
2000-01-04,12.383171081542969,33.1875,33.8125,32.9375,33.75,112300
2000-01-05,12.499776840209961,33.5,33.5,32.625,33.0625,259300
2000-01-06,12.919537544250488,34.625,34.625,33.3125,33.375,126500
2000-01-07,13.246017456054688,35.5,36.0,34.6875,35.0,139100
2000-01-10,13.409270286560059,35.9375,35.9375,35.375,35.5,110500
2000-01-11,13.129427909851074,35.1875,35.9375,35.1875,35.75,76500
2000-01-12,13.106100082397461,35.125,35.375,35.0625,35.0625,25000
2000-01-13,13.059459686279297,35.0,35.1875,34.6875,35.125,58100
2000-01-14,13.059459686279297,35.0,35.25,34.9375,35.125,252900
2000-01-18,12.826262474060059,34.375,35.4375,34.375,35.0,194400
2000-01-19,13.269341468811035,35.5625,35.5625,34.625,34.625,68200
2000-01-20,13.129427909851074,35.1875,35.375,35.0625,35.3125,49700
2000-01-21,13.15274715423584,35.25,35.5,35.125,35.25,87100
2000-01-24,13.15274715423584,35.25,35.3125,35.0,35.0625,61400
2000-01-25,13.15274715423584,35.25,35.3125,35.125,35.25,161200
2000-01-26,13.106100082397461,35.125,35.25,35.0,35.125,117900
2000-01-27,13.129427909851074,35.1875,35.1875,34.625,35.125,131200
2000-01-28,12.966181755065918,34.75,35.125,34.625,35.0625,107600
2000-01-31,12.87290096282959,34.5,34.75,34.375,34.625,58100
2000-02-01,12.87290096282959,34.5,34.625,34.375,34.5,60300
2000-02-02,12.87290096282959,34.5,34.5,34.375,34.5,95700
2000-02-03,12.826262474060059,34.375,34.625,34.0625,34.5,121100
2000-02-04,12.896222114562988,34.5625,34.6875,34.3125,34.3125,59300
2000-02-07,12.87290096282959,34.5,34.5625,34.25,34.4375,48800
2000-02-08,12.826262474060059,34.375,34.5625,34.3125,34.5,88500
2000-02-09,12.802936553955078,34.3125,34.6875,34.0625,34.375,351000
2000-02-10,12.802936553955078,34.3125,34.4375,34.125,34.4375,192300
2000-02-11,12.779622077941895,34.25,34.5,33.9375,34.25,115600
2000-02-14,12.826262474060059,34.375,34.375,33.9375,34.125,73000
2000-02-15,12.779622077941895,34.25,34.25,33.9375,34.125,99800
2000-02-16,12.732976913452148,34.125,34.1875,34.0,34.125,183200
2000-02-17,12.779622077941895,34.25,34.25,34.0,34.0,95400
2000-02-18,12.756295204162598,34.1875,34.25,34.0,34.25,66400
2000-02-22,12.756295204162598,34.1875,34.1875,33.9375,34.0625,56500
2000-02-23,12.686334609985352,34.0,34.0625,33.9375,34.0625,79700
2000-02-24,12.663020133972168,33.9375,33.9375,33.8125,33.9375,44900
2000-02-25,12.686334609985352,34.0,34.0,33.875,33.875,35700
2000-02-28,12.593053817749023,33.75,34.0,33.625,34.0,61300
2000-02-29,12.593053817749023,33.75,33.875,33.25,33.25,289100
2000-03-01,12.779622077941895,34.25,34.25,33.4375,33.4375,280300
2000-03-02,12.663020133972168,33.9375,34.375,33.9375,34.125,84200
2000-03-03,12.779622077941895,34.25,34.25,34.0625,34.0625,104800
2000-03-06,12.732976913452148,34.125,34.25,34.0,34.25,118700
2000-03-07,12.87290096282959,34.5,34.5,34.0,34.125,74300
2000-03-08,12.732976913452148,34.125,34.5,33.9375,34.5,51300
2000-03-09,12.686334609985352,34.0,34.375,33.9375,34.25,70500
2000-03-10,12.849578857421875,34.4375,34.4375,33.9375,33.9375,48000
2000-03-13,12.779622077941895,34.25,34.5,34.1875,34.4375,180600
2000-03-14,12.686334609985352,34.0,34.25,34.0,34.25,88000
2000-03-15,12.802936553955078,34.3125,34.3125,33.875,34.125,147600
2000-03-16,12.942864418029785,34.6875,34.75,34.375,34.375,432600
2000-03-17,12.989500045776367,34.8125,35.0625,34.5,34.9375,279800
2000-03-20,13.176063537597656,35.3125,35.3125,34.5625,34.625,148700
2000-03-21,13.129427909851074,35.1875,35.3125,34.9375,35.1875,77800
2000-03-22,13.15274715423584,35.25,35.4375,35.0,35.125,240400
2000-03-23,13.432591438293457,36.0,36.0,35.125,35.125,88900
2000-03-24,13.339303016662598,35.75,35.9375,35.5625,35.875,113200
2000-03-27,13.339303016662598,35.75,35.875,35.5625,35.625,126200
2000-03-28,13.455906867980957,36.0625,36.0625,35.875,35.875,185600
2000-03-29,13.61915111541748,36.5,36.5,36.0,36.0,186500
2000-03-30,13.783992767333984,36.375,36.375,35.8125,35.8125,219200
2000-03-31,13.878726959228516,36.625,36.6875,36.375,36.5625,236800
2000-04-03,13.783992767333984,36.375,36.5625,36.375,36.5625,5891200
2000-04-04,13.83135986328125,36.5,36.5625,36.125,36.125,378600
2000-04-05,13.949777603149414,36.8125,36.8125,36.1875,36.5,148800
2000-04-06,14.020824432373047,37.0,37.0,36.8125,36.9375,191100
2000-04-07,14.18662166595459,37.4375,37.5,37.0,37.0,94000
2000-04-10,14.210304260253906,37.5,37.625,37.375,37.4375,209700
2000-04-11,14.328719139099121,37.8125,37.9375,37.25,37.875,273800
2000-04-12,14.257669448852539,37.625,37.9375,37.5,37.75,137900
2000-04-13,14.352401733398438,37.875,37.9375,37.6875,37.875,87800
2000-04-14,14.352401733398438,37.875,37.875,37.75,37.875,281000
2000-04-17,13.949777603149414,36.8125,37.9375,36.5,37.625,295100
2000-04-18,14.352401733398438,37.875,37.875,37.0625,37.3125,152600
2000-04-19,14.399773597717285,38.0,38.0,37.625,37.75,106800
2000-04-20,14.328719139099121,37.8125,38.125,37.8125,38.125,217500
2000-04-24,14.376089096069336,37.9375,37.9375,37.75,37.875,97600
2000-04-25,14.423460960388184,38.0625,38.125,37.875,37.9375,171500
2000-04-26,14.494513511657715,38.25,38.25,37.9375,38.125,166000
2000-04-27,14.707660675048828,38.8125,39.0,38.25,38.375,286600
2000-04-28,14.826081275939941,39.125,39.3125,38.6875,38.875,147300
2000-05-01,14.944500923156738,39.4375,39.4375,39.0625,39.125,262200
2000-05-02,15.0866060256958,39.8125,40.25,39.625,39.6875,236400
2000-05-03,15.157659530639648,40.0,40.125,39.8125,40.0,246300
2000-05-04,15.181336402893066,40.0625,40.125,39.6875,40.0,202500
2000-05-05,15.205023765563965,40.125,40.4375,40.0,40.3125,103600
2000-05-08,15.27607250213623,40.3125,40.3125,40.0,40.0,55400
2000-05-09,15.370808601379395,40.5625,40.625,40.25,40.3125,109100
2000-05-10,15.25239372253418,40.25,40.6875,40.0,40.6875,214300
2000-05-11,15.228714942932129,40.1875,40.53125,40.125,40.5,84200
2000-05-12,15.418180465698242,40.6875,40.6875,40.125,40.1875,71200
2000-05-15,15.489229202270508,40.875,40.875,40.5,40.5625,73900
2000-05-16,15.465536117553711,40.8125,40.875,40.6875,40.75,269000
2000-05-17,15.347126960754395,40.5,40.875,40.5,40.6875,64700
2000-05-18,15.370808601379395,40.5625,40.875,40.5,40.5,146900
2000-05-19,15.299760818481445,40.375,40.5,40.25,40.5,174400
2000-05-22,15.25239372253418,40.25,40.375,40.0,40.25,136500
2000-05-23,15.228714942932129,40.1875,40.625,40.0625,40.3125,203300
2000-05-24,15.25239372253418,40.25,40.5,40.0,40.25,325500
2000-05-25,15.133970260620117,39.9375,40.3125,39.875,40.3125,130700
2000-05-26,15.133970260620117,39.9375,40.0,39.8125,39.875,76900
2000-05-30,15.0866060256958,39.8125,39.9375,39.5,39.9375,146600
2000-05-31,15.062917709350586,39.75,39.9375,39.75,39.75,79500
2000-06-01,15.039237022399902,39.6875,39.875,39.625,39.875,53900
2000-06-02,15.110288619995117,39.875,39.9375,39.625,39.6875,130900
2000-06-05,15.133970260620117,39.9375,39.9375,39.75,39.9375,91100
2000-06-06,15.157659530639648,40.0,40.0,39.8125,39.875,124500
2000-06-07,15.323439598083496,40.4375,40.4375,39.9375,40.0,143800
2000-06-08,15.465536117553711,40.8125,40.9375,40.25,40.3125,211800
2000-06-09,15.512924194335938,40.9375,41.0,40.75,40.75,127900
2000-06-12,15.666861534118652,41.34375,41.375,40.9375,40.9375,99900
2000-06-13,15.726076126098633,41.5,41.5,41.25,41.375,119300
2000-06-14,16.057641983032227,42.375,43.125,41.5625,41.625,199500
2000-06-15,15.998428344726562,42.21875,42.3125,41.875,42.25,206900
2000-06-16,15.761595726013184,41.59375,42.0625,41.3125,42.0625,68700
2000-06-19,15.808969497680664,41.71875,41.875,41.4375,41.875,96000
2000-06-20,15.808969497680664,41.71875,41.9375,41.625,41.625,184200
2000-06-21,15.761595726013184,41.59375,42.0,41.59375,41.75,62800
2000-06-22,15.714225769042969,41.46875,41.75,41.46875,41.625,115000
2000-06-23,15.737909317016602,41.53125,41.625,41.375,41.625,82100
2000-06-26,15.85633373260498,41.84375,42.125,41.375,41.4375,115800
2000-06-27,15.92737865447998,42.03125,42.1875,41.5625,41.75,293600
2000-06-28,16.09445571899414,41.90625,41.9375,41.5,41.5,139900
2000-06-29,16.214458465576172,42.21875,42.3125,41.9375,41.9375,127000
2000-06-30,16.02243423461914,41.71875,43.0,41.25,42.4375,3582200
2000-07-03,16.118450164794922,41.96875,42.0625,41.96875,42.0625,72800
2000-07-05,16.430503845214844,42.78125,42.8125,42.125,42.1875,139400
2000-07-06,16.61052894592285,43.25,43.8125,42.9375,43.125,330100
2000-07-07,16.550514221191406,43.09375,43.25,43.0,43.25,146400
2000-07-10,16.63452911376953,43.3125,43.3125,43.0,43.125,69000
2000-07-11,16.646526336669922,43.34375,43.625,43.25,43.3125,206700
2000-07-12,16.658531188964844,43.375,43.4375,43.25,43.375,139100
2000-07-13,16.562517166137695,43.125,43.5625,43.0625,43.5625,54100
2000-07-14,16.62252426147461,43.28125,43.4375,43.0625,43.125,157300
2000-07-17,16.502511978149414,42.96875,43.375,42.75,43.1875,218800
2000-07-18,16.682533264160156,43.4375,43.4375,43.0,43.0625,120800
2000-07-19,16.706546783447266,43.5,43.625,43.375,43.4375,266900
2000-07-20,17.28262710571289,45.0,45.0,43.4375,43.5625,737000
2000-07-21,17.498655319213867,45.5625,46.0,44.6875,44.875,530200
2000-07-24,17.64268684387207,45.9375,45.9375,45.3125,45.5625,195700
2000-07-25,17.582670211791992,45.78125,46.0,45.75,45.9375,85300
2000-07-26,18.07475471496582,47.0625,47.125,45.625,45.625,343900
2000-07-27,18.26677703857422,47.5625,47.625,46.5625,46.8125,336900
2000-07-28,18.146764755249023,47.25,47.5,47.0,47.5,62900
2000-07-31,18.09874725341797,47.125,47.25,46.5625,47.25,151500
2000-08-01,18.338794708251953,47.75,47.75,46.9375,47.125,275700
2000-08-02,18.386802673339844,47.875,48.0,47.5,47.6875,128700
2000-08-03,18.242774963378906,47.5,48.0625,47.5,47.875,212700
2000-08-04,18.05074119567871,47.0,47.6875,46.875,47.5,214000
2000-08-07,18.002737045288086,46.875,47.25,46.625,47.125,179800
2000-08-08,17.906719207763672,46.625,47.125,46.5,46.6875,130800
2000-08-09,18.05074119567871,47.0,47.0625,46.5,46.5625,167800
2000-08-10,17.990737915039062,46.84375,47.125,46.8125,47.0,115500
2000-08-11,17.954727172851562,46.75,46.875,46.5625,46.75,127000
2000-08-14,17.930728912353516,46.6875,47.0,46.625,46.75,73700
2000-08-15,17.88273048400879,46.5625,46.6875,46.5625,46.5625,237800
2000-08-16,17.942733764648438,46.71875,46.8125,46.5625,46.5625,70100
2000-08-17,17.918720245361328,46.65625,46.8125,46.625,46.8125,69700
2000-08-18,17.786701202392578,46.3125,46.8125,46.1875,46.75,146800
2000-08-21,17.690683364868164,46.0625,46.625,45.9375,46.5,60000
2000-08-22,17.64268684387207,45.9375,46.0,45.8125,46.0,76900
2000-08-23,17.402647018432617,45.3125,45.9375,45.3125,45.9375,131800
2000-08-24,17.21061134338379,44.8125,45.4375,44.75,45.375,162500
2000-08-25,17.378643035888672,45.25,45.25,44.625,44.9375,162000
2000-08-28,17.25861930847168,44.9375,45.25,44.875,45.1875,66200
2000-08-29,16.89857292175293,44.0,44.875,44.0,44.75,357600
2000-08-30,17.342636108398438,45.15625,45.375,44.0625,44.125,146800
2000-08-31,17.1626033782959,44.6875,45.0625,44.375,45.0625,344800
2000-09-01,17.12661361694336,44.59375,44.875,44.59375,44.6875,52800
2000-09-05,17.150609970092773,44.65625,44.875,44.5625,44.8125,100800
2000-09-06,17.450645446777344,45.4375,45.4375,44.625,44.75,94700
2000-09-07,17.522659301757812,45.625,45.6875,45.3125,45.5,125400
2000-09-08,17.834716796875,46.4375,46.4375,45.75,45.75,153200
2000-09-11,17.978736877441406,46.8125,46.8125,46.3125,46.375,101700
2000-09-12,18.146764755249023,47.25,47.25,46.5625,46.625,188100
2000-09-13,18.09874725341797,47.125,47.1875,46.9375,47.0,77800
2000-09-14,18.09874725341797,47.125,47.125,47.0,47.125,79400
2000-09-15,18.122758865356445,47.1875,47.25,46.75,47.0,80000
2000-09-18,18.03874969482422,46.96875,48.0625,46.96875,47.1875,187400
2000-09-19,18.062740325927734,47.03125,47.5,47.0,47.0625,147300
2000-09-20,18.122758865356445,47.1875,47.25,47.0625,47.25,81500
2000-09-21,18.062740325927734,47.03125,47.1875,47.03125,47.1875,110600
2000-09-22,18.110755920410156,47.15625,47.3125,46.9375,47.0625,180500
2000-09-25,17.978736877441406,46.8125,47.125,46.75,47.125,54900
2000-09-26,18.122758865356445,47.1875,47.25,47.0,47.0625,159000
2000-09-27,18.631921768188477,47.9375,48.0,46.75,46.75,180400
2000-09-28,18.619768142700195,47.90625,48.25,47.6875,47.8125,136300
2000-09-29,18.53474235534668,47.6875,48.0,47.5625,47.6875,1192300
2000-10-02,18.097496032714844,46.5625,47.8125,46.1875,47.8125,197000
2000-10-03,18.121782302856445,46.625,47.125,46.5625,46.5625,174700
2000-10-04,17.757400512695312,45.6875,46.6875,45.5625,46.5,121800
2000-10-05,17.854583740234375,45.9375,46.125,45.625,45.625,91400
2000-10-06,17.830280303955078,45.875,46.25,45.8125,45.8125,117700
2000-10-09,17.830280303955078,45.875,46.25,45.8125,46.0,87200
2000-10-10,17.854583740234375,45.9375,46.0625,45.8125,45.9375,44500
2000-10-11,17.80598258972168,45.8125,46.0,45.75,46.0,79100
2000-10-12,17.490190505981445,45.0,46.0,44.875,46.0,177200
2000-10-13,17.39302635192871,44.75,45.0,44.625,45.0,138400
2000-10-16,17.39302635192871,44.75,45.3125,44.0,45.0,484700
2000-10-17,17.563064575195312,45.1875,45.1875,44.875,45.0,165800
2000-10-18,17.538774490356445,45.125,45.25,44.875,45.25,59200
2000-10-19,17.70882225036621,45.5625,45.875,45.4375,45.625,118000
2000-10-20,17.781696319580078,45.75,45.875,45.5,45.6875,60000
2000-10-23,17.73310661315918,45.625,45.875,45.5625,45.75,66000
2000-10-24,17.465898513793945,44.9375,45.75,44.875,45.625,197600
2000-10-25,17.417316436767578,44.8125,45.0625,44.625,45.0,60800
2000-10-26,17.635944366455078,45.375,45.4375,44.8125,44.8125,78000
2000-10-27,17.854583740234375,45.9375,45.9375,45.1875,45.375,93000
2000-10-30,17.757400512695312,45.6875,46.0,45.5625,45.9375,98100
2000-10-31,17.854583740234375,45.9375,45.9375,45.625,45.75,236200
2000-11-01,17.830280303955078,45.875,46.125,45.625,45.9375,139200
2000-11-02,17.80598258972168,45.8125,45.9375,45.4375,45.875,180100
2000-11-03,17.757400512695312,45.6875,45.875,45.375,45.875,92100
2000-11-06,17.830280303955078,45.875,46.0625,45.6875,45.8125,27500
2000-11-07,17.854583740234375,45.9375,45.9375,45.75,45.8125,59700
2000-11-08,17.757400512695312,45.6875,45.9375,45.6875,45.9375,35900
2000-11-09,17.73310661315918,45.625,45.75,45.4375,45.6875,103300
2000-11-10,17.58735466003418,45.25,45.625,45.0,45.625,37300
2000-11-13,17.635944366455078,45.375,45.4375,45.125,45.125,50100
2000-11-14,17.781696319580078,45.75,45.75,45.125,45.25,292800
2000-11-15,17.854583740234375,45.9375,46.0,45.875,45.9375,257200
2000-11-16,17.951738357543945,46.1875,46.1875,45.9375,46.0,35100
2000-11-17,17.951738357543945,46.1875,46.1875,46.0,46.0,18800
2000-11-20,17.854583740234375,45.9375,46.4375,45.875,46.4375,93400
2000-11-21,17.87886619567871,46.0,46.1875,45.75,46.0,46000
2000-11-22,17.73310661315918,45.625,46.0,45.5,46.0,64700
2000-11-24,17.660234451293945,45.4375,45.6875,45.375,45.6875,35900
2000-11-27,17.635944366455078,45.375,45.75,45.125,45.5,181500
2000-11-28,17.70882225036621,45.5625,45.75,45.4375,45.5,129200
2000-11-29,17.781696319580078,45.75,45.75,45.5,45.625,222800
2000-11-30,18.194660186767578,46.8125,46.875,45.6875,45.6875,69500
2000-12-01,18.097496032714844,46.5625,46.875,46.5625,46.6875,64100
2000-12-04,18.243244171142578,46.9375,46.9375,46.5625,46.6875,53900
2000-12-05,18.631921768188477,47.9375,47.9375,46.9375,46.9375,235100
2000-12-06,18.583324432373047,47.8125,47.9375,47.75,47.9375,225900
2000-12-07,18.60761833190918,47.875,48.375,47.6875,47.8125,121900
2000-12-08,18.753368377685547,48.25,48.3125,48.0,48.125,202900
2000-12-11,18.947708129882812,48.75,48.8125,48.25,48.375,121000
2000-12-12,18.89911651611328,48.625,49.0,48.5625,48.875,68100
2000-12-13,18.82624626159668,48.4375,48.5625,48.1875,48.5,87800
2000-12-14,18.972002029418945,48.8125,49.25,48.5625,48.5625,129700
2000-12-15,19.044878005981445,49.0,49.4375,48.6875,48.9375,193300
2000-12-18,19.506423950195312,50.1875,50.3125,49.125,49.25,302100
2000-12-19,19.530702590942383,50.25,50.25,49.9375,50.0625,169200
2000-12-20,19.263504028320312,49.5625,50.0625,49.5625,50.0625,183300
2000-12-21,19.06915855407715,49.0625,49.625,49.0,49.5625,213800
2000-12-22,18.55903434753418,47.75,49.1875,47.375,49.1875,168000
2000-12-26,18.753368377685547,48.25,48.25,47.6875,47.6875,73200
2000-12-27,19.366823196411133,49.25,49.25,47.625,47.6875,117300
2000-12-28,19.661741256713867,50.0,50.0,49.0,49.25,87400
2000-12-29,19.710886001586914,50.125,50.625,49.8125,49.9375,3295600
2001-01-02,19.465133666992188,49.5,50.0,49.4375,50.0,87300
2001-01-03,19.465133666992188,49.5,49.9375,49.4375,49.625,172800
2001-01-04,19.366823196411133,49.25,49.5,49.1875,49.5,41800
2001-01-05,18.899850845336914,48.0625,49.0,47.5,49.0,146900
2001-01-08,18.82612419128418,47.875,48.75,47.5,48.0,139100
2001-01-09,18.924436569213867,48.125,48.25,47.8125,48.0,195500
2001-01-10,18.80154800415039,47.8125,48.3125,47.625,48.125,201900
2001-01-11,18.80154800415039,47.8125,47.875,47.5,47.625,84900
2001-01-12,18.67865753173828,47.5,47.875,47.375,47.875,105300
2001-01-16,18.310009002685547,46.5625,47.75,46.5625,47.75,331100
2001-01-17,18.5557804107666,47.1875,47.375,47.0,47.0,179200
2001-01-18,18.67865753173828,47.5,47.5,47.125,47.125,51000
2001-01-19,18.67865753173828,47.5,47.5625,47.3125,47.3125,59900
2001-01-22,18.506622314453125,47.0625,47.5,46.9375,47.5,200700
2001-01-23,18.580350875854492,47.25,47.375,46.875,47.0,253400
2001-01-24,18.310009002685547,46.5625,47.625,45.875,47.5,812500
2001-01-25,18.654081344604492,47.4375,47.5,46.6875,46.75,255700
2001-01-26,18.482038497924805,47.0,47.3125,46.75,47.0625,206200
2001-01-29,18.603946685791016,47.310001373291016,47.5,46.52000045776367,46.880001068115234,186000
2001-01-30,18.977519989013672,48.2599983215332,48.27000045776367,47.27000045776367,47.27000045776367,115900
2001-01-31,19.107288360595703,48.59000015258789,48.59000015258789,48.150001525878906,48.20000076293945,164500
2001-02-01,18.981447219848633,48.27000045776367,48.790000915527344,48.0,48.790000915527344,99500
2001-02-02,18.87527847290039,48.0,48.279998779296875,47.97999954223633,48.2599983215332,251900
