Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CCI,CCI,CCI,CCI,CCI,CCI
Date,,,,,,
2000-01-03,20.17963981628418,30.53125,32.125,30.0,31.6875,1084800
2000-01-04,20.158992767333984,30.5,30.875,29.9375,30.4375,983500
2000-01-05,19.869823455810547,30.0625,30.5625,29.8125,30.5625,701200
2000-01-06,19.167558670043945,29.0,29.9375,28.1875,29.875,843300
2000-01-07,20.158992767333984,30.5,30.5,29.0,29.5,597200
2000-01-10,21.109102249145508,31.9375,34.125,31.75,32.75,1136600
2000-01-11,20.117677688598633,30.4375,32.25,30.25,32.1875,450600
2000-01-12,19.828514099121094,30.0,31.125,29.6875,31.125,471800
2000-01-13,19.828514099121094,30.0,30.25,29.9375,30.125,1046000
2000-01-14,19.084945678710938,28.875,30.25,28.5,30.125,1402600
2000-01-18,19.869823455810547,30.0625,30.25,29.0,29.03125,1920200
2000-01-19,19.828514099121094,30.0,30.5,29.3125,30.25,1027100
2000-01-20,19.95244598388672,30.1875,30.25,29.6875,30.0625,1357500
2000-01-21,20.48946762084961,31.0,31.3125,30.25,30.375,2206200
2000-01-24,22.5549373626709,34.125,35.625,31.5,31.5,2574500
2000-01-25,22.30707550048828,33.75,34.375,33.0,34.375,1161100
2000-01-26,22.472322463989258,34.0,34.25,33.5,33.78125,1422300
2000-01-27,21.728750228881836,32.875,34.375,32.625,34.25,1616200
2000-01-28,21.893985748291016,33.125,33.9375,32.1875,33.0,1236000
2000-01-31,20.902557373046875,31.625,33.25,30.25,32.875,970700
2000-02-01,21.067794799804688,31.875,32.375,31.3125,31.4375,1085900
2000-02-02,21.976604461669922,33.25,33.25,31.875,31.9375,1175200
2000-02-03,21.85267448425293,33.0625,33.75,33.0625,33.4375,2666500
2000-02-04,21.212371826171875,32.09375,33.25,31.375,33.25,730500
2000-02-07,20.902557373046875,31.625,32.125,31.25,32.125,949200
2000-02-08,21.398271560668945,32.375,32.375,31.5,31.5625,1040500
2000-02-09,22.348384857177734,33.8125,33.875,32.625,32.875,2288000
