Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COR,COR,COR,COR,COR,COR
Date,,,,,,
2000-01-03,2.9387569427490234,3.890625,3.9375,3.8125,3.875,2784800
2000-01-04,2.738118886947632,3.625,3.703125,3.5,3.6875,944000
2000-01-05,2.9505608081817627,3.90625,4.046875,3.625,3.65625,810400
2000-01-06,3.174801826477051,4.203125,4.28125,3.828125,4.0,2695200
2000-01-07,3.587878465652466,4.75,4.75,4.15625,4.203125,2543600
2000-01-10,3.6822996139526367,4.875,5.15625,4.75,4.75,2534400
2000-01-11,3.8003222942352295,5.03125,5.125,4.890625,4.96875,2545200
2000-01-12,3.8003222942352295,5.03125,5.03125,4.90625,5.03125,1085600
2000-01-13,4.473047733306885,5.921875,5.953125,5.03125,5.03125,2248000
2000-01-14,4.189795970916748,5.546875,5.828125,5.4375,5.75,2403200
2000-01-18,4.012760162353516,5.3125,5.484375,5.25,5.3125,3676400
2000-01-19,4.024562835693359,5.328125,5.375,5.265625,5.3125,1015200
2000-01-20,3.8121249675750732,5.046875,5.25,5.0,5.234375,1674000
2000-01-21,3.6350901126861572,4.8125,4.9375,4.6875,4.90625,1384000
2000-01-24,3.6704957485198975,4.859375,4.96875,4.78125,4.875,857600
2000-01-25,3.5406694412231445,4.6875,4.859375,4.5625,4.859375,672400
2000-01-26,3.42264986038208,4.53125,4.6875,4.46875,4.6875,621200
2000-01-27,3.5406694412231445,4.6875,4.875,4.53125,4.5625,3402800
2000-01-28,3.5406694412231445,4.6875,4.78125,4.640625,4.75,1545200
2000-01-31,3.42264986038208,4.53125,4.703125,4.515625,4.6875,588400
2000-02-01,3.52886962890625,4.671875,5.046875,4.59375,4.9375,1546800
2000-02-02,3.5642764568328857,4.71875,4.78125,4.609375,4.609375,1564400
2000-02-03,3.5406694412231445,4.6875,4.71875,4.625,4.6875,1324800
2000-02-04,3.481661319732666,4.609375,4.6875,4.53125,4.6875,707200
2000-02-07,3.458057165145874,4.578125,4.59375,4.53125,4.546875,528000
2000-02-08,3.3754396438598633,4.46875,4.59375,4.4375,4.59375,696800
2000-02-09,3.2574167251586914,4.3125,4.40625,4.125,4.40625,1449600
2000-02-10,3.2220122814178467,4.265625,4.3125,4.1875,4.28125,602400
2000-02-11,3.1157917976379395,4.125,4.265625,4.078125,4.265625,580800
2000-02-14,3.0921876430511475,4.09375,4.21875,4.0,4.21875,891600
2000-02-15,2.9977688789367676,3.96875,4.09375,3.921875,4.09375,2719600
2000-02-16,3.0095713138580322,3.984375,4.0,3.9375,3.953125,2016400
2000-02-17,3.1630003452301025,4.1875,4.1875,3.953125,3.984375,1334800
