Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DVN,DVN,DVN,DVN,DVN,DVN
Date,,,,,,
2000-01-03,10.052440643310547,16.1875,16.75,16.03125,16.5625,717600
2000-01-04,9.838973045349121,15.84375,16.34375,15.6875,16.34375,1480200
2000-01-05,10.013622283935547,16.125,16.125,15.75,15.9375,854000
2000-01-06,10.518187522888184,16.9375,17.25,15.875,15.9375,521000
2000-01-07,10.576406478881836,17.03125,17.625,16.875,17.0,545200
2000-01-10,10.44056224822998,16.8125,17.125,16.46875,17.0625,381800
2000-01-11,10.595815658569336,17.0625,17.09375,16.6875,16.8125,540400
2000-01-12,10.44056224822998,16.8125,17.0,16.75,17.0,370800
2000-01-13,10.673439979553223,17.1875,17.28125,16.875,16.90625,807400
2000-01-14,10.731656074523926,17.28125,17.375,16.75,17.1875,714400
2000-01-18,11.604934692382812,18.6875,18.6875,17.28125,17.28125,964600
2000-01-19,11.915437698364258,19.1875,19.25,18.6875,18.6875,1093800
2000-01-20,12.090095520019531,19.46875,19.875,19.0625,19.0625,1191400
2000-01-21,12.827528953552246,20.65625,20.875,19.75,19.75,1187200
2000-01-24,12.4976224899292,20.125,21.03125,19.625,20.75,2022000
2000-01-25,12.187125205993652,19.625,20.03125,19.5625,20.0,595600
2000-01-26,11.876625061035156,19.125,20.15625,19.125,19.65625,668200
2000-01-27,11.663154602050781,18.78125,19.75,18.46875,19.1875,737400
2000-01-28,11.663154602050781,18.78125,19.0625,18.5,18.75,587200
2000-01-31,10.9063138961792,17.5625,18.75,17.5625,18.75,954000
2000-02-01,11.19741153717041,18.03125,18.21875,17.5625,17.5625,934400
2000-02-02,11.061559677124023,17.8125,18.40625,17.8125,18.15625,556000
2000-02-03,11.158595085144043,17.96875,18.15625,17.8125,18.125,409800
2000-02-04,11.178003311157227,18.0,18.375,17.8125,17.96875,466400
2000-02-07,11.178003311157227,18.0,18.5,17.875,17.875,535600
2000-02-08,11.178003311157227,18.0,18.0625,17.5625,18.0,266600
2000-02-09,10.964536666870117,17.65625,18.3125,17.625,18.0,1006800
2000-02-10,11.527313232421875,18.5625,18.96875,17.75,17.75,621400
2000-02-11,11.178003311157227,18.0,18.75,18.0,18.75,376800
2000-02-14,11.54671859741211,18.59375,18.8125,18.0,18.1875,560000
2000-02-15,11.81840991973877,19.03125,19.1875,18.5625,18.59375,953200
2000-02-16,11.915437698364258,19.1875,19.46875,18.8125,18.84375,385800
2000-02-17,11.99306869506836,19.3125,19.5,19.125,19.5,639800
2000-02-18,11.837814331054688,19.0625,19.4375,18.96875,19.1875,905000
2000-02-22,11.896026611328125,19.15625,19.21875,18.53125,19.21875,669200
2000-02-23,11.449688911437988,18.4375,19.0625,18.0,19.03125,377800
2000-02-24,11.313844680786133,18.21875,18.5625,17.875,18.3125,737000
2000-02-25,11.158595085144043,17.96875,18.4375,17.875,18.4375,896800
2000-02-28,11.391463279724121,18.34375,18.4375,17.625,17.625,455000
2000-02-29,11.566120147705078,18.625,18.75,18.0625,18.3125,801600
2000-03-01,12.070686340332031,19.4375,19.5,18.625,18.75,630600
2000-03-02,12.73050308227539,20.5,20.625,19.8125,19.875,1324600
2000-03-03,12.400592803955078,19.96875,20.46875,19.5625,20.4375,783600
2000-03-06,12.614073753356934,20.3125,20.375,19.625,20.0625,310800
2000-03-07,14.050130844116211,22.625,22.625,20.125,20.1875,1388200
2000-03-08,13.73963451385498,22.125,22.5625,21.4375,22.3125,1530000
2000-03-09,13.759032249450684,22.15625,22.1875,21.375,22.0,574400
2000-03-10,13.681407928466797,22.03125,22.40625,21.625,22.09375,966800
2000-03-13,13.755237579345703,22.125,22.15625,21.25,21.375,403000
2000-03-14,13.79409122467041,22.1875,22.40625,21.78125,22.0,785000
2000-03-15,13.347236633300781,21.46875,22.1875,21.28125,22.0625,630600
2000-03-16,13.696946144104004,22.03125,22.125,21.1875,21.25,549200
2000-03-17,13.483242988586426,21.6875,21.9375,21.28125,21.5,441800
2000-03-20,13.133524894714355,21.125,21.5,20.875,21.5,258200
2000-03-21,13.424957275390625,21.59375,21.875,20.9375,21.0,397200
2000-03-22,13.347236633300781,21.46875,21.6875,21.34375,21.5,543000
2000-03-23,13.25009536743164,21.3125,21.53125,21.03125,21.53125,336200
2000-03-24,13.2112398147583,21.25,21.71875,20.8125,21.25,368000
2000-03-27,12.997529029846191,20.90625,21.46875,20.75,21.15625,473200
2000-03-28,13.2112398147583,21.25,22.0,20.75,20.78125,623000
2000-03-29,13.871801376342773,22.3125,22.5,21.375,21.375,989400
2000-03-30,14.68779182434082,23.625,23.75,22.40625,22.40625,2524400
2000-03-31,15.095786094665527,24.28125,24.28125,23.375,23.875,1070200
2000-04-03,15.251211166381836,24.53125,24.90625,24.125,24.1875,824800
2000-04-04,14.765501022338867,23.75,24.5,22.875,24.5,1084400
2000-04-05,14.68779182434082,23.625,23.875,23.359375,23.625,590400
2000-04-06,14.998645782470703,24.125,24.125,23.0625,23.5,843400
2000-04-07,14.726653099060059,23.6875,24.34375,23.53125,24.3125,516600
2000-04-10,14.182658195495605,22.8125,23.5625,22.6875,23.5625,864200
2000-04-11,14.202079772949219,22.84375,23.375,22.78125,23.125,1254600
2000-04-12,14.376933097839355,23.125,23.4375,22.8125,22.84375,971600
2000-04-13,14.843218803405762,23.875,24.0,23.25,23.3125,628000
2000-04-14,14.571221351623535,23.4375,23.84375,23.125,23.6875,690000
2000-04-17,13.774665832519531,22.15625,23.125,21.9375,23.0625,903600
2000-04-18,13.813525199890137,22.21875,22.34375,21.875,22.09375,620800
2000-04-19,14.279792785644531,22.96875,23.03125,22.1875,22.25,1632600
2000-04-20,14.143796920776367,22.75,22.875,22.4375,22.875,976800
2000-04-24,14.007806777954102,22.53125,22.71875,22.34375,22.71875,483000
2000-04-25,14.376933097839355,23.125,23.15625,22.625,22.65625,756200
2000-04-26,14.571221351623535,23.4375,23.5,23.03125,23.125,611400
2000-04-27,14.862645149230957,23.90625,24.15625,23.125,23.4375,578600
2000-04-28,14.959787368774414,24.0625,24.125,23.25,23.8125,862000
2000-05-01,14.882078170776367,23.9375,24.40625,23.75,23.875,1408000
2000-05-02,14.648937225341797,23.5625,24.0,23.5625,23.8125,751000
2000-05-03,14.49350643157959,23.3125,23.875,23.1875,23.8125,581200
2000-05-04,15.231778144836426,24.5,24.8125,23.125,23.125,1821000
2000-05-05,15.445496559143066,24.84375,25.0,24.25,24.4375,1309400
2000-05-08,15.834065437316895,25.46875,26.125,24.53125,24.96875,1103600
2000-05-09,15.581497192382812,25.0625,25.71875,24.75,25.46875,588000
2000-05-10,15.251211166381836,24.53125,24.875,24.4375,24.75,570200
2000-05-11,16.008920669555664,25.75,25.8125,25.0,25.0,1174400
2000-05-12,16.3780574798584,26.34375,26.625,25.4375,25.75,1714400
2000-05-15,17.485464096069336,28.125,28.25,26.375,26.375,1903800
2000-05-16,17.36890411376953,27.9375,28.125,26.875,28.125,1786200
2000-05-17,17.71860122680664,28.5,28.96875,27.5,27.75,884400
2000-05-18,18.184886932373047,29.25,29.5,28.5,28.5,1007000
2000-05-19,17.9906063079834,28.9375,29.46875,28.875,29.25,590200
2000-05-22,17.9906063079834,28.9375,29.25,28.6875,28.875,761000
2000-05-23,17.97117042541504,28.90625,29.1875,28.6875,28.9375,1124200
2000-05-24,18.49573516845703,29.75,29.75,28.6875,29.0,1297200
2000-05-25,18.243167877197266,29.34375,29.34375,28.5625,29.25,1301600
2000-05-26,17.291175842285156,27.8125,28.75,27.5,28.75,4393200
2000-05-30,17.602041244506836,28.3125,28.5,27.875,28.25,2313400
2000-05-31,18.592872619628906,29.90625,30.1875,28.25,28.4375,2285000
2000-06-01,18.651159286499023,30.0,30.25,29.6875,29.9375,1521800
2000-06-02,18.22374725341797,29.3125,29.875,29.1875,29.8125,1136200
2000-06-05,17.893463134765625,28.78125,29.5625,28.625,29.3125,839000
2000-06-06,18.06831932067871,29.0625,29.3125,28.6875,28.75,1085200
2000-06-07,18.184886932373047,29.25,29.625,28.71875,29.125,1379400
2000-06-08,18.340312957763672,29.5,29.8125,28.8125,29.125,954000
2000-06-09,18.22374725341797,29.3125,29.6875,29.125,29.6875,747600
2000-06-12,18.398590087890625,29.59375,30.03125,29.1875,29.25,962000
2000-06-13,18.589155197143555,29.875,30.0,29.5,29.625,532200
2000-06-14,18.705821990966797,30.0625,30.46875,29.90625,29.96875,1175400
2000-06-15,18.511377334594727,29.75,30.25,29.5,30.15625,1360000
2000-06-16,18.66693687438965,30.0,30.15625,29.75,29.84375,729800
2000-06-19,18.433595657348633,29.625,29.9375,29.3125,29.9375,1115000
2000-06-20,18.141931533813477,29.15625,29.5,29.0,29.5,1373800
2000-06-21,17.908594131469727,28.78125,29.5625,28.5625,29.28125,5656400
2000-06-22,18.122488021850586,29.125,29.25,28.84375,29.0,1407600
2000-06-23,18.25859260559082,29.34375,29.5,29.1875,29.3125,1882200
2000-06-26,17.772470474243164,28.5625,29.46875,28.125,29.46875,1146600
2000-06-27,17.519695281982422,28.15625,28.53125,27.625,28.53125,820200
2000-06-28,17.150243759155273,27.5625,28.1875,27.375,28.1875,1445400
2000-06-29,17.247472763061523,27.71875,27.75,27.40625,27.53125,1664200
2000-06-30,17.422475814819336,28.0,28.09375,27.15625,27.75,2057200
2000-07-03,17.305801391601562,27.8125,27.875,27.59375,27.875,338800
2000-07-05,14.991887092590332,24.09375,27.5,24.0625,27.5,2613600
2000-07-06,15.478002548217773,24.875,25.25,24.375,24.5,3669400
2000-07-07,15.439111709594727,24.8125,25.0625,24.3125,24.5625,806400
2000-07-10,14.972439765930176,24.0625,24.90625,24.0,24.6875,1059600
2000-07-11,16.275226593017578,26.15625,26.46875,24.0,24.0625,1590200
2000-07-12,16.100223541259766,25.875,26.5,25.5625,26.15625,907000
2000-07-13,15.28355598449707,24.5625,25.9375,24.0625,25.9375,1750200
2000-07-14,15.341888427734375,24.65625,24.71875,24.25,24.71875,442600
2000-07-17,15.06966495513916,24.21875,25.0,24.21875,24.9375,416200
2000-07-18,14.816886901855469,23.8125,24.6875,23.75,24.125,1188400
2000-07-19,14.38908863067627,23.125,24.46875,23.0625,24.125,1416200
2000-07-20,14.641878128051758,23.53125,24.0,23.25,23.25,1009600
2000-07-21,14.272430419921875,22.9375,23.375,22.4375,23.3125,1528400
2000-07-24,13.6890869140625,22.0,22.75,21.75,22.5,2908400
2000-07-25,13.377968788146973,21.5,22.25,21.28125,22.25,2362800
2000-07-26,13.74742603302002,22.09375,22.125,21.5,21.625,1136000
2000-07-27,14.019645690917969,22.53125,22.84375,22.4375,22.5,1754200
2000-07-28,14.116866111755371,22.6875,22.84375,22.4375,22.75,841200
2000-07-31,14.23353385925293,22.875,23.28125,22.75,22.875,998800
2000-08-01,14.311315536499023,23.0,23.03125,22.5625,23.03125,1080400
2000-08-02,15.302994728088379,24.59375,24.75,23.21875,23.21875,1539400
2000-08-03,14.982161521911621,24.078125,25.4375,24.0625,25.0625,1636600
2000-08-04,15.322433471679688,24.625,24.71875,24.0625,24.0625,625600
2000-08-07,15.988428115844727,25.6953125,25.875,24.84375,24.875,678000
2000-08-08,15.925216674804688,25.59375,26.125,25.4375,25.96875,736200
2000-08-09,16.236343383789062,26.09375,26.375,25.875,25.875,1388200
2000-08-10,16.15856170654297,25.96875,26.21875,25.9375,26.0625,1376200
2000-08-11,16.411348342895508,26.375,26.4375,26.09375,26.09375,1000000
2000-08-14,17.111356735229492,27.5,27.625,26.375,26.375,1064400
2000-08-15,16.85857582092285,27.09375,27.78125,27.09375,27.5,1160000
2000-08-16,17.189136505126953,27.625,27.9375,27.0625,27.09375,919200
2000-08-17,17.714141845703125,28.46875,28.875,27.75,27.75,1707400
2000-08-18,17.636363983154297,28.34375,29.46875,27.84375,29.25,898800
2000-08-21,17.50025177001953,28.125,28.75,27.875,28.21875,869400
