Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EFX,EFX,EFX,EFX,EFX,EFX
Date,,,,,,
2000-01-03,10.557186126708984,22.375,23.25,21.0625,23.0625,440100
2000-01-04,10.203320503234863,21.625,22.25,21.5625,21.875,529100
2000-01-05,10.085356712341309,21.375,22.1875,21.3125,21.8125,362400
2000-01-06,9.96739673614502,21.125,21.625,20.8125,21.625,491100
2000-01-07,10.439225196838379,22.125,22.375,21.0625,21.4375,357000
2000-01-10,10.350760459899902,21.9375,22.1875,21.8125,21.875,270200
2000-01-11,10.645655632019043,22.5625,22.625,21.875,21.875,478700
2000-01-12,10.173827171325684,21.5625,22.5,21.0625,22.3125,333100
2000-01-13,9.584033012390137,20.3125,21.5625,20.0,21.5,822600
2000-01-14,10.02637767791748,21.25,21.25,20.1875,20.75,759200
2000-01-18,9.937911987304688,21.0625,21.5625,20.875,21.1875,433200
2000-01-19,9.996888160705566,21.1875,21.6875,20.9375,21.0,366200
2000-01-20,9.76097297668457,20.6875,21.5,20.625,21.3125,268600
2000-01-21,9.64301586151123,20.4375,21.125,20.25,21.0625,406600
2000-01-24,9.377614974975586,19.875,20.5,19.875,20.375,710800
2000-01-25,10.02637767791748,21.25,23.375,20.125,20.25,1474900
2000-01-26,10.02637767791748,21.25,21.375,20.1875,21.125,877900
2000-01-27,10.114843368530273,21.4375,22.375,21.0625,21.4375,1049800
2000-01-28,10.173827171325684,21.5625,21.75,21.25,21.5,762300
2000-01-31,10.144332885742188,21.5,21.625,20.875,21.5625,358900
2000-02-01,9.908426284790039,21.0,21.3125,20.625,21.3125,788700
2000-02-02,10.144332885742188,21.5,21.625,20.75,20.75,595900
2000-02-03,10.262296676635742,21.75,22.25,21.25,22.25,530600
2000-02-04,10.203320503234863,21.625,22.0,21.3125,21.9375,445700
2000-02-07,10.055868148803711,21.3125,21.4375,21.0625,21.375,211900
2000-02-08,10.40974235534668,22.0625,22.0625,21.3125,21.5,349700
2000-02-09,10.144332885742188,21.5,21.6875,21.125,21.625,494500
2000-02-10,10.350760459899902,21.9375,22.1875,21.4375,21.625,581700
2000-02-11,10.468721389770508,22.1875,22.875,21.875,22.5,863500
2000-02-14,10.380253791809082,22.0,22.8125,21.875,22.8125,366100
2000-02-15,10.350760459899902,21.9375,22.3125,21.625,21.9375,455800
2000-02-16,10.262296676635742,21.75,22.0625,21.5,21.9375,424000
2000-02-17,10.262296676635742,21.75,21.875,21.5,21.6875,426500
2000-02-18,10.099052429199219,21.3125,22.125,21.3125,22.0,590400
2000-02-22,10.039820671081543,21.1875,21.25,20.5625,20.9375,423700
2000-02-23,10.306361198425293,21.75,22.0,20.9375,20.9375,378300
