Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EIX,EIX,EIX,EIX,EIX,EIX
Date,,,,,,
2000-01-03,11.831782341003418,25.0625,25.5625,24.8125,25.5,755000
2000-01-04,11.949804306030273,25.3125,25.625,24.875,24.875,715400
2000-01-05,12.716954231262207,26.9375,27.5,25.8125,25.9375,1330000
2000-01-06,12.687447547912598,26.875,26.875,26.125,26.6875,1210100
2000-01-07,13.218554496765137,28.0,28.0,27.0,27.0,2816800
2000-01-10,13.218554496765137,28.0,28.0625,27.625,27.9375,912200
2000-01-11,13.159538269042969,27.875,28.0625,27.75,28.0,960100
2000-01-12,13.189044952392578,27.9375,28.1875,27.8125,27.8125,618300
2000-01-13,13.1005277633667,27.75,28.0,27.6875,27.8125,848500
2000-01-14,12.982502937316895,27.5,27.625,27.25,27.5,712800
2000-01-18,12.74646282196045,27.0,27.5,26.75,27.25,1032700
2000-01-19,12.864479064941406,27.25,27.375,26.5625,26.5625,1014000
2000-01-20,12.657940864562988,26.8125,26.9375,26.6875,26.875,787500
2000-01-21,12.95300006866455,27.4375,27.5,26.875,27.0,1016200
2000-01-24,13.454599380493164,28.5,29.3125,27.5625,27.625,1592700
2000-01-25,13.631631851196289,28.875,29.0625,28.5,28.5,2807400
2000-01-26,13.690640449523926,29.0,29.0625,28.8125,28.9375,896900
2000-01-27,13.690640449523926,29.0,29.5625,28.6875,28.8125,1649600
2000-01-28,13.336578369140625,28.25,29.0,28.25,29.0,869500
2000-01-31,13.749654769897461,29.125,29.125,28.0,28.3125,965200
2000-02-01,13.513603210449219,28.625,29.375,28.125,29.375,1351400
2000-02-02,13.48410415649414,28.5625,28.6875,28.375,28.5625,943300
2000-02-03,13.92668628692627,29.5,30.0,28.5,28.5,1030100
2000-02-04,13.395586967468262,28.375,29.5,28.125,29.4375,838100
2000-02-07,13.395586967468262,28.375,28.375,27.875,28.125,855100
2000-02-08,13.159538269042969,27.875,28.1875,27.625,28.1875,1400500
2000-02-09,13.218554496765137,28.0,28.125,27.5,27.8125,1100700
2000-02-10,12.982502937316895,27.5,28.375,27.5,27.6875,756100
2000-02-11,13.1005277633667,27.75,28.25,27.5625,27.5625,487000
2000-02-14,13.189044952392578,27.9375,28.25,27.6875,27.75,624800
2000-02-15,13.218554496765137,28.0,28.125,27.875,28.0,524600
2000-02-16,13.395586967468262,28.375,28.5,28.0,28.0625,600200
2000-02-17,13.248061180114746,28.0625,28.4375,27.9375,28.3125,381000
2000-02-18,12.864479064941406,27.25,28.125,27.125,28.0625,929100
2000-02-22,12.893986701965332,27.3125,27.4375,26.875,27.25,570400
2000-02-23,12.598925590515137,26.6875,27.4375,26.625,27.4375,629800
