Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EQIX,EQIX,EQIX,EQIX,EQIX,EQIX
Date,,,,,,
2000-08-11,319.27557373046875,420.0,448.0,384.0,408.0,792528
2000-08-14,291.9090576171875,384.0,420.0,384.0,419.0,80228
2000-08-15,294.94989013671875,388.0,396.0,384.0,389.0,48422
2000-08-16,301.0312805175781,396.0,418.0,386.0,386.0,42166
2000-08-17,291.9090576171875,384.0,400.0,382.0,392.0,47247
2000-08-18,348.16241455078125,458.0,460.0,396.0,401.0,60400
2000-08-21,369.4474182128906,486.0,520.0,446.0,482.0,66547
2000-08-22,328.39764404296875,432.0,502.0,432.0,492.0,33878
2000-08-23,316.2348327636719,416.0,440.0,408.0,434.0,17925
2000-08-24,293.4293518066406,386.0,418.0,386.0,414.0,18441
2000-08-25,313.194091796875,412.0,414.0,388.0,402.0,20113
2000-08-28,319.27557373046875,420.0,433.5,400.0,429.0,19491
2000-08-29,325.3569641113281,428.0,432.0,404.0,430.0,22728
2000-08-30,345.12158203125,454.0,470.0,424.0,427.0,19891
2000-08-31,393.7731018066406,518.0,528.0,476.0,482.0,87397
2000-09-01,383.1307678222656,504.0,520.0,480.0,516.0,27738
2000-09-05,378.5696105957031,498.0,520.0,496.0,506.0,23025
2000-09-06,377.0491638183594,496.0,520.0,488.0,516.0,20559
2000-09-07,349.6827392578125,460.0,512.0,428.0,512.0,23959
2000-09-08,340.5606384277344,448.0,464.0,440.0,456.5,15956
2000-09-11,337.519775390625,444.0,448.0,432.0,442.0,34547
2000-09-12,316.2348327636719,416.0,442.0,412.0,435.0,33853
2000-09-13,304.0718994140625,400.0,420.0,396.0,408.0,10363
2000-09-14,308.633056640625,406.0,444.0,400.0,444.0,8109
2000-09-15,305.59228515625,402.0,416.0,400.0,402.0,3600
2000-09-18,293.4293518066406,386.0,424.0,382.0,420.0,18659
2000-09-19,273.6646728515625,360.0,420.0,344.0,419.0,48038
2000-09-20,252.37969970703125,332.0,370.0,312.0,368.0,24103
2000-09-21,258.46099853515625,340.0,344.0,326.0,330.0,25247
2000-09-22,256.9407958984375,338.0,346.0,302.0,307.0,8456
2000-09-25,229.57432556152344,302.0,346.0,300.0,340.0,21066
2000-09-26,225.0133056640625,296.0,318.0,288.0,316.0,19634
2000-09-27,227.29380798339844,299.0,302.0,276.0,301.0,16756
2000-09-28,243.2574462890625,320.0,344.0,292.0,296.0,22041
2000-09-29,215.8910675048828,284.0,324.0,279.0,323.0,19125
2000-10-02,206.7689971923828,272.0,301.0,268.0,300.0,6888
2000-10-03,193.0856475830078,254.0,284.0,248.0,275.0,10128
2000-10-04,173.32101440429688,228.0,258.0,216.0,256.0,14600
