Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EVRG,EVRG,EVRG,EVRG,EVRG,EVRG
Date,,,,,,
2000-01-03,5.252070903778076,16.5,16.8125,16.125,16.625,419600
2000-01-04,5.4311203956604,17.0625,17.125,16.25,16.5625,623100
2000-01-05,5.7096381187438965,17.9375,17.9375,17.0,17.0,310400
2000-01-06,5.669846057891846,17.8125,17.9375,17.625,17.9375,283700
2000-01-07,5.610165119171143,17.625,17.9375,17.3125,17.875,225100
2000-01-10,5.510696887969971,17.3125,17.875,17.0,17.625,373200
2000-01-11,5.5504841804504395,17.4375,17.5625,17.0625,17.5625,202200
2000-01-12,5.510696887969971,17.3125,17.3125,17.0625,17.25,222800
2000-01-13,5.451009750366211,17.125,17.4375,16.875,17.25,258700
2000-01-14,5.271963596343994,16.5625,16.9375,16.25,16.9375,253700
2000-01-18,5.112806797027588,16.0625,16.5625,16.0,16.5625,278000
2000-01-19,5.331645965576172,16.75,16.9375,16.0,16.0625,221800
2000-01-20,5.212283134460449,16.375,16.6875,16.3125,16.625,160700
2000-01-21,5.291859149932861,16.625,16.6875,16.25,16.4375,214100
2000-01-24,5.271963596343994,16.5625,17.3125,16.5,16.5,197900
2000-01-25,5.132704257965088,16.125,16.6875,16.0,16.5625,267200
2000-01-26,4.874081134796143,15.3125,16.1875,15.3125,16.0,657500
2000-01-27,5.053128242492676,15.875,16.0,15.375,15.375,262900
2000-01-28,5.053128242492676,15.875,16.125,15.5,16.0,195200
2000-01-31,5.092916011810303,16.0,16.0625,15.875,16.0,140400
2000-02-01,4.953656196594238,15.5625,16.0,15.5,15.9375,138500
2000-02-02,5.013340473175049,15.75,15.8125,15.5,15.5,109700
2000-02-03,5.291859149932861,16.625,17.1875,16.0625,16.0625,463200
2000-02-04,5.252070903778076,16.5,16.875,16.0,16.75,190000
2000-02-07,5.291859149932861,16.625,16.875,16.5,16.5,239000
2000-02-08,5.311750888824463,16.6875,16.8125,16.5625,16.5625,234000
2000-02-09,5.291859149932861,16.625,16.625,16.1875,16.5625,205800
2000-02-10,5.092916011810303,16.0,16.4375,16.0,16.4375,259300
2000-02-11,5.092916011810303,16.0,16.25,15.9375,16.0625,171000
2000-02-14,5.033234596252441,15.8125,16.1875,15.75,16.1875,247800
2000-02-15,5.013340473175049,15.75,15.9375,15.625,15.625,208600
2000-02-16,5.013340473175049,15.75,15.875,15.6875,15.8125,161700
2000-02-17,5.033234596252441,15.8125,15.9375,15.625,15.6875,180900
2000-02-18,5.033234596252441,15.8125,15.8125,15.625,15.75,130900
2000-02-22,5.092916011810303,16.0,16.125,15.8125,15.9375,215900
2000-02-23,5.033234596252441,15.8125,16.0,15.75,15.9375,120500
2000-02-24,4.953656196594238,15.5625,15.9375,15.5,15.875,165800
2000-02-25,4.933763027191162,15.5,15.6875,15.375,15.625,175500
2000-02-28,5.033234596252441,15.8125,15.8125,15.5,15.625,112300
2000-02-29,4.913870334625244,15.4375,16.0,15.375,15.8125,195900
2000-03-01,4.933763027191162,15.5,15.6875,15.375,15.5625,301100
2000-03-02,5.212283134460449,16.375,16.375,15.5625,15.5625,396700
2000-03-03,5.252070903778076,16.5,16.625,16.375,16.625,158000
2000-03-06,5.132704257965088,16.125,16.75,15.3125,16.75,1251100
2000-03-07,5.514611721038818,16.75,16.75,15.75,16.125,798800
2000-03-08,5.5557661056518555,16.875,17.25,16.5,16.75,7778100
2000-03-09,5.596917629241943,17.0,17.125,16.8125,17.125,1269300
2000-03-10,5.679226398468018,17.25,17.5625,16.9375,17.0,294100
2000-03-13,5.6380743980407715,17.125,17.1875,16.9375,17.0,205900
2000-03-14,5.5557661056518555,16.875,17.25,16.8125,16.9375,130900
2000-03-15,5.658651351928711,17.1875,17.1875,16.8125,16.8125,217000
2000-03-16,5.720383167266846,17.375,17.5,17.0,17.125,603800
2000-03-17,5.658651351928711,17.1875,17.3125,16.75,17.25,276500
2000-03-20,5.617501258850098,17.0625,17.3125,16.9375,17.125,99900
2000-03-21,5.5557661056518555,16.875,17.0,16.75,16.8125,89500
2000-03-22,5.391150951385498,16.375,16.8125,16.3125,16.6875,245300
2000-03-23,5.535190582275391,16.8125,16.8125,16.3125,16.375,170500
2000-03-24,5.514611721038818,16.75,16.875,16.375,16.75,120800
2000-03-27,5.535190582275391,16.8125,17.0,16.375,17.0,154200
2000-03-28,5.473456859588623,16.625,16.625,16.25,16.625,131100
2000-03-29,5.514611721038818,16.75,18.3125,16.625,17.5,591100
2000-03-30,5.185381889343262,15.75,16.9375,15.4375,16.875,652300
2000-03-31,5.205958843231201,15.8125,15.9375,15.5625,15.75,720500
2000-04-03,4.938457489013672,15.0,15.5625,14.8125,15.5,622300
2000-04-04,5.061919212341309,15.375,15.75,14.6875,15.75,580100
2000-04-05,5.061919212341309,15.375,15.5625,14.8125,14.875,272000
2000-04-06,4.959036350250244,15.0625,15.3125,14.9375,15.3125,152800
2000-04-07,4.917880535125732,14.9375,15.25,14.8125,15.125,234300
2000-04-10,4.959036350250244,15.0625,15.25,14.875,14.9375,173900
2000-04-11,5.061919212341309,15.375,15.4375,15.125,15.125,202900
2000-04-12,5.144227981567383,15.625,16.3125,15.4375,15.4375,294900
2000-04-13,5.164802551269531,15.6875,15.9375,15.6875,15.6875,218800
