Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FCX,FCX,FCX,FCX,FCX,FCX
Date,,,,,,
2000-01-03,6.242559909820557,10.59375,10.71875,10.375,10.53125,1455000
2000-01-04,5.892680644989014,10.0,10.5,9.96875,10.46875,1618200
2000-01-05,6.113656520843506,10.375,10.40625,10.03125,10.03125,1535600
2000-01-06,5.929511070251465,10.0625,10.46875,9.90625,10.375,2296600
2000-01-07,5.782196044921875,9.8125,10.25,9.65625,9.9375,2253000
2000-01-10,5.8190226554870605,9.875,10.125,9.84375,10.125,1169200
2000-01-11,5.855849742889404,9.9375,10.0,9.78125,9.84375,845400
2000-01-12,5.7637786865234375,9.78125,9.90625,9.5625,9.875,1784000
2000-01-13,5.726949691772461,9.71875,9.9375,9.6875,9.75,1897600
2000-01-14,5.598047733306885,9.5,9.71875,9.375,9.65625,1986800
2000-01-18,5.745368003845215,9.75,9.75,9.34375,9.5625,1356000
2000-01-19,5.892680644989014,10.0,10.0,9.6875,9.75,1086000
2000-01-20,5.6164631843566895,9.53125,10.0,9.53125,10.0,1130400
2000-01-21,5.413900852203369,9.1875,9.625,9.1875,9.625,1141000
2000-01-24,5.2665839195251465,8.9375,9.25,8.75,9.25,711400
2000-01-25,5.192925930023193,8.8125,8.90625,8.5,8.875,592200
2000-01-26,4.916708469390869,8.34375,8.75,8.15625,8.75,877400
2000-01-27,5.248170375823975,8.90625,8.90625,8.375,8.40625,1056800
2000-01-28,5.13768196105957,8.71875,9.125,8.5625,8.75,1770800
2000-01-31,5.13768196105957,8.71875,8.84375,8.65625,8.65625,859400
2000-02-01,5.13768196105957,8.71875,8.90625,8.59375,8.59375,735600
2000-02-02,5.13768196105957,8.71875,8.875,8.6875,8.71875,1475200
2000-02-03,5.156096935272217,8.75,8.8125,8.65625,8.6875,1541000
2000-02-04,5.469144821166992,9.28125,9.375,9.0,9.0,1479400
2000-02-07,5.413900852203369,9.1875,9.46875,9.1875,9.4375,1530800
2000-02-08,5.303412914276123,9.0,9.21875,8.96875,9.1875,1079800
2000-02-09,5.284998416900635,8.96875,9.15625,8.90625,9.0,1466600
2000-02-10,5.248170375823975,8.90625,9.03125,8.875,9.0,1569000
2000-02-11,5.358658313751221,9.09375,9.09375,8.8125,8.84375,1071400
2000-02-14,5.413900852203369,9.1875,9.25,9.03125,9.03125,757800
2000-02-15,5.39548921585083,9.15625,9.34375,9.125,9.21875,1684400
2000-02-16,5.303412914276123,9.0,9.1875,8.96875,9.125,616600
2000-02-17,5.340243339538574,9.0625,9.28125,8.9375,9.0,775800
2000-02-18,5.303412914276123,9.0,9.1875,8.96875,9.03125,1126400
2000-02-22,5.229755401611328,8.875,9.125,8.6875,8.9375,915400
2000-02-23,4.916708469390869,8.34375,8.9375,8.3125,8.9375,771400
2000-02-24,4.401098728179932,7.46875,8.34375,7.46875,8.34375,1482600
2000-02-25,4.124876499176025,7.0,7.4375,7.0,7.4375,1446400
2000-02-28,4.051219940185547,6.875,7.40625,6.8125,7.1875,1726600
2000-02-29,4.051219940185547,6.875,7.125,6.8125,6.90625,886400
2000-03-01,4.1432929039001465,7.03125,7.125,6.625,6.90625,1116600
2000-03-02,3.922316789627075,6.65625,7.03125,6.5,7.03125,1086800
2000-03-03,4.032804012298584,6.84375,6.96875,6.5,6.65625,1030400
2000-03-06,3.922316789627075,6.65625,6.9375,6.625,6.8125,899400
2000-03-07,4.1064629554748535,6.96875,6.96875,6.71875,6.71875,925800
2000-03-08,3.9959754943847656,6.78125,6.90625,6.65625,6.8125,1219200
2000-03-09,3.903902292251587,6.625,6.84375,6.53125,6.71875,636600
2000-03-10,3.8486571311950684,6.53125,6.84375,6.53125,6.84375,463200
2000-03-13,3.811828374862671,6.46875,6.65625,6.4375,6.59375,453800
2000-03-14,3.719754695892334,6.3125,6.5,6.25,6.40625,569000
2000-03-15,3.922316789627075,6.65625,6.6875,6.3125,6.3125,1225600
2000-03-16,4.051219940185547,6.875,7.0,6.625,6.625,2312000
2000-03-17,3.8854877948760986,6.59375,6.90625,6.53125,6.90625,1215200
2000-03-20,4.051219940185547,6.875,6.9375,6.71875,6.78125,638600
