Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HOLX,HOLX,HOLX,HOLX,HOLX,HOLX
Date,,,,,,
2000-01-03,1.5,1.5,1.5,1.4453129768371582,1.453125,178000
2000-01-04,1.421875,1.421875,1.5,1.40625,1.484375,177200
2000-01-05,1.5,1.5,1.5,1.40625,1.4453129768371582,233600
2000-01-06,1.484375,1.484375,1.53125,1.4375,1.5,308800
2000-01-07,1.546875,1.546875,1.734375,1.46875,1.46875,1054000
2000-01-10,1.6875,1.6875,1.75,1.59375,1.609375,1361600
2000-01-11,1.5234379768371582,1.5234379768371582,1.703125,1.46875,1.6875,669200
2000-01-12,1.515625,1.515625,1.609375,1.4375,1.5625,804800
2000-01-13,1.53125,1.53125,1.5625,1.5,1.53125,452800
2000-01-14,1.59375,1.59375,1.625,1.5234379768371582,1.53125,633600
2000-01-18,1.671875,1.671875,1.71875,1.578125,1.578125,499600
2000-01-19,1.6875,1.6875,1.765625,1.65625,1.6875,846800
2000-01-20,1.703125,1.703125,1.78125,1.6875,1.75,648400
2000-01-21,1.90625,1.90625,2.0,1.71875,1.734375,1494800
2000-01-24,2.007812976837158,2.007812976837158,2.125,1.90625,1.9296879768371582,1898800
2000-01-25,2.203125,2.203125,2.21875,1.875,2.0,1427600
2000-01-26,2.1875,2.1875,2.296875,2.140625,2.296875,1073600
2000-01-27,1.859375,1.859375,2.171875,1.828125,2.140625,1319600
2000-01-28,1.75,1.75,1.90625,1.59375,1.765625,804800
2000-01-31,1.71875,1.71875,1.828125,1.671875,1.7421879768371582,315600
2000-02-01,1.8125,1.8125,1.859375,1.6875,1.6875,272400
2000-02-02,1.9375,1.9375,1.9375,1.703125,1.78125,432400
2000-02-03,1.9375,1.9375,2.0,1.875,1.90625,330400
2000-02-04,1.8125,1.8125,2.007812976837158,1.796875,1.9375,713600
2000-02-07,1.75,1.75,1.90625,1.71875,1.8125,386400
2000-02-08,1.734375,1.734375,1.8125,1.71875,1.7578129768371582,439600
2000-02-09,1.671875,1.671875,1.78125,1.625,1.75,440400
2000-02-10,1.640625,1.640625,1.734375,1.625,1.734375,370000
2000-02-11,1.578125,1.578125,1.671875,1.53125,1.625,811600
2000-02-14,1.6875,1.6875,1.6875,1.5625,1.5625,313200
2000-02-15,1.75,1.75,1.8125,1.625,1.7890629768371582,402400
2000-02-16,1.65625,1.65625,1.765625,1.625,1.75,219600
2000-02-17,1.640625,1.640625,1.734375,1.59375,1.703125,348800
2000-02-18,1.578125,1.578125,1.671875,1.578125,1.625,230000
2000-02-22,1.59375,1.59375,1.65625,1.5625,1.6171879768371582,352800
2000-02-23,1.703125,1.703125,1.71875,1.59375,1.59375,162400
2000-02-24,1.640625,1.640625,1.71875,1.625,1.703125,236800
2000-02-25,1.640625,1.640625,1.7421879768371582,1.609375,1.734375,230800
2000-02-28,1.640625,1.640625,1.75,1.59375,1.609375,218800
2000-02-29,1.71875,1.71875,1.78125,1.625,1.671875,410800
2000-03-01,1.65625,1.65625,1.78125,1.65625,1.734375,148000
2000-03-02,1.859375,1.859375,1.984375,1.671875,1.671875,748800
2000-03-03,1.953125,1.953125,2.0,1.902343988418579,1.9375,582000
2000-03-06,1.90625,1.90625,1.9375,1.84375,1.9375,794800
2000-03-07,2.375,2.375,2.75,1.78125,1.8984379768371582,2076800
2000-03-08,2.453125,2.453125,2.640625,2.359375,2.546875,2096000
2000-03-09,2.34375,2.34375,2.5625,2.03125,2.5,1108800
2000-03-10,2.34375,2.34375,2.390625,2.15625,2.25,556000
2000-03-13,2.203125,2.203125,2.3125,2.125,2.3125,409600
2000-03-14,2.125,2.125,2.34375,2.015625,2.25,947600
2000-03-15,2.0,2.0,2.164062976837158,1.8125,2.0625,1053600
2000-03-16,1.96875,1.96875,2.0625,1.921875,2.0625,669600
2000-03-17,1.875,1.875,1.984375,1.875,1.953125,801200
