Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HUM,HUM,HUM,HUM,HUM,HUM
Date,,,,,,
2000-01-03,6.752521991729736,7.5625,8.375,7.375,8.3125,1287300
2000-01-04,6.808329105377197,7.625,7.875,7.375,7.375,1238300
2000-01-05,6.975746154785156,7.8125,7.875,7.5,7.5,1096300
2000-01-06,7.254776954650879,8.125,8.25,7.5,7.75,1026700
2000-01-07,7.812835216522217,8.75,9.125,8.0625,8.1875,2419300
2000-01-10,7.478000164031982,8.375,8.9375,8.375,8.875,1276200
2000-01-11,7.366389274597168,8.25,8.75,8.25,8.375,693700
2000-01-12,7.533804893493652,8.4375,8.6875,8.25,8.375,764000
2000-01-13,8.259284019470215,9.25,9.5,8.5625,8.5625,1760600
2000-01-14,7.366389274597168,8.25,9.625,8.25,9.375,1429000
2000-01-18,7.701225280761719,8.625,9.0,8.375,9.0,776600
2000-01-19,7.143165111541748,8.0,8.6875,8.0,8.6875,1220100
2000-01-20,6.919939994812012,7.75,8.0625,7.6875,8.0,1744500
2000-01-21,6.975746154785156,7.8125,8.0625,7.6875,7.75,1670100
2000-01-24,7.0873589515686035,7.9375,8.125,7.625,7.9375,1001400
2000-01-25,6.919939994812012,7.75,7.8125,7.5,7.5,994500
2000-01-26,7.031553745269775,7.875,8.0625,7.75,7.75,821500
2000-01-27,6.808329105377197,7.625,8.0625,7.625,8.0,421200
2000-01-28,6.808329105377197,7.625,8.0625,7.125,7.375,1775700
2000-01-31,7.143165111541748,8.0,8.1875,7.625,7.625,858700
2000-02-01,7.366389274597168,8.25,8.375,8.0,8.0,783600
2000-02-02,7.422195911407471,8.3125,8.625,8.25,8.3125,597300
2000-02-03,7.533804893493652,8.4375,8.625,8.3125,8.3125,773500
2000-02-04,7.478000164031982,8.375,8.75,8.375,8.5625,481200
2000-02-07,7.533804893493652,8.4375,8.625,8.3125,8.5,574300
2000-02-08,7.310580730438232,8.1875,8.5625,8.0625,8.4375,713800
2000-02-09,6.752521991729736,7.5625,8.125,7.4375,7.8125,1495000
2000-02-10,6.417686462402344,7.1875,7.5,7.0,7.4375,1307800
2000-02-11,6.138657093048096,6.875,7.125,6.6875,7.125,983900
2000-02-14,6.640908718109131,7.4375,7.5,6.8125,6.9375,902200
2000-02-15,6.752521991729736,7.5625,7.6875,7.375,7.5625,753600
2000-02-16,6.585105895996094,7.375,7.6875,7.1875,7.5625,535300
2000-02-17,6.361881256103516,7.125,7.4375,7.0625,7.4375,417200
2000-02-18,6.306074142456055,7.0625,7.25,7.0,7.125,357400
2000-02-22,6.306074142456055,7.0625,7.0625,6.875,7.0,517200
2000-02-23,6.361881256103516,7.125,7.25,6.8125,7.0,628800
2000-02-24,6.138657093048096,6.875,7.25,6.875,7.25,467600
2000-02-25,5.91543436050415,6.625,7.0625,6.625,6.875,457300
2000-02-28,5.91543436050415,6.625,6.875,6.5,6.8125,496300
2000-02-29,6.082851409912109,6.8125,6.9375,6.5625,6.625,528900
2000-03-01,6.919939994812012,7.75,7.75,6.75,7.375,1445100
2000-03-02,6.194461822509766,6.9375,7.875,6.875,7.75,1200200
2000-03-03,6.529299259185791,7.3125,7.375,7.0625,7.1875,904700
2000-03-06,6.250269412994385,7.0,7.125,6.875,7.0625,479500
2000-03-07,5.4689860343933105,6.125,7.0,6.125,7.0,759200
2000-03-08,5.803821086883545,6.5,6.75,6.25,6.5625,1122700
2000-03-09,5.859627723693848,6.5625,6.6875,6.3125,6.4375,523300
2000-03-10,5.748015403747559,6.4375,6.5625,6.3125,6.5,487000
2000-03-13,5.971238136291504,6.6875,6.75,6.4375,6.4375,448100
2000-03-14,5.91543436050415,6.625,6.8125,6.5,6.6875,464800
2000-03-15,6.417686462402344,7.1875,7.1875,6.5625,6.75,718100
2000-03-16,6.4734930992126465,7.25,7.3125,6.875,7.0625,513900
2000-03-17,6.250269412994385,7.0,7.3125,6.875,7.25,527100
2000-03-20,6.361881256103516,7.125,7.1875,7.0,7.1875,303000
2000-03-21,6.417686462402344,7.1875,7.3125,7.0625,7.25,417300
2000-03-22,6.417686462402344,7.1875,7.375,7.0625,7.0625,316200
2000-03-23,6.696715354919434,7.5,7.5,7.0625,7.125,504200
2000-03-24,6.529299259185791,7.3125,7.5,7.25,7.3125,274300
2000-03-27,6.417686462402344,7.1875,7.375,7.125,7.375,303100
2000-03-28,6.529299259185791,7.3125,7.375,7.0625,7.0625,287000
2000-03-29,6.696715354919434,7.5,7.75,7.25,7.25,566200
2000-03-30,6.752521991729736,7.5625,8.0,7.5625,7.625,768900
2000-03-31,6.529299259185791,7.3125,7.5625,7.25,7.4375,370500
2000-04-03,6.864134788513184,7.6875,7.875,7.375,7.4375,392300
2000-04-04,6.808329105377197,7.625,7.75,7.1875,7.5,437700
2000-04-05,6.696715354919434,7.5,7.625,7.1875,7.625,317200
2000-04-06,7.0873589515686035,7.9375,8.0625,7.5,7.5,734700
2000-04-07,7.310580730438232,8.1875,8.25,7.9375,7.9375,709200
2000-04-10,7.422195911407471,8.3125,8.4375,8.0625,8.0625,716600
2000-04-11,7.254776954650879,8.125,8.25,8.0,8.1875,638000
2000-04-12,7.198970794677734,8.0625,8.1875,8.0,8.125,673600
2000-04-13,6.975746154785156,7.8125,7.875,7.5625,7.5625,720100
2000-04-14,6.361881256103516,7.125,7.75,7.125,7.75,636500
2000-04-17,6.417686462402344,7.1875,7.375,7.0,7.125,580500
2000-04-18,6.529299259185791,7.3125,7.5,7.0625,7.1875,417300
2000-04-19,7.031553745269775,7.875,8.0,7.5,7.5,494700
2000-04-20,7.031553745269775,7.875,8.0,7.6875,7.875,280600
2000-04-24,7.757029056549072,8.6875,8.8125,7.8125,7.8125,1399200
2000-04-25,7.533804893493652,8.4375,8.625,8.3125,8.375,516600
2000-04-26,7.310580730438232,8.1875,8.75,8.125,8.6875,319100
2000-04-27,7.478000164031982,8.375,8.4375,8.0625,8.125,1046400
2000-04-28,6.864134788513184,7.6875,8.4375,7.6875,8.375,729200
2000-05-01,6.919939994812012,7.75,7.9375,7.625,7.6875,678300
2000-05-02,7.143165111541748,8.0,8.0,7.4375,7.4375,530000
2000-05-03,5.971238136291504,6.6875,7.6875,6.5625,7.625,1594200
2000-05-04,5.91543436050415,6.625,6.9375,6.4375,6.9375,1084600
2000-05-05,6.250269412994385,7.0,7.0,6.4375,6.625,459700
2000-05-08,5.803821086883545,6.5,6.75,6.375,6.6875,682100
2000-05-09,5.636402606964111,6.3125,6.5625,6.25,6.5,527200
2000-05-10,5.4689860343933105,6.125,6.5,6.0625,6.5,837100
2000-05-11,5.636402606964111,6.3125,6.4375,6.125,6.25,457400
2000-05-12,5.580597400665283,6.25,6.375,6.125,6.3125,378000
2000-05-15,5.803821086883545,6.5,6.6875,6.5,6.5,617000
2000-05-16,5.859627723693848,6.5625,6.75,6.5,6.6875,441400
2000-05-17,5.803821086883545,6.5,6.6875,6.5,6.5625,437200
2000-05-18,5.91543436050415,6.625,6.75,6.5,6.5,526900
2000-05-19,5.692209720611572,6.375,6.5625,6.1875,6.5,548600
2000-05-22,5.580597400665283,6.25,6.375,6.125,6.375,487700
2000-05-23,5.524791240692139,6.1875,6.25,6.0625,6.1875,883400
2000-05-24,5.245760440826416,5.875,6.3125,5.8125,6.25,1400900
2000-05-25,5.134148120880127,5.75,6.0625,5.75,5.9375,894100
2000-05-26,5.189955711364746,5.8125,6.0,5.75,5.75,422800
2000-05-30,4.966732501983643,5.5625,5.9375,5.5625,5.8125,621300
2000-05-31,5.022537708282471,5.625,5.875,5.625,5.875,805500
2000-06-01,5.3015666007995605,5.9375,6.0,5.75,5.75,464500
2000-06-02,5.189955711364746,5.8125,6.0625,5.8125,6.0,767000
2000-06-05,5.078342914581299,5.6875,6.0,5.6875,5.9375,531300
2000-06-06,4.799311637878418,5.375,5.625,5.25,5.625,1791200
2000-06-07,4.631896018981934,5.1875,5.4375,5.1875,5.4375,938300
2000-06-08,4.464478015899658,5.0,5.1875,4.8125,5.1875,1420100
2000-06-09,4.464478015899658,5.0,5.25,4.8125,5.0625,1254000
2000-06-12,4.576091289520264,5.125,5.25,4.9375,5.0,732000
2000-06-13,4.631896018981934,5.1875,5.25,5.0,5.25,888400
