Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INCY,INCY,INCY,INCY,INCY,INCY
Date,,,,,,
2000-01-03,44.828125,44.828125,44.875,32.625,32.65625,3834800
2000-01-04,46.625,46.625,51.0,39.875,42.5,3576800
2000-01-05,42.984375,42.984375,46.625,40.25,46.5625,1431400
2000-01-06,41.65625,41.65625,45.375,39.4375,45.3125,1636400
2000-01-07,52.1875,52.1875,53.375,41.25,41.875,2992000
2000-01-10,55.125,55.125,59.9375,53.5625,54.0,2808200
2000-01-11,54.3125,54.3125,59.875,53.0,59.25,2335400
2000-01-12,51.5,51.5,58.5625,51.0,58.53125,1539800
2000-01-13,68.625,68.625,69.0,51.625,52.25,2144800
2000-01-14,65.90625,65.90625,68.8125,59.5,65.5,1822200
2000-01-18,65.03125,65.03125,66.0625,62.5,66.0625,957200
2000-01-19,69.9375,69.9375,71.0,63.5,64.75,1426800
2000-01-20,72.859375,72.859375,74.125,65.5625,70.0,1413800
2000-01-21,78.5625,78.5625,78.5625,71.125,72.25,1682000
2000-01-24,69.03125,69.03125,80.125,68.75,80.0,2378600
2000-01-25,64.6875,64.6875,68.78125,63.0625,68.75,1488600
2000-01-26,67.9375,67.9375,71.125,65.625,67.25,1394000
2000-01-27,69.46875,69.46875,72.0625,65.75,67.75,1846000
2000-01-28,64.25,64.25,70.75,61.0,70.46875,1952800
2000-01-31,54.875,54.875,62.375,53.46875,62.375,2499400
2000-02-01,55.9375,55.9375,57.75,53.0,54.5625,2257600
2000-02-02,61.9375,61.9375,65.0,56.5,56.75,2249000
2000-02-03,72.5,72.5,72.5,65.0,65.375,2016000
2000-02-04,67.5,67.5,71.5,59.75,70.875,1595400
2000-02-07,70.0,70.0,71.1875,67.8125,68.1875,1780000
2000-02-08,68.5,68.5,71.5,62.25,70.9375,1917200
2000-02-09,79.5,79.5,80.375,69.6875,70.03125,4148200
2000-02-10,95.046875,95.046875,96.5,84.5,84.9375,3566800
2000-02-11,91.28125,91.28125,99.75,87.0,94.5,2959800
2000-02-14,93.46875,93.46875,94.0,82.875,89.75,1308600
2000-02-15,97.71875,97.71875,98.0,88.5,95.0,1559800
2000-02-16,108.5,108.5,111.5,95.5625,95.71875,2674000
2000-02-17,138.0625,138.0625,139.125,110.5,112.125,5657200
2000-02-18,133.46875,133.46875,138.5,129.59375,129.59375,3847600
2000-02-22,112.53125,112.53125,130.8125,111.0,130.1875,2475600
2000-02-23,126.0,126.0,131.5,119.3125,119.3125,5041000
2000-02-24,131.0,131.0,134.625,124.5,128.25,1697400
2000-02-25,140.25,140.25,144.53125,126.0,136.03125,3300200
2000-02-28,136.90625,136.90625,140.25,129.9375,139.25,1684000
