Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KEY,KEY,KEY,KEY,KEY,KEY
Date,,,,,,
2000-01-03,8.530513763427734,20.75,21.625,20.5625,21.5,1291100
2000-01-04,8.427735328674316,20.5,20.625,19.9375,20.5,1921900
2000-01-05,8.273571014404297,20.125,20.9375,20.0625,20.8125,1671500
2000-01-06,8.581897735595703,20.875,21.0,19.9375,20.125,1127500
2000-01-07,8.813149452209473,21.4375,21.4375,20.8125,21.25,909300
2000-01-10,8.530513763427734,20.75,21.6875,20.5625,21.6875,873000
2000-01-11,8.530513763427734,20.75,20.9375,20.25,20.25,1049500
2000-01-12,8.633288383483887,21.0,21.1875,20.625,20.6875,846900
2000-01-13,8.86453628540039,21.5625,21.6875,21.125,21.25,757100
2000-01-14,9.044398307800293,22.0,22.125,21.625,21.9375,920300
2000-01-18,8.684675216674805,21.125,21.5625,20.9375,21.4375,861500
2000-01-19,8.479124069213867,20.625,21.8125,20.5,21.25,1410600
2000-01-20,8.427735328674316,20.5,20.875,20.25,20.875,999700
2000-01-21,8.787454605102539,21.375,21.4375,20.3125,20.5625,2572600
2000-01-24,8.40203857421875,20.4375,21.5625,20.375,21.5,1335700
2000-01-25,8.273571014404297,20.125,20.6875,19.8125,20.5,1966900
2000-01-26,8.86453628540039,21.5625,21.625,20.25,20.375,1775500
2000-01-27,8.658982276916504,21.0625,21.625,20.6875,21.5,1158700
2000-01-28,8.427735328674316,20.5,21.0,20.375,21.0,1075600
2000-01-31,8.633288383483887,21.0,21.0,20.1875,20.625,1499400
2000-02-01,8.530513763427734,20.75,21.0625,20.5625,20.9375,1311300
2000-02-02,8.427735328674316,20.5,20.75,20.4375,20.75,1037700
2000-02-03,8.40203857421875,20.4375,20.75,20.375,20.5625,1351500
2000-02-04,8.273571014404297,20.125,20.625,20.0625,20.5,1255600
2000-02-07,8.222182273864746,20.0,20.3125,19.9375,20.125,1078400
2000-02-08,8.376344680786133,20.375,20.375,19.9375,20.0,1166700
2000-02-09,8.016626358032227,19.5,20.0625,19.4375,20.0625,1393500
2000-02-10,7.708296775817871,18.75,19.5,18.375,19.3125,2713700
2000-02-11,7.6825995445251465,18.6875,18.9375,18.1875,18.5,2172900
2000-02-14,7.477044105529785,18.1875,18.5,18.0,18.4375,1438000
2000-02-15,7.631207466125488,18.5625,18.75,17.875,18.375,2061300
2000-02-16,7.348572254180908,17.875,18.4375,17.8125,18.25,1970700
2000-02-17,7.374270439147949,17.9375,18.4375,17.75,18.3125,993600
2000-02-18,7.091628074645996,17.25,17.8125,17.0,17.6875,2011700
2000-02-22,7.168715476989746,17.4375,17.6875,17.3125,17.4375,1760900
2000-02-23,7.065937519073486,17.1875,17.5,17.1875,17.4375,1511500
2000-02-24,7.168715476989746,17.4375,17.5,16.8125,17.375,1818600
2000-02-25,7.102905750274658,17.0,17.5625,16.8125,17.4375,1988400
2000-02-28,7.102905750274658,17.0,17.25,16.8125,17.0,2103200
2000-02-29,7.0767903327941895,16.9375,17.125,16.5625,17.0,1340600
2000-03-01,7.155135154724121,17.125,17.125,16.5625,17.0,1556100
2000-03-02,7.0767903327941895,16.9375,17.0625,16.625,17.0,1080600
2000-03-03,7.285702705383301,17.4375,17.6875,16.9375,17.5,1646600
2000-03-06,7.2595906257629395,17.375,17.625,17.0,17.4375,1088500
2000-03-07,6.685089111328125,16.0,17.25,15.9375,17.25,2859400
2000-03-08,6.5545196533203125,15.6875,16.3125,15.5625,16.25,2702700
2000-03-09,6.606745719909668,15.8125,15.8125,15.5625,15.6875,2084900
2000-03-10,6.711201190948486,16.0625,16.1875,15.875,16.0,1970900
2000-03-13,6.789545059204102,16.25,16.3125,15.8125,16.25,1596800
2000-03-14,6.632862567901611,15.875,16.375,15.75,16.25,1714000
2000-03-15,7.390158653259277,17.6875,17.875,15.9375,16.25,3508300
2000-03-16,7.886318206787109,18.875,19.375,17.75,18.5,2780000
2000-03-17,7.860198974609375,18.8125,19.5,18.75,19.5,2093800
2000-03-20,7.59906005859375,18.1875,18.75,17.9375,18.6875,1425200
2000-03-21,7.912430286407471,18.9375,18.9375,18.3125,18.5625,1464200
2000-03-22,8.121336936950684,19.4375,19.5,18.625,19.0,1369600
2000-03-23,8.147455215454102,19.5,19.5625,19.0,19.4375,1810000
2000-03-24,7.990769863128662,19.125,19.6875,19.0,19.5625,1733700
2000-03-27,7.807977676391602,18.6875,19.125,18.3125,19.125,1037200
2000-03-28,8.01688289642334,19.1875,19.25,18.625,18.75,1705000
2000-03-29,7.938539981842041,19.0,19.25,18.625,19.1875,1324500
2000-03-30,7.834088325500488,18.75,19.125,18.6875,18.8125,1231900
2000-03-31,7.938539981842041,19.0,19.0625,18.4375,18.875,1564900
2000-04-03,8.147455215454102,19.5,19.6875,19.125,19.25,1783600
2000-04-04,8.01688289642334,19.1875,19.9375,18.3125,19.3125,1856800
2000-04-05,7.834088325500488,18.75,19.4375,18.625,19.1875,1173500
2000-04-06,7.860198974609375,18.8125,19.0,18.5,18.75,1511100
2000-04-07,7.572953701019287,18.125,18.8125,18.0625,18.8125,1065100
2000-04-10,7.520720958709717,18.0,18.125,17.8125,18.0625,2302600
2000-04-11,7.59906005859375,18.1875,18.25,17.9375,18.0,1259800
2000-04-12,7.834088325500488,18.75,19.125,18.5,18.5625,1864600
2000-04-13,7.67740535736084,18.375,18.8125,18.375,18.75,1250000
2000-04-14,7.181246757507324,17.1875,18.25,17.0,18.1875,1753900
2000-04-17,7.36404275894165,17.625,17.625,17.1875,17.1875,1333800
2000-04-18,7.442383289337158,17.8125,17.875,17.25,17.375,1575100
2000-04-19,7.41627311706543,17.75,17.875,17.375,17.8125,1040900
2000-04-20,7.468496799468994,17.875,18.25,17.6875,18.25,732100
2000-04-24,7.703516006469727,18.4375,18.625,17.9375,18.0,1241800
2000-04-25,7.964658737182617,19.0625,19.1875,18.1875,18.1875,1361000
2000-04-26,7.886318206787109,18.875,19.125,18.75,19.0,1382000
2000-04-27,7.729630947113037,18.5,18.75,18.375,18.75,1142100
2000-04-28,7.729630947113037,18.5,18.75,18.3125,18.5625,1484400
2000-05-01,7.886318206787109,18.875,19.125,18.375,18.5625,1275500
2000-05-02,7.755748748779297,18.5625,18.625,18.4375,18.4375,876100
2000-05-03,7.59906005859375,18.1875,18.5625,18.0625,18.4375,1225800
2000-05-04,7.41627311706543,17.75,18.25,17.6875,18.25,854500
2000-05-05,7.41627311706543,17.75,17.9375,17.625,17.6875,566800
2000-05-08,7.572953701019287,18.125,18.4375,17.6875,17.875,927800
2000-05-09,7.520720958709717,18.0,18.625,18.0,18.25,854900
2000-05-10,7.572953701019287,18.125,18.1875,17.9375,18.1875,1167000
2000-05-11,7.729630947113037,18.5,18.8125,18.0625,18.125,1470800
2000-05-12,7.938539981842041,19.0,19.125,18.625,18.75,966200
2000-05-15,8.04299545288086,19.25,19.75,18.875,19.0,1470500
2000-05-16,7.729630947113037,18.5,19.3125,18.375,19.25,2181900
2000-05-17,7.807977676391602,18.6875,18.875,18.25,18.5,833900
2000-05-18,7.990769863128662,19.125,19.4375,19.0625,19.125,733300
2000-05-19,7.860198974609375,18.8125,19.125,18.6875,19.0,808800
2000-05-22,8.01688289642334,19.1875,19.3125,18.9375,19.0625,908200
2000-05-23,8.304133415222168,19.875,20.5625,19.25,19.25,1841800
2000-05-24,8.774176597595215,21.0,21.0,19.9375,20.0,1773200
2000-05-25,8.522217750549316,20.125,20.875,19.75,20.875,1195900
2000-05-26,8.760416030883789,20.6875,20.75,20.0625,20.375,1101900
2000-05-30,8.892751693725586,21.0,21.1875,20.6875,20.6875,1564000
2000-05-31,8.892751693725586,21.0,21.125,20.6875,21.0,1492200
2000-06-01,9.210346221923828,21.75,21.875,20.875,20.9375,1668400
2000-06-02,9.686741828918457,22.875,22.9375,21.875,21.875,2479200
2000-06-05,9.36914348602295,22.125,23.0,21.9375,23.0,1323900
2000-06-06,8.866280555725098,20.9375,22.3125,20.875,22.3125,1370700
2000-06-07,9.051545143127441,21.375,21.5,20.9375,21.0,1484100
2000-06-08,8.945680618286133,21.125,21.375,20.6875,21.375,1357500
2000-06-09,8.575146675109863,20.25,21.0625,20.25,20.875,1105900
2000-06-12,8.707481384277344,20.5625,20.8125,20.4375,20.4375,793300
2000-06-13,8.681017875671387,20.5,20.5625,20.3125,20.5625,665300
2000-06-14,8.707481384277344,20.5625,20.75,20.375,20.4375,820400
2000-06-15,8.336949348449707,19.6875,20.3125,19.0,20.25,2466700
2000-06-16,7.913489818572998,18.6875,19.4375,18.5,19.1875,2470500
2000-06-19,8.0987548828125,19.125,19.5,18.4375,18.625,1781700
2000-06-20,7.8605546951293945,18.5625,19.1875,18.5625,19.125,1009800
2000-06-21,7.754690647125244,18.3125,19.125,18.25,18.9375,2102400
2000-06-22,7.939955711364746,18.75,18.875,18.4375,18.875,2614200
2000-06-23,7.939955711364746,18.75,19.125,18.6875,18.875,1045800
2000-06-26,7.966420650482178,18.8125,19.25,18.75,18.875,837800
2000-06-27,8.0987548828125,19.125,19.3125,18.9375,19.0,1050100
2000-06-28,8.1318359375,19.203125,19.8125,18.9375,19.0625,951100
2000-06-29,8.0987548828125,19.125,19.5625,19.0,19.3125,774600
2000-06-30,7.46356201171875,17.625,19.0,17.609375,18.875,1989600
2000-07-03,7.966420650482178,18.8125,18.875,18.0,18.0,497600
2000-07-05,8.045817375183105,19.0,19.25,18.875,19.125,924200
2000-07-06,8.045817375183105,19.0,19.1875,18.25,18.875,658600
2000-07-07,8.257551193237305,19.5,19.75,19.1875,19.3125,852500
2000-07-10,8.257551193237305,19.5,19.6875,19.3125,19.5,522100
2000-07-11,8.231084823608398,19.4375,19.5625,19.1875,19.5625,708600
2000-07-12,8.231084823608398,19.4375,19.875,19.4375,19.5625,526100
2000-07-13,8.0987548828125,19.125,19.625,19.0,19.375,625500
