Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MTD,MTD,MTD,MTD,MTD,MTD
Date,,,,,,
2000-01-03,35.375,35.375,38.0625,35.375,38.0,51400
2000-01-04,34.625,34.625,35.375,34.1875,35.375,106100
2000-01-05,33.875,33.875,34.875,33.8125,34.875,162100
2000-01-06,34.625,34.625,34.875,33.5,33.9375,245000
2000-01-07,35.625,35.625,35.75,34.5625,34.5625,215200
2000-01-10,37.25,37.25,37.25,35.8125,35.8125,78900
2000-01-11,36.0625,36.0625,37.125,35.875,37.125,90500
2000-01-12,35.875,35.875,36.0625,35.75,36.0625,30000
2000-01-13,35.875,35.875,36.0,35.625,35.9375,80400
2000-01-14,35.5,35.5,36.0,35.1875,35.9375,47100
2000-01-18,35.125,35.125,35.375,34.875,35.375,87500
2000-01-19,35.3125,35.3125,35.4375,35.0,35.0,117400
2000-01-20,34.875,34.875,35.875,34.625,35.4375,84400
2000-01-21,34.875,34.875,35.0,34.625,34.625,55000
2000-01-24,34.625,34.625,35.4375,34.625,35.0,74000
2000-01-25,34.1875,34.1875,34.6875,33.75,34.5625,70800
2000-01-26,33.9375,33.9375,34.375,33.9375,34.1875,29900
2000-01-27,33.1875,33.1875,34.0625,33.0,33.9375,49200
2000-01-28,32.3125,32.3125,33.0,31.8125,33.0,76800
2000-01-31,31.875,31.875,32.625,31.8125,32.4375,101600
2000-02-01,32.0,32.0,32.9375,31.875,32.125,170900
2000-02-02,32.375,32.375,32.6875,32.125,32.125,81000
2000-02-03,35.0,35.0,35.375,32.25,32.375,255500
2000-02-04,37.875,37.875,37.875,35.5,35.5,454200
2000-02-07,38.0,38.0,39.6875,37.6875,39.5,370500
2000-02-08,37.375,37.375,38.0,36.875,38.0,224100
2000-02-09,37.0625,37.0625,38.0,37.0,37.25,236700
2000-02-10,37.375,37.375,37.75,36.9375,37.25,62200
2000-02-11,37.3125,37.3125,38.0,37.25,37.625,68100
2000-02-14,37.875,37.875,37.9375,37.25,37.375,54400
2000-02-15,38.1875,38.1875,38.4375,37.9375,37.9375,87900
2000-02-16,38.375,38.375,38.6875,38.0,38.25,44700
2000-02-17,37.9375,37.9375,38.625,37.0625,38.5,83100
2000-02-18,36.5,36.5,37.6875,36.5,37.6875,54800
2000-02-22,36.25,36.25,36.5625,35.75,36.5625,80400
2000-02-23,36.9375,36.9375,37.0,36.125,36.375,108000
2000-02-24,36.8125,36.8125,36.9375,36.5,36.9375,67600
2000-02-25,37.0,37.0,37.125,36.75,36.8125,141900
2000-02-28,38.6875,38.6875,39.375,36.875,37.0,134800
2000-02-29,38.625,38.625,39.0,38.4375,38.625,85700
2000-03-01,38.4375,38.4375,38.625,38.0,38.0,91600
2000-03-02,37.3125,37.3125,38.4375,37.0625,38.4375,46600
2000-03-03,37.3125,37.3125,37.5,36.875,37.25,75200
2000-03-06,36.875,36.875,37.25,36.75,37.25,69400
2000-03-07,38.5,38.5,39.25,37.0,37.0,182700
2000-03-08,37.5,37.5,38.75,37.3125,38.75,205800
2000-03-09,37.0,37.0,37.5,36.9375,37.5,156100
2000-03-10,37.5,37.5,38.0,36.875,37.0,178800
2000-03-13,38.1875,38.1875,38.1875,36.8125,37.375,50200
2000-03-14,38.4375,38.4375,40.125,38.0,38.0,176700
2000-03-15,39.25,39.25,39.9375,36.625,38.4375,139300
2000-03-16,42.625,42.625,43.3125,39.0,39.3125,373800
2000-03-17,42.4375,42.4375,42.875,41.6875,42.1875,121500
2000-03-20,42.875,42.875,43.6875,42.625,42.6875,138100
2000-03-21,42.9375,42.9375,42.9375,41.5,42.25,73300
2000-03-22,44.5,44.5,44.5,43.0625,43.0625,229900
