Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVR,NVR,NVR,NVR,NVR,NVR
Date,,,,,,
2000-01-03,46.5625,46.5625,47.75,46.5,47.75,36700
2000-01-04,46.0,46.0,46.375,46.0,46.375,34100
2000-01-05,45.875,45.875,46.125,45.75,46.0,16500
2000-01-06,45.875,45.875,45.875,45.5,45.625,12700
2000-01-07,46.75,46.75,46.75,45.5,45.5,73400
2000-01-10,47.375,47.375,47.5,47.0,47.125,20900
2000-01-11,47.5,47.5,47.5,47.0,47.25,11900
2000-01-12,47.8125,47.8125,48.0,47.0,47.375,21500
2000-01-13,48.875,48.875,49.0,47.75,47.75,17300
2000-01-14,48.8125,48.8125,49.125,48.75,49.125,7500
2000-01-18,47.75,47.75,48.625,47.5,48.625,27400
2000-01-19,47.75,47.75,47.75,47.5,47.625,9400
2000-01-20,48.25,48.25,48.5,47.75,47.75,13100
2000-01-21,48.5625,48.5625,49.0,47.875,48.75,32800
2000-01-24,48.75,48.75,49.0,48.5,48.75,31900
2000-01-25,49.25,49.25,49.25,48.5625,48.75,45000
2000-01-26,48.625,48.625,49.125,48.625,49.0,11300
2000-01-27,47.125,47.125,48.5,47.125,48.5,25700
2000-01-28,46.375,46.375,47.25,46.375,47.125,11600
2000-01-31,45.25,45.25,46.375,45.25,46.375,14400
2000-02-01,44.875,44.875,45.0,43.75,45.0,27500
2000-02-02,44.625,44.625,45.125,44.5,45.125,7500
2000-02-03,44.375,44.375,44.8125,44.375,44.5,17100
2000-02-04,45.3125,45.3125,45.375,44.0,44.125,13600
2000-02-07,45.875,45.875,46.125,45.3125,45.3125,16600
2000-02-08,45.875,45.875,46.75,45.625,45.625,25600
2000-02-09,44.1875,44.1875,45.5,43.8125,45.5,29000
2000-02-10,42.25,42.25,44.25,42.25,44.125,104000
2000-02-11,42.5,42.5,42.5,42.0,42.25,17800
2000-02-14,42.75,42.75,43.0,42.25,42.375,11500
2000-02-15,43.375,43.375,43.4375,42.75,42.75,32800
2000-02-16,43.875,43.875,43.875,43.25,43.625,5200
2000-02-17,44.125,44.125,44.25,43.6875,43.75,8200
2000-02-18,43.1875,43.1875,44.375,43.1875,44.0,29200
2000-02-22,42.875,42.875,43.25,42.5,43.0,18900
2000-02-23,43.5,43.5,43.5,42.25,42.75,48100
2000-02-24,44.625,44.625,44.625,43.375,43.5,65400
2000-02-25,44.125,44.125,44.5,44.125,44.375,19400
2000-02-28,44.125,44.125,44.5,43.1875,44.0,27200
2000-02-29,44.125,44.125,44.75,44.125,44.25,37500
2000-03-01,44.375,44.375,44.75,44.125,44.125,49000
2000-03-02,44.5,44.5,44.5,44.0,44.3125,63500
2000-03-03,44.1875,44.1875,44.75,44.125,44.75,6800
2000-03-06,44.625,44.625,44.875,44.0,44.0625,31400
2000-03-07,44.375,44.375,44.875,44.0,44.875,20100
2000-03-08,44.125,44.125,44.5,44.125,44.25,6300
2000-03-09,44.75,44.75,44.875,44.5,44.53125,8000
2000-03-10,44.625,44.625,44.75,44.5,44.625,6400
2000-03-13,44.375,44.375,44.625,44.25,44.5625,12600
2000-03-14,44.5625,44.5625,44.5625,44.25,44.25,20200
2000-03-15,44.5625,44.5625,44.5625,44.46875,44.53125,12300
2000-03-16,46.75,46.75,47.125,44.5,44.53125,30100
2000-03-17,49.5,49.5,50.75,46.75,46.75,47900
2000-03-20,50.5,50.5,51.0,49.125,49.5,38500
2000-03-21,51.75,51.75,52.625,50.25,50.25,20000
2000-03-22,54.5625,54.5625,54.6875,51.625,51.8125,23200
2000-03-23,54.125,54.125,54.4375,54.125,54.3125,25700
2000-03-24,53.8125,53.8125,54.25,53.75,54.125,10200
2000-03-27,53.125,53.125,53.5625,53.0,53.5625,18500
2000-03-28,52.0625,52.0625,53.0,51.75,53.0,19900
2000-03-29,51.8125,51.8125,51.875,51.625,51.75,20100
2000-03-30,54.0,54.0,55.75,51.625,51.625,50400
2000-03-31,54.0,54.0,57.0,53.5,54.75,121500
2000-04-03,54.25,54.25,54.5,54.125,54.25,16000
2000-04-04,54.4375,54.4375,55.25,54.0,54.0,100000
2000-04-05,54.875,54.875,54.9375,54.125,54.25,22200
2000-04-06,55.8125,55.8125,55.875,55.125,55.125,13300
2000-04-07,55.875,55.875,56.75,55.4375,55.875,74000
2000-04-10,55.375,55.375,55.8125,55.375,55.8125,53300
2000-04-11,55.0,55.0,55.5,55.0,55.5,6800
2000-04-12,54.8125,54.8125,55.0,54.5,54.75,48000
2000-04-13,54.75,54.75,54.8125,54.625,54.75,13500
2000-04-14,53.8125,53.8125,54.75,53.75,54.5,42400
2000-04-17,52.75,52.75,53.75,52.75,53.75,35000
2000-04-18,52.75,52.75,52.75,52.125,52.625,26100
2000-04-19,52.8125,52.8125,52.875,52.5,52.5,12100
2000-04-20,53.1875,53.1875,53.1875,52.625,52.8125,14600
2000-04-24,53.625,53.625,53.875,53.125,53.1875,12100
2000-04-25,53.5,53.5,53.75,53.3125,53.75,8000
2000-04-26,59.0,59.0,59.25,55.0,55.0,177500
2000-04-27,59.0,59.0,59.5,58.375,58.625,30300
2000-04-28,62.0,62.0,63.3125,58.8125,58.875,69900
2000-05-01,63.25,63.25,63.625,62.5,62.5,130900
2000-05-02,62.0,62.0,65.0,62.0,63.25,296200
2000-05-03,61.0,61.0,61.625,60.625,61.625,63800
2000-05-04,61.625,61.625,62.0,61.0,61.25,23300
2000-05-05,62.5,62.5,63.25,61.625,61.75,44700
2000-05-08,62.3125,62.3125,63.375,61.75,62.125,156700
2000-05-09,62.625,62.625,62.75,62.1875,62.1875,11800
2000-05-10,62.375,62.375,62.5625,62.3125,62.5,45900
2000-05-11,62.375,62.375,62.375,62.0,62.25,104600
2000-05-12,62.375,62.375,62.75,62.25,62.375,48900
2000-05-15,61.9375,61.9375,62.375,61.75,62.125,32200
2000-05-16,61.75,61.75,62.375,61.5,61.5,30500
2000-05-17,61.25,61.25,62.0,61.125,62.0,12900
2000-05-18,60.25,60.25,60.875,60.25,60.75,37100
2000-05-19,59.1875,59.1875,60.5,58.75,60.5,31000
2000-05-22,57.3125,57.3125,59.1875,57.125,59.0,47300
2000-05-23,56.875,56.875,57.625,56.875,57.5625,18300
2000-05-24,56.25,56.25,56.625,55.5,56.625,23400
2000-05-25,55.5,55.5,56.25,55.5,56.25,21600
2000-05-26,55.125,55.125,55.5,55.125,55.5,46900
2000-05-30,55.75,55.75,55.75,55.0,55.1875,12500
2000-05-31,55.0,55.0,55.75,55.0,55.75,21000
2000-06-01,55.125,55.125,55.375,54.875,55.125,7500
2000-06-02,55.6875,55.6875,55.6875,55.1875,55.375,18500
2000-06-05,56.3125,56.3125,56.375,55.875,55.9375,9200
2000-06-06,56.75,56.75,56.75,56.125,56.25,5400
2000-06-07,56.5625,56.5625,57.0,56.375,56.75,14400
2000-06-08,56.6875,56.6875,56.8125,56.5625,56.8125,4000
