Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ON,ON,ON,ON,ON,ON
Date,,,,,,
2000-05-02,24.0,24.0,25.0625,22.375,24.875,2051300
2000-05-03,22.5,22.5,23.75,21.3125,23.6875,1734900
2000-05-04,21.125,21.125,23.625,20.5,23.5625,1235300
2000-05-05,20.875,20.875,22.0,20.5,20.75,1164400
2000-05-08,20.25,20.25,21.0625,20.0625,20.4375,750000
2000-05-09,20.1875,20.1875,21.125,19.75,20.625,1221300
2000-05-10,19.375,19.375,20.4375,17.8125,20.375,1240300
2000-05-11,20.0,20.0,20.25,19.5,19.875,1602200
2000-05-12,21.375,21.375,23.0,20.125,20.625,1807800
2000-05-15,21.6875,21.6875,22.25,20.1875,21.6875,800900
2000-05-16,22.25,22.25,22.5625,21.375,21.8125,646100
2000-05-17,21.875,21.875,22.75,21.375,21.625,861300
2000-05-18,24.0,24.0,24.3125,21.8125,21.875,1856900
2000-05-19,22.75,22.75,24.5,21.5,23.25,1248800
2000-05-22,20.0,20.0,23.125,19.75,23.125,1056700
2000-05-23,19.875,19.875,21.25,19.625,20.875,1311500
2000-05-24,19.5,19.5,20.25,19.125,19.9375,845700
2000-05-25,18.1875,18.1875,20.3125,18.0,19.75,1078300
2000-05-26,18.0,18.0,18.75,17.875,18.1875,367000
2000-05-30,20.0,20.0,20.625,18.0,18.0,446000
2000-05-31,19.3125,19.3125,20.875,19.125,20.6875,1091600
2000-06-01,20.125,20.125,20.75,19.5625,19.59375,1126000
2000-06-02,23.0,23.0,23.25,20.3125,20.6875,1646900
2000-06-05,22.875,22.875,23.0,21.0625,22.75,615800
2000-06-06,23.125,23.125,24.625,22.125,22.75,735300
2000-06-07,22.25,22.25,23.5,21.875,23.1875,299900
2000-06-08,22.625,22.625,23.75,22.0,22.25,476800
2000-06-09,23.25,23.25,23.875,22.625,22.8125,428200
2000-06-12,24.0625,24.0625,24.25,23.625,23.75,665000
2000-06-13,23.4375,23.4375,24.0,21.875,23.5625,300500
2000-06-14,22.9375,22.9375,23.3125,22.875,23.15625,172600
2000-06-15,23.0,23.0,23.25,21.75,22.625,323500
2000-06-16,21.0625,21.0625,23.0,20.8125,22.96875,1229000
2000-06-19,21.25,21.25,22.125,20.5,21.5625,358700
2000-06-20,21.875,21.875,22.5,21.3125,21.375,714400
2000-06-21,22.6875,22.6875,23.375,21.75,21.875,488400
2000-06-22,22.5,22.5,24.75,22.25,24.625,1281100
2000-06-23,23.625,23.625,26.5,21.0,22.8125,737900
2000-06-26,23.625,23.625,26.8125,23.0,23.875,473000
2000-06-27,22.9375,22.9375,23.75,22.375,23.625,432100
2000-06-28,23.4375,23.4375,24.0,22.5,23.0,322500
2000-06-29,23.0625,23.0625,23.9375,22.5,23.125,308700
2000-06-30,21.875,21.875,24.375,21.75,22.375,851400
2000-07-03,22.75,22.75,23.125,22.0,22.875,156400
2000-07-05,21.5625,21.5625,22.5,20.75,22.4375,644700
2000-07-06,21.8125,21.8125,22.0,20.0,21.5625,382000
2000-07-07,21.8125,21.8125,22.75,21.375,21.875,1265000
2000-07-10,21.75,21.75,24.6875,21.5,21.75,1233200
2000-07-11,22.0,22.0,23.25,21.0,21.625,1450100
2000-07-12,21.9375,21.9375,22.0625,21.5,22.0625,217700
2000-07-13,20.5,20.5,22.125,19.75,21.875,649500
2000-07-14,21.5625,21.5625,22.1875,20.25,22.1875,586000
2000-07-17,22.0,22.0,22.375,21.6875,22.0,787900
2000-07-18,21.9375,21.9375,22.0625,21.6875,22.0,306900
2000-07-19,20.25,20.25,21.875,20.125,21.875,335500
2000-07-20,21.0,21.0,21.75,20.25,20.9375,196300
2000-07-21,20.5,20.5,22.0,19.75,21.6875,618600
2000-07-24,20.75,20.75,21.125,20.125,20.375,352200
2000-07-25,21.125,21.125,21.1875,20.484375,20.6875,1118200
2000-07-26,21.1875,21.1875,21.1875,20.25,20.5,1511700
2000-07-27,20.0,20.0,21.15625,20.0,21.0625,1171200
2000-07-28,20.0,20.0,20.25,19.375,20.0,1541400
2000-07-31,22.125,22.125,22.25,20.0,20.0,678800
2000-08-01,21.625,21.625,21.875,21.0,21.75,397800
2000-08-02,21.75,21.75,22.0,21.0,21.25,312900
2000-08-03,20.4375,20.4375,20.875,20.125,20.8125,755700
2000-08-04,20.75,20.75,21.25,20.25,20.75,126300
2000-08-07,20.875,20.875,21.125,20.75,20.75,189600
2000-08-08,20.6875,20.6875,20.875,20.5,20.75,267600
2000-08-09,20.0,20.0,20.75,19.625,20.6875,6045100
2000-08-10,17.25,17.25,20.3125,16.5,20.21875,825300
2000-08-11,17.25,17.25,17.5,16.25,17.25,646400
2000-08-14,17.0,17.0,17.625,16.875,17.28125,200200
2000-08-15,17.25,17.25,18.5,17.25,17.5625,406900
2000-08-16,17.125,17.125,17.625,16.8125,17.5,258600
2000-08-17,16.875,16.875,17.25,16.375,16.9375,288700
2000-08-18,17.0,17.0,17.625,16.875,17.0,541600
2000-08-21,16.25,16.25,17.25,16.25,17.1875,702000
2000-08-22,16.75,16.75,17.25,16.25,16.25,645100
2000-08-23,17.0,17.0,17.375,16.5,16.75,337700
2000-08-24,17.4375,17.4375,17.9375,16.875,16.875,332500
2000-08-25,17.6875,17.6875,17.9375,17.1875,17.3125,98500
2000-08-28,17.625,17.625,17.9375,17.4375,17.5,467700
2000-08-29,17.25,17.25,17.625,17.125,17.5625,238600
2000-08-30,17.375,17.375,17.375,16.6875,17.125,769000
2000-08-31,17.0,17.0,17.5,16.875,17.375,130100
2000-09-01,17.5,17.5,17.5,16.875,17.25,136200
2000-09-05,17.375,17.375,17.625,17.1875,17.5,155300
2000-09-06,16.9375,16.9375,17.3125,16.875,17.125,492400
2000-09-07,16.25,16.25,17.1875,15.5,16.875,729400
2000-09-08,15.5,15.5,16.125,15.5,16.0625,833300
2000-09-11,16.5,16.5,16.5,15.75,15.75,596800
2000-09-12,16.625,16.625,17.0,16.5,16.5,291700
2000-09-13,16.6875,16.6875,17.125,16.0625,16.125,91700
2000-09-14,15.875,15.875,17.03125,15.75,17.0,97800
2000-09-15,14.875,14.875,16.125,14.875,15.875,189200
2000-09-18,12.0,12.0,15.0,11.375,14.875,835300
2000-09-19,13.0625,13.0625,13.125,12.125,12.59375,545700
2000-09-20,13.3125,13.3125,13.6875,12.75,13.125,827300
2000-09-21,12.8125,12.8125,13.75,12.5625,13.4375,443400
2000-09-22,12.25,12.25,12.6875,11.625,12.1875,477300
2000-09-25,12.75,12.75,13.125,12.3125,12.6875,514000
2000-09-26,11.5625,11.5625,12.875,11.375,12.65625,258000
2000-09-27,10.75,10.75,12.25,10.75,11.75,314500
2000-09-28,10.375,10.375,11.25,10.125,10.8125,760300
2000-09-29,10.875,10.875,11.0,10.375,10.5625,876800
2000-10-02,11.0,11.0,11.375,10.625,11.0,169100
2000-10-03,11.875,11.875,12.9375,10.875,11.3125,361300
2000-10-04,12.125,12.125,12.5,11.375,11.875,657300
2000-10-05,12.0625,12.0625,12.5,11.75,12.1875,199100
2000-10-06,11.6875,11.6875,12.125,11.5,12.125,286200
2000-10-09,12.0,12.0,12.125,11.1875,11.625,213700
2000-10-10,10.8125,10.8125,12.0,10.625,11.75,119100
2000-10-11,10.4375,10.4375,10.6875,10.1875,10.5625,224900
2000-10-12,10.875,10.875,11.234375,10.375,10.875,208800
2000-10-13,11.625,11.625,11.875,10.75,10.9375,128400
2000-10-16,11.0,11.0,12.0625,10.5,11.75,139200
2000-10-17,9.9375,9.9375,11.5,9.625,11.5,416200
2000-10-18,10.125,10.125,10.75,9.8125,10.0,743000
2000-10-19,10.5,10.5,10.75,10.125,10.5625,851200
2000-10-20,10.9375,10.9375,11.125,10.5625,10.5625,412300
2000-10-23,10.625,10.625,11.0625,10.1875,11.0625,356300
2000-10-24,10.0625,10.0625,10.9375,9.75,10.75,524100
2000-10-25,9.65625,9.65625,10.0,9.1875,9.96875,313800
2000-10-26,10.125,10.125,10.1875,9.21875,9.625,394200
2000-10-27,9.5,9.5,10.1875,9.4375,10.1875,358400
2000-10-30,10.0,10.0,10.0,9.5,9.5625,74900
2000-10-31,10.0625,10.0625,10.125,9.875,10.0625,564500
2000-11-01,10.0625,10.0625,10.125,9.875,9.9375,95300
2000-11-02,10.125,10.125,10.375,9.8125,10.1875,368800
2000-11-03,10.625,10.625,10.75,9.875,10.0,672500
2000-11-06,9.875,9.875,10.75,9.8125,10.75,349200
2000-11-07,9.6875,9.6875,10.34375,9.5,9.8125,325600
2000-11-08,9.03125,9.03125,9.75,8.875,9.75,250600
2000-11-09,8.5,8.5,9.109375,8.375,9.0,214200
2000-11-10,7.8125,7.8125,8.625,7.6875,8.5625,494300
2000-11-13,8.0625,8.0625,8.375,7.625,7.84375,307900
2000-11-14,8.1875,8.1875,8.875,8.15625,8.5625,1372000
2000-11-15,8.0625,8.0625,9.125,8.0,8.4375,1533200
2000-11-16,8.1875,8.1875,8.625,8.0,8.34375,674400
2000-11-17,9.0625,9.0625,9.0625,8.03125,8.21875,821200
2000-11-20,8.34375,8.34375,9.125,8.25,9.046875,301400
2000-11-21,7.875,7.875,8.34375,7.6875,8.328125,312700
2000-11-22,7.5625,7.5625,7.90625,7.5,7.71875,255000
2000-11-24,7.9375,7.9375,7.9375,7.59375,7.75,130900
2000-11-27,7.75,7.75,8.125,7.5,8.046875,195400
2000-11-28,7.5625,7.5625,7.875,7.40625,7.765625,281000
2000-11-29,7.375,7.375,7.59375,7.03125,7.59375,281700
2000-11-30,6.625,6.625,7.125,6.5,7.0625,471500
2000-12-01,6.875,6.875,7.25,6.78125,6.96875,181500
2000-12-04,7.09375,7.09375,7.09375,6.65625,7.03125,136600
2000-12-05,8.125,8.125,8.40625,7.21875,7.34375,309700
2000-12-06,7.78125,7.78125,8.125,7.6875,8.125,417500
2000-12-07,7.25,7.25,7.796875,6.9375,7.78125,218600
2000-12-08,8.6875,8.6875,8.6875,7.4375,7.4375,349600
2000-12-11,8.96875,8.96875,9.75,8.15625,8.71875,254000
2000-12-12,8.75,8.75,9.25,8.125,8.875,189500
2000-12-13,6.59375,6.59375,7.375,6.5,7.1875,1341900
2000-12-14,6.0,6.0,6.75,5.78125,6.71875,1512200
2000-12-15,5.25,5.25,6.03125,4.96875,5.9375,1488300
2000-12-18,6.34375,6.34375,6.4375,5.5,5.5,2622600
2000-12-19,5.75,5.75,6.5625,5.625,6.34375,1350500
2000-12-20,5.4375,5.4375,5.875,4.96875,5.75,674200
2000-12-21,4.75,4.75,5.5,4.25,5.4375,346900
2000-12-22,4.25,4.25,4.9375,4.0625,4.6875,573000
2000-12-26,4.5,4.5,4.5,4.0,4.28125,1433800
2000-12-27,4.6875,4.6875,5.125,4.34375,4.40625,456500
2000-12-28,4.9375,4.9375,4.96875,4.390625,4.65625,2076000
2000-12-29,5.25,5.25,5.25,4.5625,4.875,697000
2001-01-02,4.875,4.875,5.25,4.75,5.125,93100
2001-01-03,5.5625,5.5625,5.71875,4.75,4.8125,178300
2001-01-04,5.75,5.75,5.9375,5.46875,5.6875,204000
2001-01-05,5.5625,5.5625,5.96875,5.5,5.625,72300
2001-01-08,5.6875,5.6875,5.6875,5.21875,5.5625,112300
2001-01-09,6.0625,6.0625,6.25,5.71875,5.75,161700
2001-01-10,6.1875,6.1875,6.625,5.9375,6.0625,422500
2001-01-11,5.9375,5.9375,6.1875,5.75,6.1875,332200
2001-01-12,6.0,6.0,6.125,5.96875,6.0,401500
2001-01-16,5.75,5.75,6.25,5.5,5.875,537600
2001-01-17,5.90625,5.90625,6.0,5.8125,5.859375,966400
2001-01-18,6.1875,6.1875,6.3125,5.25,5.96875,338300
2001-01-19,6.375,6.375,6.75,6.0,6.6875,273900
2001-01-22,6.09375,6.09375,6.5,5.9375,6.375,220100
2001-01-23,6.75,6.75,6.9375,6.0625,6.15625,739600
2001-01-24,7.75,7.75,8.0,6.875,6.96875,969100
2001-01-25,7.875,7.875,7.96875,7.40625,7.6875,329300
2001-01-26,8.0,8.0,8.375,7.5,7.703125,585600
2001-01-29,8.21875,8.21875,8.5,7.75,8.1875,409200
2001-01-30,7.9375,7.9375,8.75,7.9375,8.25,434800
2001-01-31,7.375,7.375,8.1875,6.9375,8.09375,580500
2001-02-01,7.3125,7.3125,7.5,6.5625,7.4375,268300
2001-02-02,7.125,7.125,7.328125,6.625,7.3125,118800
2001-02-05,6.59375,6.59375,7.125,6.5,7.109375,136700
2001-02-06,7.40625,7.40625,7.5625,6.5,6.625,155600
2001-02-07,7.03125,7.03125,7.40625,6.90625,7.390625,77900
2001-02-08,7.28125,7.28125,7.6875,7.125,7.25,106700
2001-02-09,7.125,7.125,7.40625,6.875,7.28125,68800
2001-02-12,6.71875,6.71875,7.125,6.625,7.03125,131400
2001-02-13,6.625,6.625,7.0,6.53125,6.984375,154500
2001-02-14,6.75,6.75,6.9375,6.4375,6.53125,61800
2001-02-15,7.21875,7.21875,7.6875,6.9375,6.96875,122300
2001-02-16,7.0,7.0,7.25,6.4375,6.875,169900
2001-02-20,6.5,6.5,7.125,6.5,7.125,87200
2001-02-21,6.125,6.125,6.5625,6.0625,6.5,95200
2001-02-22,6.0625,6.0625,6.34375,5.96875,6.0625,78700
2001-02-23,5.8125,5.8125,6.078125,5.5,6.0,152500
2001-02-26,6.0625,6.0625,6.1875,5.859375,6.0625,104600
2001-02-27,5.6875,5.6875,6.25,5.6875,6.1875,80400
2001-02-28,6.0,6.0,6.0,5.6875,5.859375,81100
2001-03-01,5.8125,5.8125,6.0,5.5,5.8125,46400
2001-03-02,5.8125,5.8125,5.8125,5.5,5.6875,66800
2001-03-05,5.78125,5.78125,6.0,5.75,5.875,116300
2001-03-06,5.875,5.875,6.1875,5.75,5.9375,176300
2001-03-07,6.25,6.25,6.40625,6.0625,6.0625,192300
2001-03-08,6.3125,6.3125,6.75,6.0,6.21875,274400
2001-03-09,5.34375,5.34375,5.71875,4.9375,5.21875,1105200
2001-03-12,5.3125,5.3125,5.40625,5.1875,5.375,185400
2001-03-13,5.375,5.375,5.4375,5.1875,5.375,96500
2001-03-14,5.40625,5.40625,5.625,5.0,5.25,314700
2001-03-15,5.875,5.875,6.0,5.40625,5.40625,288700
2001-03-16,5.6875,5.6875,6.0,5.625,5.84375,237800
2001-03-19,5.546875,5.546875,5.75,5.0,5.65625,226700
2001-03-20,5.4375,5.4375,5.71875,5.09375,5.65625,73900
2001-03-21,5.0,5.0,5.625,4.8125,5.453125,125300
2001-03-22,5.09375,5.09375,5.25,4.8125,5.0625,115500
2001-03-23,5.5,5.5,5.5,5.0625,5.125,111300
2001-03-26,5.5,5.5,5.625,5.125,5.5,88300
2001-03-27,5.6875,5.6875,5.75,5.28125,5.40625,203600
2001-03-28,5.5625,5.5625,5.6875,5.5,5.5625,150600
2001-03-29,4.75,4.75,5.5625,4.59375,5.53125,213700
2001-03-30,5.34375,5.34375,5.375,4.78125,4.78125,191300
2001-04-02,5.0,5.0,5.40625,4.875,5.3125,74700
2001-04-03,4.375,4.375,5.15625,4.125,5.125,104400
2001-04-04,4.0,4.0,4.71875,3.9375,4.34375,170300
2001-04-05,4.4375,4.4375,4.5,4.0,4.296875,85500
2001-04-06,4.0625,4.0625,4.3125,4.03125,4.25,48300
2001-04-09,4.179999828338623,4.179999828338623,4.480000019073486,4.070000171661377,4.079999923706055,34900
2001-04-10,4.420000076293945,4.420000076293945,4.5,4.099999904632568,4.110000133514404,80600
2001-04-11,4.650000095367432,4.650000095367432,4.800000190734863,4.46999979019165,4.619999885559082,108700
2001-04-12,4.650000095367432,4.650000095367432,4.78000020980835,4.5,4.769999980926514,125800
2001-04-16,4.320000171661377,4.320000171661377,4.510000228881836,4.25,4.5,63400
2001-04-17,4.139999866485596,4.139999866485596,4.320000171661377,3.9800000190734863,4.320000171661377,78700
2001-04-18,5.199999809265137,5.199999809265137,5.25,4.139999866485596,4.28000020980835,273800
2001-04-19,5.269999980926514,5.269999980926514,5.380000114440918,5.0,5.239999771118164,119300
2001-04-20,5.090000152587891,5.090000152587891,5.269999980926514,5.010000228881836,5.260000228881836,120100
2001-04-23,4.900000095367432,4.900000095367432,5.099999904632568,4.789999961853027,5.079999923706055,49200
2001-04-24,4.960000038146973,4.960000038146973,5.0,4.789999961853027,4.820000171661377,44600
2001-04-25,5.190000057220459,5.190000057220459,5.25,4.599999904632568,4.809999942779541,95600
2001-04-26,5.159999847412109,5.159999847412109,5.300000190734863,4.960000038146973,5.25,250600
2001-04-27,5.28000020980835,5.28000020980835,5.320000171661377,5.010000228881836,5.25,76100
2001-04-30,5.900000095367432,5.900000095367432,5.989999771118164,5.25,5.269999980926514,314400
2001-05-01,5.880000114440918,5.880000114440918,6.03000020980835,5.75,5.909999847412109,69800
2001-05-02,6.320000171661377,6.320000171661377,6.369999885559082,5.800000190734863,6.0,195800
2001-05-03,6.199999809265137,6.199999809265137,6.239999771118164,5.960000038146973,6.150000095367432,102100
2001-05-04,6.5,6.5,6.900000095367432,6.010000228881836,6.179999828338623,187200
2001-05-07,7.429999828338623,7.429999828338623,8.0,6.949999809265137,7.139999866485596,644400
2001-05-08,7.480000019073486,7.480000019073486,7.699999809265137,6.949999809265137,7.650000095367432,218900
2001-05-09,7.179999828338623,7.179999828338623,7.489999771118164,7.050000190734863,7.389999866485596,131900
2001-05-10,6.730000019073486,6.730000019073486,7.400000095367432,6.699999809265137,7.230000019073486,178100
2001-05-11,6.699999809265137,6.699999809265137,6.989999771118164,6.570000171661377,6.739999771118164,96100
2001-05-14,6.769999980926514,6.769999980926514,6.980000019073486,6.679999828338623,6.690000057220459,65800
2001-05-15,7.0,7.0,7.039999961853027,6.699999809265137,6.829999923706055,126100
2001-05-16,7.010000228881836,7.010000228881836,7.170000076293945,6.840000152587891,6.849999904632568,225100
2001-05-17,7.050000190734863,7.050000190734863,7.150000095367432,6.949999809265137,7.0,197800
2001-05-18,6.949999809265137,6.949999809265137,7.039999961853027,6.349999904632568,7.039999961853027,96500
2001-05-21,7.099999904632568,7.099999904632568,7.300000190734863,6.820000171661377,6.900000095367432,389400
2001-05-22,6.940000057220459,6.940000057220459,7.25,6.760000228881836,7.25,56300
