Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PNC,PNC,PNC,PNC,PNC,PNC
Date,,,,,,
2000-01-03,19.739498138427734,42.1875,44.0,41.6875,44.0,703500
2000-01-04,19.12537956237793,40.875,42.125,40.0,42.125,1318500
2000-01-05,19.213117599487305,41.0625,41.5625,40.8125,40.8125,1078900
2000-01-06,20.119680404663086,43.0,43.5,40.875,40.875,1490700
2000-01-07,20.148929595947266,43.0625,43.5,42.5625,43.0,1128000
2000-01-10,19.447065353393555,41.5625,44.0,41.5,44.0,945800
2000-01-11,19.242366790771484,41.125,41.625,40.875,41.5,548000
2000-01-12,19.869184494018555,42.0,42.25,41.125,41.25,831400
2000-01-13,21.67278480529785,45.8125,46.0,42.9375,43.5,1703500
2000-01-14,22.116291046142578,46.75,47.375,45.75,47.25,1377200
2000-01-18,21.731914520263672,45.9375,46.75,45.8125,46.75,1056000
2000-01-19,21.436256408691406,45.3125,46.5625,45.3125,45.9375,845200
2000-01-20,20.815330505371094,44.0,45.5,43.625,45.5,998900
2000-01-21,20.756202697753906,43.875,44.125,42.9375,44.0625,1203300
2000-01-24,20.549230575561523,43.4375,44.125,43.25,44.0,1352700
2000-01-25,20.84490394592285,44.0625,44.25,43.625,43.6875,1014300
2000-01-26,21.377113342285156,45.1875,45.1875,43.75,43.875,989300
2000-01-27,22.086742401123047,46.6875,46.9375,45.0625,45.5,1424300
2000-01-28,21.70235824584961,45.875,46.5,45.5625,46.25,1545700
2000-01-31,22.70763397216797,48.0,48.0,45.75,45.875,1292500
2000-02-01,22.825912475585938,48.25,48.5,47.5,48.0,802400
2000-02-02,22.086742401123047,46.6875,48.1875,46.5,48.0,1043000
2000-02-03,21.52494239807129,45.5,46.8125,45.25,46.5,1148700
2000-02-04,21.081443786621094,44.5625,45.9375,44.4375,45.625,757400
2000-02-07,20.874475479125977,44.125,44.5625,43.0625,44.5625,611800
2000-02-08,21.317977905273438,45.0625,45.9375,44.375,44.375,786200
2000-02-09,20.84490394592285,44.0625,45.1875,44.0625,44.875,682700
2000-02-10,20.19442367553711,42.6875,44.5,42.25,44.25,733400
2000-02-11,19.928321838378906,42.125,43.5,41.8125,42.6875,554600
2000-02-14,19.69178581237793,41.625,42.3125,41.375,42.125,464800
2000-02-15,20.401395797729492,43.125,43.25,41.5,41.5625,570800
2000-02-16,19.869184494018555,42.0,43.125,41.9375,43.0625,559400
2000-02-17,19.75091552734375,41.75,43.125,41.375,43.125,635000
2000-02-18,18.92303466796875,40.0,41.1875,39.0,41.0,1069600
2000-02-22,18.68649673461914,39.5,40.0,38.8125,39.625,854600
2000-02-23,18.509090423583984,39.125,39.625,38.375,39.5625,671000
2000-02-24,17.97687530517578,38.0,39.125,38.0,39.0625,755000
2000-02-25,17.799484252929688,37.625,39.25,37.625,38.25,847900
2000-02-28,18.47952651977539,39.0625,39.6875,38.0625,38.125,922400
2000-02-29,18.302122116088867,38.6875,39.25,38.625,39.25,955200
2000-03-01,18.331695556640625,38.75,39.0,37.875,38.625,755900
2000-03-02,18.39082908630371,38.875,39.0,38.0,38.6875,703100
2000-03-03,18.420387268066406,38.9375,39.5,38.375,39.5,565800
2000-03-06,18.036014556884766,38.125,39.25,38.125,39.0,442600
2000-03-07,17.355958938598633,36.6875,38.125,36.5,38.125,698800
2000-03-08,17.326404571533203,36.625,37.25,36.0,36.9375,862400
2000-03-09,17.503807067871094,37.0,37.375,36.6875,36.8125,1005300
2000-03-10,17.71076774597168,37.4375,37.625,37.0,37.25,1005700
2000-03-13,17.56294059753418,37.125,37.9375,36.8125,36.875,618400
2000-03-14,17.4742374420166,36.9375,37.625,36.875,37.0625,667400
2000-03-15,18.92303466796875,40.0,40.5,37.0,37.0,1550200
2000-03-16,21.25885009765625,44.9375,45.25,42.1875,43.5,1954500
2000-03-17,20.667497634887695,43.6875,44.875,42.9375,43.875,1209600
2000-03-20,19.898754119873047,42.0625,43.875,41.5,43.8125,596000
2000-03-21,20.90403175354004,44.1875,44.75,41.9375,42.1875,1484300
2000-03-22,21.199724197387695,44.8125,45.0,43.625,44.375,587600
2000-03-23,21.731914520263672,45.9375,46.1875,43.75,44.3125,710000
2000-03-24,21.436256408691406,45.3125,46.625,44.625,45.6875,821300
2000-03-27,20.63793182373047,43.625,45.4375,43.375,45.3125,755100
2000-03-28,20.96317481994629,44.3125,44.875,43.25,43.375,802600
2000-03-29,20.874475479125977,44.125,44.5625,43.875,44.5625,739300
2000-03-30,20.874475479125977,44.125,45.5,43.5,45.5,900000
2000-03-31,21.317977905273438,45.0625,46.375,43.8125,45.0,856200
