Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ROST,ROST,ROST,ROST,ROST,ROST
Date,,,,,,
2000-01-03,1.7237067222595215,2.171875,2.273437976837158,2.164062976837158,2.261718988418579,4067200
2000-01-04,1.649301528930664,2.078125,2.164062976837158,2.070312976837158,2.15625,7012000
2000-01-05,1.6865042448043823,2.125,2.132812976837158,2.070312976837158,2.085937976837158,6990400
2000-01-06,1.5066933631896973,1.8984379768371582,2.125,1.8515629768371582,2.101562976837158,24146400
2000-01-07,1.488092064857483,1.875,1.890625,1.828125,1.8828129768371582,14456000
2000-01-10,1.512893557548523,1.90625,1.9375,1.8671879768371582,1.875,12168000
2000-01-11,1.444689393043518,1.8203129768371582,1.90625,1.8125,1.890625,12852800
2000-01-12,1.3485833406448364,1.699218988418579,1.8203129768371582,1.65625,1.8203129768371582,19354400
2000-01-13,1.2958801984786987,1.6328129768371582,1.71875,1.609375,1.691406011581421,23209600
2000-01-14,1.3516838550567627,1.703125,1.703125,1.65625,1.65625,15252800
2000-01-18,1.2710788249969482,1.6015629768371582,1.7109379768371582,1.59375,1.6953129768371582,19511200
2000-01-19,1.2152754068374634,1.53125,1.609375,1.5,1.605468988418579,23520000
2000-01-20,1.2927796840667725,1.628906011581421,1.65625,1.53125,1.53125,19192000
2000-01-21,1.333082914352417,1.6796879768371582,1.703125,1.640625,1.6875,18298400
2000-01-24,1.2462773323059082,1.5703129768371582,1.6875,1.546875,1.675781011581421,19201600
2000-01-25,1.2462773323059082,1.5703129768371582,1.5859379768371582,1.5,1.5703129768371582,16684000
2000-01-26,1.3082810640335083,1.6484379768371582,1.6640629768371582,1.53125,1.546875,15236000
2000-01-27,1.283479928970337,1.6171879768371582,1.6953129768371582,1.578125,1.675781011581421,16930400
2000-01-28,1.2772789001464844,1.609375,1.640625,1.5703129768371582,1.621093988418579,6237600
2000-01-31,1.2648781538009644,1.59375,1.6328129768371582,1.53125,1.609375,7533600
2000-02-01,1.2586783170700073,1.5859379768371582,1.640625,1.515625,1.6328129768371582,6864000
2000-02-02,1.2462773323059082,1.5703129768371582,1.6328129768371582,1.5625,1.621093988418579,11957600
2000-02-03,1.537695288658142,1.9375,1.9609379768371582,1.7578129768371582,1.765625,47381600
2000-02-04,1.488092064857483,1.875,1.9140629768371582,1.84375,1.90625,17392800
2000-02-07,1.488092064857483,1.875,1.90625,1.859375,1.890625,13880800
2000-02-08,1.5190943479537964,1.9140629768371582,1.921875,1.8671879768371582,1.878906011581421,4374400
2000-02-09,1.5004929304122925,1.890625,1.9140629768371582,1.8828129768371582,1.9140629768371582,12921600
2000-02-10,1.475691795349121,1.859375,1.90625,1.84375,1.8984379768371582,14176000
2000-02-11,1.4570907354354858,1.8359379768371582,1.859375,1.8046879768371582,1.8515629768371582,12605600
2000-02-14,1.4570907354354858,1.8359379768371582,1.890625,1.8125,1.847656011581421,6644800
2000-02-15,1.4012864828109741,1.765625,1.84375,1.765625,1.828125,5243200
2000-02-16,1.3454838991165161,1.6953129768371582,1.78125,1.640625,1.765625,9887200
2000-02-17,1.2648781538009644,1.59375,1.703125,1.5703129768371582,1.6953129768371582,6380800
2000-02-18,1.2958801984786987,1.6328129768371582,1.6640629768371582,1.609375,1.609375,14096800
2000-02-22,1.2958801984786987,1.6328129768371582,1.71875,1.609375,1.671875,6392000
2000-02-23,1.314481258392334,1.65625,1.6640629768371582,1.625,1.6484379768371582,9151200
2000-02-24,1.302080750465393,1.640625,1.6640629768371582,1.609375,1.640625,10643200
2000-02-25,1.3578840494155884,1.7109379768371582,1.765625,1.6328129768371582,1.640625,7472800
2000-02-28,1.537695288658142,1.9375,1.9921879768371582,1.71875,1.7265629768371582,11089600
2000-02-29,1.4384889602661133,1.8125,1.9375,1.8046879768371582,1.921875,14335200
2000-03-01,1.4484853744506836,1.8203129768371582,1.828125,1.7109379768371582,1.796875,6499200
2000-03-02,1.746886134147644,2.195312976837158,2.210937976837158,1.84375,1.8828129768371582,17716000
2000-03-03,1.6785026788711548,2.109375,2.203125,2.109375,2.183593988418579,12198400
2000-03-06,1.7406693696975708,2.1875,2.203125,2.109375,2.109375,5734400
2000-03-07,1.684719443321228,2.117187976837158,2.195312976837158,2.09375,2.191406011581421,6342400
2000-03-08,1.6722862720489502,2.101562976837158,2.15625,2.09375,2.101562976837158,2174400
2000-03-09,1.6536353826522827,2.078125,2.125,2.039062976837158,2.09375,10015200
2000-03-10,1.6349859237670898,2.054687976837158,2.078125,2.015625,2.078125,3851200
2000-03-13,1.644310712814331,2.066406011581421,2.078125,2.046875,2.054687976837158,2647200
2000-03-14,1.7344529628753662,2.179687976837158,2.1875,2.0625,2.078125,11996000
2000-03-15,1.883653998374939,2.367187976837158,2.375,2.164062976837158,2.185547113418579,17756000
2000-03-16,2.194486618041992,2.757812976837158,2.765625,2.351562976837158,2.359375,30483200
2000-03-17,2.0390686988830566,2.5625,2.734375,2.5625,2.65625,11164800
2000-03-20,1.9396024942398071,2.4375,2.59375,2.421875,2.554687976837158,3574400
2000-03-21,2.10123610496521,2.640625,2.671875,2.460937976837158,2.472656011581421,5213600
2000-03-22,2.032853841781616,2.554687976837158,2.65625,2.53125,2.640625,5682400
2000-03-23,2.032853841781616,2.554687976837158,2.59375,2.5,2.570312976837158,6633600
2000-03-24,2.0142030715942383,2.53125,2.625,2.507812976837158,2.546875,4218400
2000-03-27,2.095020294189453,2.632812976837158,2.640625,2.515625,2.53125,6388800
2000-03-28,2.10123610496521,2.640625,2.742187976837158,2.609375,2.617187976837158,7271200
