Price,Adj Close,Close,High,Low,Open,Volume
Ticker,STLD,STLD,STLD,STLD,STLD,STLD
Date,,,,,,
2000-01-03,2.570007801055908,3.984375,4.03125,3.96875,4.015625,266400
2000-01-04,2.42891001701355,3.765625,3.96875,3.6875,3.9375,1070400
2000-01-05,2.6103219985961914,4.046875,4.078125,3.765625,3.796875,906400
2000-01-06,2.640557289123535,4.09375,4.109375,4.03125,4.03125,1042000
2000-01-07,2.7312638759613037,4.234375,4.234375,4.09375,4.109375,1640400
2000-01-10,2.8219707012176514,4.375,4.390625,4.234375,4.265625,910400
2000-01-11,2.701028823852539,4.1875,4.390625,4.1875,4.34375,263200
2000-01-12,2.8421268463134766,4.40625,4.75,4.390625,4.625,4065200
2000-01-13,2.8723621368408203,4.453125,4.484375,4.171875,4.375,7131600
2000-01-14,2.8824408054351807,4.46875,4.515625,4.375,4.375,1835600
2000-01-18,2.89251971244812,4.484375,4.546875,4.4375,4.5,1260000
2000-01-19,2.786696672439575,4.320312976837158,4.5,4.3125,4.5,1443600
2000-01-20,2.811891555786133,4.359375,4.4375,4.296875,4.375,738400
2000-01-21,2.811891555786133,4.359375,4.375,4.28125,4.359375,713200
2000-01-24,2.7413415908813477,4.25,4.40625,4.234375,4.28125,589200
2000-01-25,2.6103219985961914,4.046875,4.265625,4.0,4.21875,645600
2000-01-26,2.680870771408081,4.15625,4.25,4.015625,4.046875,724000
2000-01-27,2.6607139110565186,4.125,4.25,4.09375,4.140625,352800
2000-01-28,2.6506357192993164,4.109375,4.15625,4.0,4.125,440000
2000-01-31,2.5095374584198,3.890625,4.078125,3.875,4.0625,852000
2000-02-01,2.7715773582458496,4.296875,4.328125,3.890625,3.921875,660400
2000-02-02,2.8018131256103516,4.34375,4.359375,4.234375,4.3125,988800
2000-02-03,2.680870771408081,4.15625,4.3125,4.09375,4.25,479200
2000-02-04,2.680870771408081,4.15625,4.1875,4.0625,4.15625,286800
2000-02-07,2.7211856842041016,4.21875,4.234375,4.03125,4.0625,911600
2000-02-08,2.6506357192993164,4.109375,4.21875,4.0,4.21875,514800
2000-02-09,2.6103219985961914,4.046875,4.109375,4.03125,4.09375,691600
2000-02-10,2.6607139110565186,4.125,4.125,4.03125,4.078125,489600
2000-02-11,2.5095374584198,3.890625,4.15625,3.8125,4.09375,462800
2000-02-14,2.42891001701355,3.765625,3.9375,3.71875,3.90625,1557200
2000-02-15,2.519615888595581,3.90625,4.0,3.734375,3.734375,1184400
2000-02-16,2.701028823852539,4.1875,4.28125,3.875,3.9375,2289200
2000-02-17,2.7211856842041016,4.21875,4.34375,4.140625,4.148437976837158,1532000
2000-02-18,2.6506357192993164,4.109375,4.25,4.0625,4.25,626000
2000-02-22,2.6707935333251953,4.140625,4.15625,4.0,4.125,444800
2000-02-23,2.680870771408081,4.15625,4.1875,4.09375,4.09375,944000
2000-02-24,2.6506357192993164,4.109375,4.1875,4.09375,4.125,880400
2000-02-25,2.590165853500366,4.015625,4.109375,3.984375,4.09375,495600
2000-02-28,2.5599300861358643,3.96875,4.015625,3.9375,4.0,318400
2000-02-29,2.4793026447296143,3.84375,3.984375,3.796875,3.96875,1204400
2000-03-01,2.519615888595581,3.90625,3.90625,3.84375,3.84375,522400
2000-03-02,2.5095374584198,3.890625,3.921875,3.8125,3.84375,207200
2000-03-03,2.489380359649658,3.859375,3.890625,3.8125,3.875,825200
2000-03-06,2.2777326107025146,3.53125,3.84375,3.46875,3.8125,1084000
2000-03-07,2.1567914485931396,3.34375,3.5625,3.28125,3.5625,1449200
2000-03-08,2.1769485473632812,3.375,3.5,3.34375,3.359375,1152800
2000-03-09,2.136634349822998,3.3125,3.484375,3.234375,3.484375,2997200
2000-03-10,2.106398582458496,3.265625,3.359375,3.25,3.296875,489200
2000-03-13,2.056007146835327,3.1875,3.34375,3.15625,3.28125,389200
2000-03-14,1.9451442956924438,3.015625,3.21875,2.859375,3.1875,936000
2000-03-15,1.8846725225448608,2.921875,3.109375,2.78125,3.09375,2743600
2000-03-16,2.2172629833221436,3.4375,3.5,2.9375,2.9375,2366400
2000-03-17,2.096320867538452,3.25,3.46875,3.1875,3.34375,1157600
2000-03-20,2.1164774894714355,3.28125,3.375,3.265625,3.34375,1090800
2000-03-21,2.1870267391204834,3.390625,3.390625,3.28125,3.28125,204000
2000-03-22,2.2575759887695312,3.5,3.546875,3.34375,3.375,905200
2000-03-23,2.2172629833221436,3.4375,3.53125,3.359375,3.429687976837158,188400
2000-03-24,2.1567914485931396,3.34375,3.46875,3.34375,3.4375,207600
2000-03-27,2.0761640071868896,3.21875,3.453125,3.21875,3.4375,263200
2000-03-28,1.9653010368347168,3.046875,3.296875,3.015625,3.289062976837158,683600
2000-03-29,1.8745942115783691,2.90625,3.0625,2.859375,3.039062976837158,1088000
2000-03-30,1.8745942115783691,2.90625,2.96875,2.875,2.90625,561600
2000-03-31,1.864515781402588,2.890625,2.953125,2.859375,2.921875,733600
2000-04-03,1.814123511314392,2.8125,2.9375,2.796875,2.90625,1125200
2000-04-04,1.9098693132400513,2.960937976837158,2.984375,2.765625,2.828125,2886000
2000-04-05,1.8342806100845337,2.84375,3.0625,2.75,2.890625,890000
2000-04-06,1.8544379472732544,2.875,2.90625,2.8125,2.890625,444800
2000-04-07,1.9350653886795044,3.0,3.0,2.828125,2.84375,466000
2000-04-10,1.8544379472732544,2.875,3.109375,2.871093988418579,3.03125,435600
2000-04-11,1.864515781402588,2.890625,3.0,2.875,2.90625,595600
2000-04-12,2.0358500480651855,3.15625,3.21875,3.0,3.03125,718000
2000-04-13,2.0459282398223877,3.171875,3.21875,3.082031011581421,3.109375,416800
2000-04-14,2.056007146835327,3.1875,3.21875,2.921875,3.03125,667200
2000-04-17,1.9955356121063232,3.09375,3.234375,3.0,3.125,462400
2000-04-18,1.9149079322814941,2.96875,3.140625,2.90625,3.0625,427600
2000-04-19,1.8846725225448608,2.921875,3.125,2.875,3.046875,662000
2000-04-20,1.8745942115783691,2.90625,2.929687976837158,2.8125,2.921875,1133600
2000-04-24,1.773809552192688,2.75,2.890625,2.71875,2.835937976837158,698800
2000-04-25,1.8947516679763794,2.9375,2.9375,2.75,2.796875,586800
2000-04-26,1.8544379472732544,2.875,2.96875,2.75,2.90625,607600
2000-04-27,1.8544379472732544,2.875,2.890625,2.75,2.796875,262400
2000-04-28,1.8342806100845337,2.84375,2.875,2.765625,2.78125,316000
2000-05-01,1.8544379472732544,2.875,2.9375,2.78125,2.78125,462400
2000-05-02,1.824202060699463,2.828125,2.9375,2.8125,2.875,204000
2000-05-03,1.7637317180633545,2.734375,2.84375,2.65625,2.828125,1486800
2000-05-04,1.733496069908142,2.6875,2.71875,2.59375,2.703125,614400
2000-05-05,1.8745942115783691,2.90625,2.90625,2.703125,2.71875,477200
2000-05-08,1.8342806100845337,2.84375,2.9375,2.796875,2.90625,428400
2000-05-09,1.7637317180633545,2.734375,2.890625,2.65625,2.890625,616000
2000-05-10,1.6780641078948975,2.601562976837158,2.75,2.5625,2.75,659600
2000-05-11,1.773809552192688,2.75,2.75,2.640625,2.6875,294400
2000-05-12,1.743573546409607,2.703125,2.84375,2.6875,2.765625,415200
2000-05-15,1.733496069908142,2.6875,2.757812976837158,2.609375,2.75,1328000
2000-05-16,1.693182349205017,2.625,2.71875,2.546875,2.6875,1671200
2000-05-17,1.6125543117523193,2.5,2.625,2.5,2.59375,743600
2000-05-18,1.6226332187652588,2.515625,2.5625,2.5,2.53125,755600
2000-05-19,1.6125543117523193,2.5,2.546875,2.484375,2.523437976837158,1421600
2000-05-22,1.4916130304336548,2.3125,2.515625,2.0625,2.515625,5824800
2000-05-23,1.5823183059692383,2.453125,2.609375,2.328125,2.34375,1188000
2000-05-24,1.6528682708740234,2.5625,2.59375,2.453125,2.484375,1184000
2000-05-25,1.5923974514007568,2.46875,2.625,2.46875,2.5625,7024800
2000-05-26,1.6125543117523193,2.5,2.5625,2.4375,2.484375,2152800
2000-05-30,1.6226332187652588,2.515625,2.5625,2.46875,2.546875,783600
2000-05-31,1.501691222190857,2.328125,2.5625,2.328125,2.53125,1330800
2000-06-01,1.6125543117523193,2.5,2.5,2.390625,2.390625,269200
2000-06-02,1.6125543117523193,2.5,2.578125,2.484375,2.53125,783200
2000-06-05,1.572239875793457,2.4375,2.515625,2.4375,2.5,352000
2000-06-06,1.5243679285049438,2.363281011581421,2.46875,2.34375,2.460937976837158,930400
2000-06-07,1.536966323852539,2.382812976837158,2.4375,2.265625,2.40625,922400
2000-06-08,1.4714559316635132,2.28125,2.5,2.25,2.464843988418579,2311600
2000-06-09,1.4714559316635132,2.28125,2.367187976837158,2.21875,2.359375,2624000
2000-06-12,1.4412204027175903,2.234375,2.34375,2.203125,2.3125,2049200
2000-06-13,1.5520832538604736,2.40625,2.40625,2.21875,2.25,1435200
2000-06-14,1.5621613264083862,2.421875,2.46875,2.351562976837158,2.359375,302400
2000-06-15,1.572239875793457,2.4375,2.484375,2.398437976837158,2.40625,373200
2000-06-16,1.542005181312561,2.390625,2.484375,2.359375,2.46875,643600
2000-06-19,1.5520832538604736,2.40625,2.40625,2.28125,2.40625,420000
2000-06-20,1.542005181312561,2.390625,2.433593988418579,2.265625,2.34375,549200
2000-06-21,1.4613779783248901,2.265625,2.375,2.25,2.34375,339200
2000-06-22,1.4613779783248901,2.265625,2.375,2.265625,2.3125,352000
2000-06-23,1.501691222190857,2.328125,2.375,2.265625,2.296875,210800
2000-06-26,1.4815340042114258,2.296875,2.3125,2.234375,2.257812976837158,337600
2000-06-27,1.4412204027175903,2.234375,2.300781011581421,2.234375,2.296875,453200
2000-06-28,1.4815340042114258,2.296875,2.296875,2.25,2.253906011581421,877200
2000-06-29,1.4412204027175903,2.234375,2.296875,2.234375,2.28125,255600
2000-06-30,1.4613779783248901,2.265625,2.28125,2.25,2.257812976837158,472400
2000-07-03,1.466416835784912,2.273437976837158,2.273437976837158,2.25,2.25,130000
2000-07-05,1.4714559316635132,2.28125,2.375,2.25,2.265625,194800
2000-07-06,1.4714559316635132,2.28125,2.328125,2.25,2.265625,343200
2000-07-07,1.4210634231567383,2.203125,2.28125,2.203125,2.28125,237600
2000-07-10,1.4563385248184204,2.257812976837158,2.28125,2.21875,2.21875,346800
2000-07-11,1.466416835784912,2.273437976837158,2.3125,2.25,2.257812976837158,706000
