Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SWK,SWK,SWK,SWK,SWK,SWK
Date,,,,,,
2000-01-03,15.174459457397461,28.75,30.125,28.5625,29.875,297300
2000-01-04,14.844581604003906,28.125,28.9375,27.9375,28.5,127000
2000-01-05,14.646656036376953,27.75,28.25,27.625,28.125,121300
2000-01-06,14.580679893493652,27.625,28.5,27.375,27.5625,225100
2000-01-07,14.844581604003906,28.125,28.125,27.375,27.625,222500
2000-01-10,14.712632179260254,27.875,28.125,27.0,28.0625,160800
2000-01-11,14.547689437866211,27.5625,28.125,27.375,27.6875,142000
2000-01-12,15.141471862792969,28.6875,29.3125,27.3125,27.4375,407000
2000-01-13,15.174459457397461,28.75,29.0,28.6875,28.6875,135700
2000-01-14,14.712632179260254,27.875,28.375,27.375,28.375,258700
2000-01-18,14.217806816101074,26.9375,27.4375,26.8125,27.25,142700
2000-01-19,14.613661766052246,27.6875,28.0625,26.5625,26.6875,353800
2000-01-20,14.2507963180542,27.0,29.125,26.9375,27.625,335600
2000-01-21,13.755979537963867,26.0625,27.125,25.6875,27.125,180300
2000-01-24,13.459089279174805,25.5,26.0625,25.375,26.0625,122300
2000-01-25,13.261157989501953,25.125,25.5,24.5625,25.5,174000
2000-01-26,12.931285858154297,24.5,25.125,24.0,25.0625,218000
2000-01-27,13.327133178710938,25.25,26.125,25.1875,25.5,308700
2000-01-28,13.06322956085205,24.75,25.375,24.75,25.0625,147800
2000-01-31,13.261157989501953,25.125,25.25,24.25,24.75,187700
2000-02-01,13.261157989501953,25.125,25.5625,25.0625,25.25,272300
2000-02-02,13.690000534057617,25.9375,26.375,25.25,25.25,395100
2000-02-03,13.788962364196777,26.125,26.3125,25.0,25.875,192500
2000-02-04,13.525056838989258,25.625,26.375,25.4375,26.125,524300
2000-02-07,13.162195205688477,24.9375,25.625,24.6875,25.625,199700
2000-02-08,13.162195205688477,24.9375,25.5625,24.8125,25.125,174200
2000-02-09,12.832314491271973,24.3125,24.9375,24.25,24.8125,232500
2000-02-10,12.568412780761719,23.8125,24.4375,23.5,24.3125,251400
2000-02-11,12.23853874206543,23.1875,23.75,23.1875,23.75,149200
2000-02-14,12.469449996948242,23.625,24.0625,23.25,23.25,204000
2000-02-15,13.096221923828125,24.8125,25.0,23.75,23.75,237700
2000-02-16,12.964262962341309,24.5625,25.0,24.3125,24.375,480300
2000-02-17,12.997255325317383,24.625,25.0625,24.4375,24.4375,152900
2000-02-18,12.436455726623535,23.5625,25.25,23.5625,24.5,355000
2000-02-22,12.832314491271973,24.3125,25.125,23.5625,23.5625,226900
2000-02-23,12.403472900390625,23.5,24.1875,23.5,24.1875,210500
2000-02-24,12.007613182067871,22.75,23.75,22.25,23.75,283600
2000-02-25,11.974635124206543,22.6875,23.5,22.5,22.75,185700
2000-02-28,12.073596000671387,22.875,23.375,22.375,22.6875,171900
2000-02-29,12.139569282531738,23.0,23.3125,22.5,22.625,182500
2000-03-01,12.172557830810547,23.0625,23.4375,22.875,22.875,195800
2000-03-02,12.423015594482422,23.3125,23.75,22.8125,22.8125,235700
2000-03-03,12.922598838806152,24.25,24.6875,22.8125,23.125,226700
2000-03-06,12.622843742370605,23.6875,23.9375,23.1875,23.75,194600
2000-03-07,12.256486892700195,23.0,23.5,22.5625,23.4375,164700
2000-03-08,12.522931098937988,23.5,23.75,22.625,22.9375,152700
2000-03-09,12.722771644592285,23.875,23.9375,23.125,23.25,129700
2000-03-10,12.922598838806152,24.25,24.9375,23.875,24.0625,258300
2000-03-13,12.756074905395508,23.9375,24.3125,23.5625,24.3125,208000
2000-03-14,12.789372444152832,24.0,25.0,23.75,23.875,252100
2000-03-15,13.422185897827148,25.1875,25.6875,23.375,24.0,173900
2000-03-16,14.154921531677246,26.5625,27.0,25.1875,25.1875,422800
2000-03-17,13.855156898498535,26.0,26.4375,25.8125,26.4375,415800
2000-03-20,13.55540657043457,25.4375,25.875,25.0,25.75,225700
2000-03-21,13.222355842590332,24.8125,25.3125,24.75,25.1875,314800
2000-03-22,13.222355842590332,24.8125,25.0,24.375,24.9375,390900
2000-03-23,13.422185897827148,25.1875,25.5,24.375,24.5625,1590300
2000-03-24,13.52210521697998,25.375,26.375,25.25,25.4375,251100
2000-03-27,13.12243366241455,24.625,25.4375,24.5,25.4375,170800
2000-03-28,13.222355842590332,24.8125,25.375,24.3125,24.8125,144700
2000-03-29,13.655322074890137,25.625,26.1875,24.8125,24.8125,418200
2000-03-30,14.121609687805176,26.5,27.25,25.75,25.8125,357200
2000-03-31,14.0549955368042,26.375,27.0,26.0,26.5,438100
2000-04-03,14.154921531677246,26.5625,26.8125,25.5625,26.625,206900
2000-04-04,14.02169132232666,26.3125,27.4375,25.5625,26.5625,574200
2000-04-05,14.154921531677246,26.5625,27.0,26.1875,26.5625,150900
2000-04-06,14.45466423034668,27.125,27.5625,26.75,26.75,142400
2000-04-07,14.221522331237793,26.6875,27.25,26.125,27.0,169900
2000-04-10,13.921765327453613,26.125,26.6875,25.875,26.5,166600
2000-04-11,14.354743003845215,26.9375,27.375,26.0,26.125,220900
2000-04-12,15.087470054626465,28.3125,28.8125,27.3125,27.5,457000
2000-04-13,14.987556457519531,28.125,28.75,27.875,28.3125,199300
2000-04-14,14.554577827453613,27.3125,28.0,27.25,27.625,337700
2000-04-17,15.154080390930176,28.4375,28.75,27.5,27.5,267700
2000-04-18,15.05416488647461,28.25,28.5625,27.75,28.1875,200200
2000-04-19,14.887641906738281,27.9375,28.875,27.5,28.25,179200
2000-04-20,15.453834533691406,29.0,29.0625,27.6875,27.6875,260600
2000-04-24,15.620353698730469,29.3125,29.375,28.625,28.75,204600
2000-04-25,15.92011547088623,29.875,29.875,29.25,29.25,356200
2000-04-26,15.92011547088623,29.875,30.125,29.5,29.625,609300
2000-04-27,15.92011547088623,29.875,29.9375,29.4375,29.875,514900
2000-04-28,15.720285415649414,29.5,29.875,28.75,29.875,275700
2000-05-01,16.086633682250977,30.1875,30.375,28.875,29.25,199700
2000-05-02,15.98672103881836,30.0,30.3125,29.8125,30.0,145800
2000-05-03,15.553743362426758,29.1875,29.875,28.75,29.875,150600
2000-05-04,15.820195198059082,29.6875,29.6875,28.875,29.3125,210400
2000-05-05,15.92011547088623,29.875,29.875,28.6875,29.5,287800
2000-05-08,15.853490829467773,29.75,29.8125,29.3125,29.8125,124000
2000-05-09,15.686968803405762,29.4375,29.8125,29.125,29.5,115800
2000-05-10,15.387223243713379,28.875,29.375,28.6875,29.375,202800
2000-05-11,15.487133979797363,29.0625,29.1875,28.8125,28.9375,261000
2000-05-12,15.453834533691406,29.0,29.125,28.6875,29.125,139800
2000-05-15,15.32060432434082,28.75,29.0,28.625,28.75,337400
2000-05-16,15.387223243713379,28.875,28.9375,28.4375,28.5,516500
2000-05-17,15.12077522277832,28.375,28.6875,28.0,28.6875,200200
2000-05-18,14.987556457519531,28.125,28.3125,27.5,28.125,342600
2000-05-19,15.420530319213867,28.9375,28.9375,27.625,27.625,564000
2000-05-22,15.553743362426758,29.1875,29.1875,28.6875,28.6875,415100
2000-05-23,15.720285415649414,29.5,29.625,28.8125,28.9375,443200
2000-05-24,15.12077522277832,28.375,29.3125,27.875,29.25,288900
2000-05-25,14.85433292388916,27.875,28.625,27.8125,28.125,244200
2000-05-26,14.521275520324707,27.25,27.875,26.4375,27.875,481500
2000-05-30,14.85433292388916,27.875,28.625,27.625,28.0625,566200
2000-05-31,14.321435928344727,26.875,27.75,26.75,27.625,280700
2000-06-01,14.708297729492188,27.375,27.75,26.875,26.875,194800
2000-06-02,15.44705867767334,28.75,28.875,27.25,27.375,212000
2000-06-05,14.97693157196045,27.875,28.5,27.625,28.5,263700
2000-06-06,15.111255645751953,28.125,28.125,27.625,27.8125,129100
2000-06-07,14.741875648498535,27.4375,28.0,27.25,27.875,134400
2000-06-08,14.473226547241211,26.9375,27.25,26.875,27.25,71100
2000-06-09,14.6075439453125,27.1875,27.3125,26.9375,26.9375,219700
2000-06-12,14.439643859863281,26.875,27.3125,26.375,27.25,345400
2000-06-13,14.439643859863281,26.875,27.0625,26.75,26.875,181000
2000-06-14,14.406062126159668,26.8125,27.53125,26.8125,26.875,241200
2000-06-15,14.171002388000488,26.375,26.8125,26.3125,26.75,165300
2000-06-16,13.935933113098145,25.9375,25.96875,25.5,25.5,338900
2000-06-19,13.73444938659668,25.5625,26.125,25.4375,26.0625,209000
2000-06-20,13.532966613769531,25.1875,25.625,25.0,25.5625,164400
2000-06-21,13.700872421264648,25.5,25.5625,25.0,25.0,192000
2000-06-22,13.667285919189453,25.4375,25.875,25.25,25.4375,175400
2000-06-23,13.633708000183105,25.375,25.8125,25.3125,25.3125,152400
2000-06-26,13.835193634033203,25.75,26.25,25.375,25.4375,115900
2000-06-27,14.070255279541016,26.1875,26.625,25.75,25.75,226400
2000-06-28,13.373459815979004,24.890625,25.875,24.375,25.875,389100
2000-06-29,12.89493179321289,24.0,25.0625,23.75,25.0625,490900
2000-06-30,12.760616302490234,23.75,24.6875,23.0,24.0,635400
2000-07-03,13.130000114440918,24.4375,24.5,23.75,23.75,211500
2000-07-05,13.029257774353027,24.25,24.8125,24.0625,24.625,171600
2000-07-06,12.995676040649414,24.1875,24.9375,23.875,24.25,367500
2000-07-07,13.062837600708008,24.3125,24.4375,24.125,24.125,86900
2000-07-10,13.130000114440918,24.4375,24.875,24.25,24.25,152000
2000-07-11,13.39864444732666,24.9375,25.4375,24.625,24.75,245400
2000-07-12,13.230738639831543,24.625,25.0625,24.4375,24.9375,92000
2000-07-13,13.499384880065918,25.125,25.3125,24.625,24.625,166600
2000-07-14,13.465801239013672,25.0625,25.125,24.8125,24.875,133700
2000-07-17,13.3314847946167,24.8125,25.0625,24.625,24.9375,145100
2000-07-18,13.365059852600098,24.875,24.9375,24.6875,24.8125,165000
2000-07-19,13.264325141906738,24.6875,24.875,24.5625,24.75,140600
2000-07-20,13.801615715026855,25.6875,25.75,24.8125,24.9375,285300
2000-07-21,13.935933113098145,25.9375,26.0625,25.5,25.8125,289500
2000-07-24,14.036672592163086,26.125,26.4375,26.0625,26.125,242100
2000-07-25,13.801615715026855,25.6875,26.1875,25.5625,26.0,204100
2000-07-26,13.700872421264648,25.5,25.9375,25.5,25.625,178000
2000-07-27,14.137420654296875,26.3125,26.5625,25.75,26.0,182600
2000-07-28,13.835193634033203,25.75,26.3125,25.5625,26.3125,93500
2000-07-31,14.070255279541016,26.1875,26.4375,25.625,25.75,262200
2000-08-01,13.835193634033203,25.75,26.125,25.4375,26.0,158700
2000-08-02,14.271747589111328,26.5625,26.625,25.8125,25.8125,188600
2000-08-03,13.969513893127441,26.0,26.75,26.0,26.75,142500
2000-08-04,14.204580307006836,26.4375,26.6875,25.6875,25.75,144300
2000-08-07,14.573967933654785,27.125,27.125,26.5,26.6875,142700
2000-08-08,14.641125679016113,27.25,27.3125,26.875,27.0,123600
2000-08-09,14.842616081237793,27.625,27.625,27.0,27.0,175800
2000-08-10,14.641125679016113,27.25,27.5625,27.25,27.5,115600
2000-08-11,15.211987495422363,28.3125,28.375,27.5,27.5,261000
2000-08-14,15.24556827545166,28.375,28.4375,27.75,28.25,238300
2000-08-15,14.94334602355957,27.8125,28.1875,27.375,28.1875,152300
2000-08-16,14.909775733947754,27.75,27.9375,27.6875,27.9375,200600
2000-08-17,14.94334602355957,27.8125,27.9375,27.4375,27.8125,181600
2000-08-18,14.97693157196045,27.875,27.9375,27.625,27.6875,113800
2000-08-21,14.876184463500977,27.6875,28.0,27.3125,28.0,97400
2000-08-22,14.842616081237793,27.625,27.75,27.3125,27.5625,97600
2000-08-23,14.741875648498535,27.4375,27.9375,26.875,27.75,154900
2000-08-24,15.144834518432617,28.1875,28.4375,27.625,27.625,155100
2000-08-25,15.111255645751953,28.125,28.3125,27.25,28.0625,163800
2000-08-28,14.842616081237793,27.625,28.1875,27.5625,28.0,133800
2000-08-29,15.010514259338379,27.9375,28.1875,27.375,27.5,200000
2000-08-30,14.406062126159668,26.8125,27.875,26.75,27.8125,113000
2000-08-31,14.505301475524902,26.765625,27.125,26.5625,26.625,99300
2000-09-01,14.0226411819458,25.875,26.875,25.875,26.8125,180700
2000-09-05,14.496838569641113,26.75,27.0625,25.9375,26.0625,167600
2000-09-06,14.632320404052734,27.0,27.0625,26.375,26.75,108500
2000-09-07,14.361357688903809,26.5,26.8125,26.375,26.8125,94000
2000-09-08,14.090381622314453,26.0,26.5625,25.4375,26.5625,262500
2000-09-11,14.0226411819458,25.875,26.5,25.59375,25.75,204200
2000-09-12,13.887157440185547,25.625,26.0,25.5,25.8125,166600
2000-09-13,13.819415092468262,25.5,25.8125,25.3125,25.6875,67900
2000-09-14,13.921030044555664,25.6875,25.8125,25.25,25.5625,125800
2000-09-15,13.446834564208984,24.8125,25.4375,24.625,25.4375,245000
2000-09-18,13.006503105163574,24.0,24.875,23.8125,24.625,122800
2000-09-19,12.938760757446289,23.875,24.25,23.5625,23.9375,104000
2000-09-20,12.769405364990234,23.5625,24.0625,23.5625,23.625,58100
2000-09-21,12.73553466796875,23.5,23.6875,23.3125,23.4375,103200
2000-09-22,12.532309532165527,23.125,24.3125,23.125,23.5,247100
2000-09-25,12.73553466796875,23.5,24.375,22.25,23.125,344000
2000-09-26,12.362955093383789,22.8125,23.625,22.625,23.5,323300
2000-09-27,12.430695533752441,22.9375,23.3125,22.6875,22.8125,167900
2000-09-28,12.803277015686035,23.625,23.8125,22.9375,23.0,226200
2000-09-29,12.49843978881836,23.0625,23.4375,23.0,23.0,374400
2000-10-02,12.12585735321045,22.375,23.0,22.3125,23.0,268400
2000-10-03,12.49843978881836,23.0625,23.625,22.4375,22.625,443800
2000-10-04,12.295212745666504,22.6875,23.75,22.625,23.25,385900
2000-10-05,11.922636032104492,22.0,22.6875,21.75,22.6875,459600
2000-10-06,11.482308387756348,21.1875,22.25,21.0625,21.875,328900
2000-10-09,11.787150382995605,21.75,22.3125,21.5,21.5,321800
2000-10-10,11.550053596496582,21.3125,21.875,21.3125,21.75,113400
2000-10-11,11.211344718933105,20.6875,21.5,20.625,21.4375,230900
2000-10-12,10.703269004821777,19.75,20.625,18.4375,20.625,948700
2000-10-13,11.041982650756836,20.375,20.4375,19.375,19.6875,423100
2000-10-16,10.906497955322266,20.125,20.5625,19.9375,20.5625,243700
2000-10-17,10.432299613952637,19.25,20.0625,19.1875,20.0,356200
2000-10-18,10.872626304626465,20.0625,20.1875,18.5,18.5,1049800
2000-10-19,11.380696296691895,21.0,21.0,19.75,19.875,302000
2000-10-20,11.821017265319824,21.8125,22.0,20.75,20.75,491400
2000-10-23,11.922636032104492,22.0,22.25,21.5,21.8125,296600
2000-10-24,12.49843978881836,23.0625,23.1875,22.6875,22.75,810500
2000-10-25,12.362955093383789,22.8125,23.25,22.125,23.125,220100
2000-10-26,12.769405364990234,23.5625,23.75,22.75,22.8125,295900
2000-10-27,13.141992568969727,24.25,24.4375,23.625,23.625,294700
2000-10-30,14.090381622314453,26.0,26.5,24.3125,24.3125,390300
2000-10-31,14.429085731506348,26.625,27.125,25.5625,26.0,380800
2000-11-01,14.191996574401855,26.1875,26.6875,25.75,26.6875,310800
2000-11-02,14.869421005249023,27.4375,27.5,26.1875,26.1875,389900
