Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TECH,TECH,TECH,TECH,TECH,TECH
Date,,,,,,
2000-01-03,6.114401817321777,7.265625,7.382812976837158,6.828125,7.0625,2340000
2000-01-04,5.765944004058838,6.851562976837158,7.09375,6.6875,7.09375,1873600
2000-01-05,5.680476665496826,6.75,6.914062976837158,6.71875,6.828125,2765600
2000-01-06,5.476663112640381,6.507812976837158,6.835937976837158,6.390625,6.777344226837158,757600
2000-01-07,5.466801643371582,6.496094226837158,6.703125,6.453125,6.488280773162842,1299200
2000-01-10,6.199871063232422,7.367187976837158,7.554687976837158,6.632812976837158,6.796875,2983200
2000-01-11,6.429983139038086,7.640625,7.9375,7.421875,7.421875,2792800
2000-01-12,6.561474800109863,7.796875,7.796875,7.484375,7.578125,2112800
2000-01-13,6.6173601150512695,7.863280773162842,7.875,7.609375,7.8125,1543200
2000-01-14,7.0611467361450195,8.390625,8.789063453674316,7.875,7.882812976837158,2606400
2000-01-18,7.074297904968262,8.40625,8.578125,8.3125,8.34765625,2392000
2000-01-19,7.2715325355529785,8.640625,8.679688453674316,8.25,8.414063453674316,1453600
2000-01-20,7.149907112121582,8.49609375,8.742188453674316,8.359375,8.664063453674316,1084000
2000-01-21,7.008551597595215,8.328125,8.429688453674316,8.132813453674316,8.382813453674316,1025600
2000-01-24,7.107170581817627,8.445313453674316,8.46875,8.21875,8.273438453674316,834400
2000-01-25,7.1038818359375,8.44140625,8.5,8.0,8.375,1052800
2000-01-26,6.896783828735352,8.195313453674316,8.484375,8.125,8.429688453674316,519200
2000-01-27,6.785013198852539,8.0625,8.265625,7.960937976837158,8.140625,495200
2000-01-28,6.374099254608154,7.574219226837158,8.015625,7.40625,7.921875,1099200
2000-01-31,6.561474800109863,7.796875,7.828125,7.40625,7.5625,1492000
2000-02-01,6.748854637145996,8.01953125,8.046875,7.625,7.773437976837158,1143200
2000-02-02,6.600922107696533,7.84375,7.984375,7.65625,7.984375,164000
2000-02-03,6.745564937591553,8.015625,8.046875,7.6875,7.898437976837158,1232800
2000-02-04,6.614072799682617,7.859375,8.03125,7.734375,7.945312976837158,489600
2000-02-07,6.732416152954102,8.0,8.039063453674316,7.851562976837158,7.90625,976800
2000-02-08,7.047998905181885,8.375,8.625,8.1875,8.21875,1588000
2000-02-09,6.916504383087158,8.21875,8.4375,8.046875,8.40625,1386400
2000-02-10,7.324133396148682,8.703125,8.710938453674316,8.21875,8.25,2529600
2000-02-11,7.422749996185303,8.820313453674316,9.03125,8.6875,8.69140625,2944000
2000-02-14,7.567395210266113,8.992188453674316,9.5,8.921875,8.921875,3002400
2000-02-15,7.863251209259033,9.34375,9.453125,9.0,9.1875,1857600
2000-02-16,7.955296516418457,9.453125,9.703125,9.328125,9.375,1649600
2000-02-17,8.448394775390625,10.039063453674316,10.25,9.296875,9.445313453674316,2161600
2000-02-18,7.777782440185547,9.242188453674316,10.1875,8.9375,9.703125,2331200
2000-02-22,7.646287441253662,9.085938453674316,9.421875,8.5,9.296875,1194400
2000-02-23,7.629853248596191,9.06640625,9.265625,8.65625,9.125,1473600
2000-02-24,8.205132484436035,9.75,9.8125,9.125,9.140625,1030400
2000-02-25,8.007895469665527,9.515625,9.632813453674316,9.3125,9.5,1078400
2000-02-28,8.64234447479248,10.26953125,10.26953125,9.59375,9.59375,2280000
2000-02-29,9.02367115020752,10.72265625,10.953125,10.4375,10.484375,2032000
2000-03-01,9.296520233154297,11.046875,11.3125,10.75,10.976563453674316,2674400
2000-03-02,8.747536659240723,10.39453125,11.0625,10.039063453674316,11.03125,863200
2000-03-03,8.79027271270752,10.445313453674316,10.65625,10.28125,10.52734375,1289600
2000-03-06,9.36227035522461,11.125,11.171875,10.375,10.515625,1124800
2000-03-07,8.639056205749512,10.265625,11.117188453674316,10.25,11.0,1335200
2000-03-08,8.520711898803711,10.125,10.484375,9.640625,10.28125,1462400
2000-03-09,8.448394775390625,10.039063453674316,10.25,9.8125,10.1875,556800
2000-03-10,8.113086700439453,9.640625,10.0625,9.1875,10.033203125,758400
2000-03-13,7.573970317840576,9.0,9.640625,8.84375,9.5625,1145600
2000-03-14,6.903356075286865,8.203125,9.1875,8.117188453674316,9.09375,1902400
2000-03-15,6.896783828735352,8.195313453674316,8.484375,8.0,8.25,1000800
2000-03-16,7.896125316619873,9.382813453674316,9.5625,8.242188453674316,8.375,1520000
2000-03-17,7.564105033874512,8.98828125,9.960938453674316,8.25,9.50390625,1314400
2000-03-20,7.324133396148682,8.703125,9.625,8.59375,9.171875,3347200
2000-03-21,8.017752647399902,9.52734375,9.52734375,8.5,8.664063453674316,1213600
2000-03-22,8.520711898803711,10.125,10.125,9.125,9.578125,1315200
2000-03-23,7.955296516418457,9.453125,10.21875,9.4375,10.15625,607200
2000-03-24,8.244580268859863,9.796875,10.03125,9.640625,9.66796875,988000
