Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TFX,TFX,TFX,TFX,TFX,TFX
Date,,,,,,
2000-01-03,22.096467971801758,31.25,31.25,29.6875,31.125,172200
2000-01-04,21.6103515625,30.5625,31.5625,30.4375,31.125,138700
2000-01-05,22.936141967773438,32.4375,33.0,30.75,30.75,167400
2000-01-06,22.936141967773438,32.4375,32.75,32.1875,32.1875,240400
2000-01-07,23.643232345581055,33.4375,33.75,32.625,32.625,161100
2000-01-10,24.30611801147461,34.375,34.375,33.375,33.375,237600
2000-01-11,23.952577590942383,33.875,34.25,33.75,34.25,171500
2000-01-12,24.040966033935547,34.0,34.4375,33.75,33.8125,160600
2000-01-13,24.7922306060791,35.0625,35.25,33.875,33.875,191500
2000-01-14,24.92481803894043,35.25,35.8125,35.1875,35.3125,167800
2000-01-18,25.322559356689453,35.8125,36.1875,34.6875,35.5,112900
2000-01-19,25.101587295532227,35.5,36.125,35.375,35.6875,74900
2000-01-20,24.4829044342041,34.625,35.6875,34.3125,35.625,106700
2000-01-21,23.687410354614258,33.5,34.625,33.375,34.5625,123100
2000-01-24,22.847759246826172,32.3125,33.4375,32.0,33.4375,179500
2000-01-25,23.289682388305664,32.9375,33.0625,32.3125,32.3125,110900
2000-01-26,22.759366989135742,32.1875,33.0625,31.875,33.0,98000
2000-01-27,22.71516990661621,32.125,32.8125,32.0,32.0,179500
2000-01-28,22.626789093017578,32.0,32.25,31.6875,32.125,189100
2000-01-31,22.450016021728516,31.75,32.0,31.25,31.875,80700
2000-02-01,22.052276611328125,31.1875,31.8125,31.0625,31.75,177400
2000-02-02,21.30100440979004,30.125,30.6875,28.9375,30.6875,504700
2000-02-03,21.654544830322266,30.625,30.9375,30.25,30.5,175100
2000-02-04,21.21261215209961,30.0,30.8125,29.875,30.75,82900
2000-02-07,20.90326690673828,29.5625,30.3125,29.25,30.125,162200
2000-02-08,20.77069091796875,29.375,29.9375,29.25,29.5,95200
2000-02-09,20.77069091796875,29.375,29.9375,29.0625,29.875,90200
2000-02-10,20.90326690673828,29.5625,30.1875,29.3125,29.625,141000
2000-02-11,20.240367889404297,28.625,29.6875,28.4375,29.4375,97700
2000-02-14,20.859073638916016,29.5,29.875,28.6875,28.8125,159400
2000-02-15,20.240367889404297,28.625,29.5625,28.5,29.5,80200
2000-02-16,20.372947692871094,28.8125,29.4375,28.375,28.5,123900
2000-02-17,20.196182250976562,28.5625,29.1875,28.25,29.0625,131800
2000-02-18,20.151987075805664,28.5,28.625,28.1875,28.5625,216900
2000-02-22,19.975210189819336,28.25,29.0,28.0625,28.75,155900
2000-02-23,19.712383270263672,27.75,28.3125,27.0625,27.9375,235300
2000-02-24,19.135221481323242,26.9375,27.625,26.125,27.625,135400
2000-02-25,19.312801361083984,27.1875,27.8125,26.4375,26.8125,107800
2000-02-28,19.26841163635254,27.125,27.75,26.625,27.4375,119000
2000-02-29,20.067554473876953,28.25,28.25,27.0625,27.0625,188200
2000-03-01,20.91111183166504,29.4375,30.1875,28.0,28.0,223500
2000-03-02,20.42274284362793,28.75,29.75,28.625,29.4375,110100
2000-03-03,20.20075225830078,28.4375,29.1875,28.375,29.125,126600
2000-03-06,19.801177978515625,27.875,28.375,27.625,28.1875,147500
2000-03-07,19.579191207885742,27.5625,27.75,27.4375,27.75,137400
2000-03-08,19.801177978515625,27.875,28.3125,27.5625,27.625,65600
2000-03-09,20.333940505981445,28.625,28.9375,27.75,27.75,63600
2000-03-10,20.42274284362793,28.75,29.0,28.125,28.5625,100700
2000-03-13,20.333940505981445,28.625,29.1875,27.625,28.875,224100
2000-03-14,19.801177978515625,27.875,28.6875,27.75,28.625,105700
2000-03-15,19.712383270263672,27.75,27.9375,27.375,27.9375,183300
2000-03-16,20.86672019958496,29.375,29.375,27.875,27.875,326100
2000-03-17,21.177492141723633,29.8125,30.1875,29.0625,29.125,142700
2000-03-20,21.39947509765625,30.125,30.25,29.875,29.9375,126000
2000-03-21,21.088703155517578,29.6875,30.0625,29.375,30.0625,86300
2000-03-22,21.310678482055664,30.0,30.0625,29.375,29.9375,136900
2000-03-23,21.976642608642578,30.9375,31.1875,30.1875,30.25,126000
2000-03-24,21.443878173828125,30.1875,30.8125,29.9375,30.8125,173000
2000-03-27,20.91111183166504,29.4375,29.625,29.0,29.0,197100
2000-03-28,21.088703155517578,29.6875,29.875,28.875,29.625,154000
2000-03-29,20.91111183166504,29.4375,29.75,28.875,29.75,75000
2000-03-30,22.331819534301758,31.4375,31.6875,29.5625,29.5625,198000
2000-03-31,25.128849029541016,35.375,35.5,31.5,31.5,397900
2000-04-03,24.01891326904297,33.8125,35.0,32.9375,35.0,200400
2000-04-04,23.930118560791016,33.6875,34.625,33.25,33.4375,166800
2000-04-05,24.285289764404297,34.1875,34.4375,33.4375,33.4375,114700
2000-04-06,24.81806182861328,34.9375,35.1875,34.3125,34.3125,75000
2000-04-07,24.551673889160156,34.5625,35.5,34.5,34.8125,50600
2000-04-10,24.68486213684082,34.75,35.25,33.8125,34.4375,93900
2000-04-11,24.551673889160156,34.5625,35.1875,34.375,35.0,50800
2000-04-12,24.551673889160156,34.5625,35.1875,34.125,34.6875,73100
2000-04-13,25.617219924926758,36.0625,36.875,35.0,35.0,173800
2000-04-14,24.329694747924805,34.25,35.8125,34.0,35.8125,119000
2000-04-17,24.81806182861328,34.9375,34.9375,33.5,34.0,117300
2000-04-18,24.906850814819336,35.0625,35.5,34.9375,34.9375,84900
2000-04-19,24.418485641479492,34.375,35.1875,34.25,35.1875,79600
2000-04-20,23.79692268371582,33.5,34.3125,33.125,34.0,129100
2000-04-24,23.88572120666504,33.625,33.6875,33.0,33.5,88600
2000-04-25,24.329694747924805,34.25,34.6875,33.875,34.0,104000
2000-04-26,24.01891326904297,33.8125,34.75,33.625,34.125,88500
2000-04-27,24.107715606689453,33.9375,34.0,32.9375,33.9375,55900
2000-04-28,24.551673889160156,34.5625,34.9375,33.625,34.0625,98700
2000-05-01,24.862462997436523,35.0,35.5,34.5,34.5,274600
2000-05-02,24.862462997436523,35.0,35.0625,34.625,35.0,102200
2000-05-03,23.930118560791016,33.6875,34.875,33.5,34.75,103700
2000-05-04,24.951257705688477,35.125,35.125,33.8125,33.8125,103300
2000-05-05,25.306434631347656,35.625,35.75,34.625,35.0,42500
2000-05-08,24.729272842407227,34.8125,35.75,34.625,35.5,42300
2000-05-09,24.374094009399414,34.3125,34.8125,33.625,34.8125,73100
2000-05-10,24.063310623168945,33.875,34.375,33.5625,34.0625,133900
2000-05-11,24.418485641479492,34.375,34.875,33.875,34.0,142800
2000-05-12,24.462881088256836,34.4375,34.5,33.875,34.125,61200
2000-05-15,23.974525451660156,33.75,34.4375,33.625,34.4375,50100
2000-05-16,24.329694747924805,34.25,34.25,33.6875,33.75,88700
2000-05-17,23.930118560791016,33.6875,34.25,33.5625,34.25,88200
2000-05-18,24.285289764404297,34.1875,34.5,33.8125,33.8125,147900
2000-05-19,23.88572120666504,33.625,34.0625,33.25,34.0625,79900
2000-05-22,24.374094009399414,34.3125,34.5,33.125,33.375,100500
2000-05-23,24.124372482299805,33.8125,34.6875,33.75,34.25,75400
2000-05-24,24.035192489624023,33.6875,34.75,33.1875,34.0625,109500
2000-05-25,25.016210556030273,35.0625,35.125,33.8125,33.875,104700
2000-05-26,24.837858200073242,34.8125,35.125,34.625,35.0625,75300
2000-05-30,25.68508529663086,36.0,36.25,34.8125,34.8125,121400
2000-05-31,25.283782958984375,35.4375,36.0625,35.4375,36.0625,64400
2000-06-01,26.086437225341797,36.5625,36.625,35.25,35.5,116200
2000-06-02,26.131019592285156,36.625,37.125,36.5625,36.6875,94600
2000-06-05,26.22020721435547,36.75,37.1875,36.4375,36.5,68500
2000-06-06,26.131019592285156,36.625,37.3125,36.5625,36.75,61400
2000-06-07,25.95265007019043,36.375,37.0,36.1875,36.75,85300
2000-06-08,25.417552947998047,35.625,36.375,35.125,36.375,103700
2000-06-09,25.863473892211914,36.25,36.375,35.625,35.625,46600
2000-06-12,25.462141036987305,35.6875,36.875,35.4375,36.25,77600
2000-06-13,26.487764358520508,37.125,37.75,35.5625,35.6875,87100
2000-06-14,26.755325317382812,37.5,37.625,36.875,36.875,112300
2000-06-15,26.35399055480957,36.9375,37.625,36.875,37.5625,135200
2000-06-16,26.175607681274414,36.6875,37.5,36.6875,36.6875,110700
2000-06-19,26.131019592285156,36.625,37.0,36.3125,36.6875,65500
2000-06-20,26.487764358520508,37.125,37.4375,36.5625,36.5625,98100
2000-06-21,26.62154769897461,37.3125,37.9375,37.25,37.375,140900
2000-06-22,26.398574829101562,37.0,37.3125,35.8125,37.3125,130300
2000-06-23,26.443174362182617,37.0625,37.3125,37.0,37.0,89100
2000-06-26,27.4241886138916,38.4375,38.4375,37.1875,37.1875,115700
2000-06-27,27.156652450561523,38.0625,38.9375,38.0625,38.4375,133400
2000-06-28,27.4241886138916,38.4375,38.5625,38.1875,38.375,251400
2000-06-29,27.55797004699707,38.625,38.625,38.1875,38.4375,188700
2000-06-30,25.506738662719727,35.75,38.625,35.75,38.625,508300
2000-07-03,26.889101028442383,37.6875,37.75,36.0,36.0,160700
2000-07-05,26.62154769897461,37.3125,37.5625,36.875,37.0,105800
2000-07-06,25.99725341796875,36.4375,37.6875,36.375,37.25,116900
2000-07-07,26.35399055480957,36.9375,37.25,36.375,36.375,79900
2000-07-10,26.933687210083008,37.75,37.8125,36.9375,36.9375,131100
2000-07-11,27.067453384399414,37.9375,37.9375,37.25,37.6875,98200
2000-07-12,28.182266235351562,39.5,39.5,38.25,38.3125,226400
2000-07-13,27.468788146972656,38.5,39.5,38.4375,39.5,223000
2000-07-14,27.4241886138916,38.4375,38.6875,38.0625,38.3125,149000
2000-07-17,27.24584197998047,38.1875,38.5,38.0625,38.25,163800
2000-07-18,26.666133880615234,37.375,38.5,37.375,38.3125,110200
2000-07-19,26.22020721435547,36.75,37.625,36.6875,37.625,119400
2000-07-20,26.576948165893555,37.25,37.25,36.5625,36.625,93600
2000-07-21,26.175607681274414,36.6875,37.25,36.125,37.1875,65400
2000-07-24,25.283782958984375,35.4375,36.8125,35.375,36.75,78800
2000-07-25,25.595918655395508,35.875,36.0625,35.1875,35.1875,132900
2000-07-26,25.95265007019043,36.375,36.4375,35.4375,35.9375,56100
2000-07-27,25.863473892211914,36.25,36.5,35.3125,36.375,88600
2000-07-28,25.68508529663086,36.0,36.3125,35.625,36.25,94600
2000-07-31,25.863473892211914,36.25,36.625,36.0,36.0,99000
2000-08-01,25.506738662719727,35.75,36.25,35.625,36.25,65400
2000-08-02,25.818880081176758,36.1875,36.25,35.625,36.0,81300
