Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO,TMO
Date,,,,,,
2000-01-03,12.27295970916748,15.0,15.1875,14.6875,15.0,432200
2000-01-04,11.812725067138672,14.4375,14.9375,14.3125,14.875,568400
2000-01-05,11.914997100830078,14.5625,14.75,14.3125,14.75,490800
2000-01-06,11.914997100830078,14.5625,14.5625,14.3125,14.375,561900
2000-01-07,12.068414688110352,14.75,14.75,14.3125,14.4375,266600
2000-01-10,11.966140747070312,14.625,14.75,14.5,14.5625,470000
2000-01-11,12.068414688110352,14.75,14.9375,14.5,14.5,277900
2000-01-12,11.761590003967285,14.375,14.8125,14.0,14.75,432300
2000-01-13,12.17068862915039,14.875,14.9375,14.25,14.25,477500
2000-01-14,11.966140747070312,14.625,14.9375,14.5625,14.9375,274400
2000-01-18,11.812725067138672,14.4375,14.75,14.3125,14.75,520300
2000-01-19,11.65931224822998,14.25,14.5625,14.1875,14.3125,660200
2000-01-20,11.863863945007324,14.5,14.625,14.3125,14.3125,556000
2000-01-21,11.812725067138672,14.4375,14.75,14.375,14.5,1097200
2000-01-24,11.966140747070312,14.625,14.8125,14.4375,14.5,658900
2000-01-25,12.068414688110352,14.75,15.375,14.5,14.5625,878400
2000-01-26,12.733197212219238,15.5625,16.125,14.6875,14.75,1525400
2000-01-27,13.500258445739746,16.5,17.0,16.1875,16.25,1427900
2000-01-28,13.295709609985352,16.25,16.4375,15.75,16.125,723000
2000-01-31,14.165044784545898,17.3125,17.8125,16.3125,16.375,1685700
2000-02-01,14.4718656539917,17.6875,17.75,17.0625,17.75,1874500
2000-02-02,14.216184616088867,17.375,17.5625,17.1875,17.5,750500
2000-02-03,14.36959457397461,17.5625,17.625,17.375,17.4375,629100
2000-02-04,14.267313003540039,17.4375,17.75,17.4375,17.5,841400
2000-02-07,14.267313003540039,17.4375,17.875,17.375,17.375,778700
2000-02-08,13.807076454162598,16.875,17.625,16.75,17.5,684200
2000-02-09,13.551398277282715,16.5625,16.8125,16.25,16.75,482700
2000-02-10,13.295709609985352,16.25,16.625,16.0625,16.3125,320800
2000-02-11,13.19343376159668,16.125,16.5,16.0,16.5,314100
2000-02-14,13.39798355102539,16.375,16.625,15.9375,16.0,455700
2000-02-15,13.602531433105469,16.625,16.8125,16.25,16.375,400600
2000-02-16,13.449122428894043,16.4375,16.625,16.25,16.375,207400
2000-02-17,13.040020942687988,15.9375,16.6875,15.9375,16.3125,301600
2000-02-18,12.835470199584961,15.6875,16.1875,15.4375,16.0625,427300
2000-02-22,13.500258445739746,16.5,16.6875,15.5,15.5,381100
2000-02-23,13.39798355102539,16.375,16.5625,16.125,16.375,279900
2000-02-24,13.142295837402344,16.0625,16.3125,15.5625,16.3125,366700
2000-02-25,12.733197212219238,15.5625,16.1875,15.25,16.0,328400
2000-02-28,12.784335136413574,15.625,15.8125,15.375,15.75,251900
2000-02-29,12.784335136413574,15.625,15.6875,15.3125,15.4375,397900
2000-03-01,14.113903999328613,17.25,17.25,15.3125,15.4375,1992700
2000-03-02,16.466218948364258,20.125,20.75,17.4375,17.5,3375200
2000-03-03,17.949203491210938,21.9375,22.125,20.4375,20.75,2213800
2000-03-06,17.642379760742188,21.5625,22.125,21.3125,21.9375,1332600
2000-03-07,19.636737823486328,24.0,24.3125,22.1875,22.25,3750500
2000-03-08,21.477678298950195,26.25,26.875,24.5625,24.875,4482700
2000-03-09,21.17085838317871,25.875,26.375,24.9375,25.75,2179700
2000-03-10,21.119720458984375,25.8125,26.375,25.375,25.75,1527200
2000-03-13,20.45493507385254,25.0,25.6875,24.5625,25.0625,1948700
2000-03-14,18.76740264892578,22.9375,24.75,22.6875,24.75,1144000
2000-03-15,18.66512680053711,22.8125,23.6875,22.75,23.5,529500
2000-03-16,18.86967658996582,23.0625,23.375,22.875,22.9375,583100
2000-03-17,18.358304977416992,22.4375,22.875,22.25,22.8125,503600
2000-03-20,18.20488929748535,22.25,22.5,22.0625,22.25,475800
2000-03-21,17.131004333496094,20.9375,22.75,20.0625,22.5,1960000
2000-03-22,17.131004333496094,20.9375,21.25,20.6875,20.75,478200
2000-03-23,17.949203491210938,21.9375,22.125,20.8125,20.9375,973700
2000-03-24,17.898069381713867,21.875,22.0,21.75,21.8125,651900
2000-03-27,17.437833786010742,21.3125,22.5625,21.0625,21.75,340600
2000-03-28,16.875320434570312,20.625,21.6875,20.375,21.0,429700
2000-03-29,16.10825538635254,19.6875,20.9375,19.1875,20.5625,926200
2000-03-30,16.057126998901367,19.625,19.75,19.3125,19.75,767300
2000-03-31,16.670774459838867,20.375,20.4375,19.625,19.625,526500
2000-04-03,16.36394500732422,20.0,20.625,20.0,20.125,523900
2000-04-04,15.954845428466797,19.5,20.3125,18.5,20.0625,878500
2000-04-05,16.210540771484375,19.8125,19.8125,19.0,19.125,319700
2000-04-06,16.466218948364258,20.125,20.5,19.8125,19.8125,649600
2000-04-07,17.540111541748047,21.4375,21.4375,20.375,20.5,653000
2000-04-10,17.233278274536133,21.0625,21.4375,20.875,21.375,1075800
2000-04-11,16.875320434570312,20.625,21.125,20.5,21.0625,493500
2000-04-12,16.210540771484375,19.8125,20.75,19.625,20.5,1039300
2000-04-13,16.10825538635254,19.6875,20.125,19.6875,19.875,290800
2000-04-14,15.136658668518066,18.5,19.5625,18.0,19.5,938800
2000-04-17,15.085512161254883,18.4375,18.4375,17.75,18.3125,533300
2000-04-18,15.59688949584961,19.0625,19.0625,18.25,18.4375,364900
2000-04-19,15.59688949584961,19.0625,19.5,19.0,19.0,315700
2000-04-20,15.699165344238281,19.1875,19.4375,18.75,19.125,288300
2000-04-24,15.392343521118164,18.8125,19.0625,18.4375,19.0,876000
2000-04-25,16.261674880981445,19.875,19.875,18.75,18.75,351900
2000-04-26,16.261674880981445,19.875,20.0625,19.75,20.0625,457900
2000-04-27,15.954845428466797,19.5,19.75,19.3125,19.5,334100
2000-04-28,15.85257625579834,19.375,19.6875,19.0625,19.5,675800
2000-05-01,15.85257625579834,19.375,20.25,19.25,19.25,563200
2000-05-02,16.36394500732422,20.0,20.0625,19.3125,19.4375,693800
2000-05-03,15.750299453735352,19.25,19.8125,19.0,19.625,865400
2000-05-04,16.005983352661133,19.5625,20.0,19.1875,19.1875,855100
2000-05-05,16.36394500732422,20.0,20.0,19.4375,19.6875,609600
2000-05-08,15.801438331604004,19.3125,19.875,19.25,19.875,229500
2000-05-09,15.443480491638184,18.875,19.5625,18.75,19.375,413100
2000-05-10,14.778690338134766,18.0625,18.9375,18.0,18.9375,455500
2000-05-11,15.34119987487793,18.75,18.875,18.0,18.0,599100
2000-05-12,15.290061950683594,18.6875,19.0625,18.5625,18.625,776600
2000-05-15,15.290061950683594,18.6875,19.0,18.625,18.875,268300
2000-05-16,15.648026466369629,19.125,19.5,18.625,18.625,710500
