Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TXT,TXT,TXT,TXT,TXT,TXT
Date,,,,,,
2000-01-03,28.65061378479004,37.46875,38.75,37.28125,38.34375,1842000
2000-01-04,28.172697067260742,36.84375,38.125,36.6875,37.46875,1048800
2000-01-05,27.50362205505371,35.96875,37.0,35.96875,36.84375,905200
2000-01-06,27.14520263671875,35.5,35.6875,34.75,35.6875,2139600
2000-01-07,27.814260482788086,36.375,36.375,35.15625,35.4375,1135200
2000-01-10,28.1487979888916,36.8125,37.21875,36.25,36.375,894000
2000-01-11,27.933738708496094,36.53125,36.6875,35.90625,36.5,773400
2000-01-12,27.408035278320312,35.84375,36.59375,35.65625,36.5,796000
2000-01-13,26.33275032043457,34.4375,35.75,34.34375,35.625,1656800
2000-01-14,26.33275032043457,34.4375,35.0,34.1875,34.4375,1049200
2000-01-18,25.663681030273438,33.5625,33.75,33.375,33.5625,799600
2000-01-19,24.18216323852539,31.625,32.75,31.4375,31.5,3711200
2000-01-20,22.12715721130371,28.9375,31.6875,28.5,31.625,6278000
2000-01-21,23.08296775817871,30.1875,30.75,28.9375,28.96875,3481600
2000-01-24,23.274124145507812,30.4375,31.125,30.15625,30.9375,2375600
2000-01-25,23.03518295288086,30.125,30.75,29.875,30.0625,1815400
2000-01-26,23.03518295288086,30.125,30.40625,29.96875,29.96875,900200
2000-01-27,23.226343154907227,30.375,31.09375,29.875,30.375,1263200
2000-01-28,22.557279586791992,29.5,30.09375,29.4375,29.8125,2002800
2000-01-31,22.82011604309082,29.84375,30.03125,29.625,29.625,931400
2000-02-01,22.939599990844727,30.0,30.15625,29.6875,29.78125,1558000
2000-02-02,23.58477210998535,30.84375,30.875,29.875,29.875,1807800
2000-02-03,23.58477210998535,30.84375,31.28125,30.5,30.84375,1429200
2000-02-04,23.608675003051758,30.875,31.0625,30.78125,30.96875,931400
2000-02-07,23.369720458984375,30.5625,31.0,30.1875,31.0,968800
2000-02-08,23.51308822631836,30.75,31.21875,30.46875,30.5625,1422400
2000-02-09,23.369720458984375,30.5625,30.625,30.15625,30.625,1264000
2000-02-10,23.298025131225586,30.46875,30.875,30.28125,30.3125,1219200
2000-02-11,22.891807556152344,29.9375,30.53125,29.84375,30.46875,972000
2000-02-14,22.82011604309082,29.84375,30.0625,29.71875,29.90625,596800
2000-02-15,23.08296775817871,30.1875,30.4375,29.25,30.3125,767800
2000-02-16,22.796215057373047,29.8125,30.1875,29.25,30.125,600400
2000-02-17,22.676755905151367,29.65625,30.0625,29.0,29.6875,596000
2000-02-18,22.72454071044922,29.71875,29.9375,29.40625,29.40625,1009400
2000-02-22,22.748435974121094,29.75,29.90625,29.25,29.5,925800
2000-02-23,22.867921829223633,29.90625,31.0,29.5,29.75,1117200
2000-02-24,23.08296775817871,30.1875,30.5625,29.5,29.78125,2898000
2000-02-25,22.7723388671875,29.78125,30.6875,29.78125,30.1875,1461800
2000-02-28,23.298025131225586,30.46875,30.84375,29.90625,29.90625,922800
2000-02-29,23.321929931640625,30.5,30.84375,30.25,30.25,1211800
2000-03-01,22.60506248474121,29.5625,30.15625,28.75,30.0625,1205400
2000-03-02,22.031570434570312,28.8125,29.8125,28.8125,29.78125,985400
2000-03-03,22.557279586791992,29.5,30.15625,28.8125,28.8125,1654600
2000-03-06,22.055471420288086,28.84375,29.59375,28.8125,29.5625,1059600
2000-03-07,21.529781341552734,28.15625,29.0,28.03125,28.84375,809400
2000-03-08,21.48651123046875,27.9375,28.3125,27.4375,27.59375,1558800
2000-03-09,20.717416763305664,26.9375,27.4375,26.625,27.125,1510200
