Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VST,VST,VST,VST,VST,VST
Date,,,,,,
2016-10-05,11.449797630310059,15.5,16.5,15.5,16.0,569700
2016-10-06,11.634471893310547,15.75,15.899999618530273,15.5,15.5,264900
2016-10-07,11.745278358459473,15.899999618530273,15.899999618530273,15.699999809265137,15.899999618530273,110900
2016-10-10,11.819146156311035,16.0,25.239999771118164,15.899999618530273,15.949999809265137,6300
2016-10-11,12.077689170837402,16.350000381469727,16.5,16.0,16.100000381469727,158400
2016-10-12,12.077689170837402,16.350000381469727,17.0,16.0,16.350000381469727,160500
2016-10-13,11.89301586151123,16.100000381469727,16.5,16.0,16.5,265800
2016-10-14,11.89301586151123,16.100000381469727,16.100000381469727,16.049999237060547,16.049999237060547,45500
2016-10-17,11.89301586151123,16.100000381469727,16.149999618530273,16.100000381469727,16.149999618530273,20600
2016-10-18,11.819146156311035,16.0,16.139999389648438,15.960000038146973,16.139999389648438,464300
2016-10-19,11.811758995056152,15.989999771118164,16.0,15.75,15.75,140400
2016-10-20,11.745278358459473,15.899999618530273,16.0,15.75,15.899999618530273,653900
2016-10-21,11.5975341796875,15.699999809265137,15.800000190734863,15.5,15.649999618530273,27500
2016-10-24,11.582761764526367,15.680000305175781,15.75,15.5,15.75,130300
2016-10-25,11.508893966674805,15.579999923706055,15.579999923706055,15.25,15.510000228881836,6200
2016-10-26,11.412860870361328,15.449999809265137,15.5,15.350000381469727,15.5,52300
2016-10-27,11.228189468383789,15.199999809265137,15.350000381469727,15.15999984741211,15.350000381469727,271100
2016-10-28,11.228189468383789,15.199999809265137,15.449999809265137,15.0,15.199999809265137,2185200
2016-10-31,11.228189468383789,15.199999809265137,15.25,15.0,15.25,25900
2016-11-01,11.080450057983398,15.0,15.0,14.899999618530273,15.0,11800
2016-11-02,10.046273231506348,13.600000381469727,14.800000190734863,13.5,14.800000190734863,9900
2016-11-03,10.046273231506348,13.600000381469727,13.800000190734863,13.600000381469727,13.75,122300
2016-11-04,10.341752052307129,14.0,14.0,13.600000381469727,13.600000381469727,603600
2016-11-07,10.415620803833008,14.100000381469727,14.25,14.100000381469727,14.100000381469727,2300
2016-11-08,10.489490509033203,14.199999809265137,14.25,13.899999618530273,14.0,335100
2016-11-09,10.378686904907227,14.050000190734863,14.149999618530273,13.899999618530273,13.899999618530273,106300
2016-11-10,10.511651039123535,14.229999542236328,14.229999542236328,14.100000381469727,14.100000381469727,2629000
2016-11-11,10.866223335266113,14.710000038146973,14.899999618530273,14.399999618530273,14.399999618530273,13400
2016-11-14,10.63723087310791,14.399999618530273,14.949999809265137,14.399999618530273,14.699999809265137,121500
2016-11-15,10.578139305114746,14.319999694824219,14.449999809265137,14.319999694824219,14.399999618530273,798600
2016-11-16,10.415620803833008,14.100000381469727,14.350000381469727,14.100000381469727,14.350000381469727,65600
2016-11-17,10.378686904907227,14.050000190734863,14.100000381469727,14.0,14.100000381469727,60400
2016-11-18,10.415620803833008,14.100000381469727,14.149999618530273,13.899999618530273,14.100000381469727,728700
2016-11-21,10.341752052307129,14.0,14.039999961853027,14.0,14.0,28000
2016-11-22,10.378686904907227,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,100000
2016-11-23,10.341752052307129,14.0,14.0,14.0,14.0,50000
2016-11-25,10.341752052307129,14.0,14.0,14.0,14.0,0
2016-11-28,10.452556610107422,14.149999618530273,14.149999618530273,14.050000190734863,14.050000190734863,500
2016-11-29,10.15707778930664,13.75,14.149999618530273,13.75,14.149999618530273,124600
2016-11-30,10.304818153381348,13.949999809265137,13.949999809265137,13.800000190734863,13.850000381469727,291500
2016-12-01,10.312204360961914,13.960000038146973,14.010000228881836,13.960000038146973,14.010000228881836,127300
2016-12-02,10.230948448181152,13.850000381469727,13.899999618530273,13.649999618530273,13.899999618530273,18400
2016-12-05,10.674166679382324,14.449999809265137,14.5,14.0,14.149999618530273,530600
2016-12-06,11.523666381835938,15.600000381469727,15.649999618530273,15.0,15.300000190734863,925600
2016-12-07,11.449797630310059,15.5,15.600000381469727,15.449999809265137,15.579999923706055,523700
2016-12-08,11.745278358459473,15.899999618530273,16.0,15.5,15.550000190734863,625800
2016-12-09,12.1146240234375,16.399999618530273,16.549999237060547,15.899999618530273,16.0,588400
2016-12-12,12.003822326660156,16.25,16.5,16.25,16.5,982700
2016-12-13,11.989045143127441,16.229999542236328,16.299999237060547,16.149999618530273,16.299999237060547,2901100
2016-12-14,12.025979042053223,16.280000686645508,16.299999237060547,16.0,16.19499969482422,2399400
2016-12-15,12.224115371704102,14.1899995803833,14.279999732971191,14.0,14.0,1151700
2016-12-16,12.112128257751465,14.0600004196167,14.199999809265137,14.0600004196167,14.1899995803833,70800
2016-12-19,12.258573532104492,14.229999542236328,14.229999542236328,13.960000038146973,14.100000381469727,1242500
2016-12-20,12.36195182800293,14.350000381469727,14.399999618530273,14.199999809265137,14.220000267028809,1128700
2016-12-21,12.36195182800293,14.350000381469727,14.4399995803833,14.300000190734863,14.380000114440918,607400
2016-12-22,12.310262680053711,14.289999961853027,14.449999809265137,14.239999771118164,14.350000381469727,525600
2016-12-23,12.392102241516113,14.385000228881836,14.399999618530273,14.220000267028809,14.25,35100
2016-12-27,12.921900749206543,15.0,15.029999732971191,14.449999809265137,14.449999809265137,149200
2016-12-28,12.921900749206543,15.0,15.25,14.949999809265137,15.010000228881836,121400
2016-12-29,13.352629661560059,15.5,15.600000381469727,15.0,15.0,414800
2016-12-30,13.352629661560059,15.5,15.800000190734863,15.460000038146973,15.5,72200
