Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WST,WST,WST,WST,WST,WST
Date,,,,,,
2000-01-03,5.418286323547363,7.5625,7.71875,7.5625,7.71875,29200
2000-01-04,5.474262237548828,7.640625,7.6875,7.59375,7.6875,555600
2000-01-05,5.451870918273926,7.609375,7.671875,7.5625,7.65625,222400
2000-01-06,5.395898818969727,7.53125,7.65625,7.5,7.625,97600
2000-01-07,5.451870918273926,7.609375,7.65625,7.53125,7.53125,86400
2000-01-10,5.563818454742432,7.765625,7.796875,7.625,7.625,92400
2000-01-11,5.407090663909912,7.546875,7.75,7.546875,7.734375,46800
2000-01-12,5.440675258636475,7.59375,7.59375,7.515625,7.515625,116800
2000-01-13,5.530233383178711,7.71875,7.75,7.59375,7.59375,69600
2000-01-14,5.459540843963623,7.578125,7.640625,7.53125,7.640625,149600
2000-01-18,5.4820556640625,7.609375,7.625,7.578125,7.59375,104000
2000-01-19,5.493311882019043,7.625,7.625,7.546875,7.546875,244800
2000-01-20,5.470798015594482,7.59375,7.609375,7.5625,7.59375,93600
2000-01-21,5.493311882019043,7.625,7.640625,7.59375,7.59375,144000
2000-01-24,5.470798015594482,7.59375,7.65625,7.59375,7.609375,114400
2000-01-25,5.707188129425049,7.921875,7.921875,7.578125,7.578125,307600
2000-01-26,5.695932865142822,7.90625,7.921875,7.890625,7.921875,5200
2000-01-27,5.560852527618408,7.71875,7.890625,7.71875,7.890625,37600
2000-01-28,5.59462308883667,7.765625,7.84375,7.703125,7.703125,294400
2000-01-31,5.572106838226318,7.734375,7.78125,7.65625,7.765625,181200
2000-02-01,5.617135047912598,7.796875,7.796875,7.734375,7.75,233600
2000-02-02,5.504570960998535,7.640625,7.796875,7.625,7.796875,20400
2000-02-03,5.40325927734375,7.5,7.65625,7.5,7.65625,63200
2000-02-04,5.36948823928833,7.453125,7.46875,7.453125,7.46875,14800
2000-02-07,5.538339614868164,7.6875,7.6875,7.453125,7.453125,97200
2000-02-08,5.662163257598877,7.859375,7.90625,7.71875,7.71875,118400
2000-02-09,5.65090799331665,7.84375,7.875,7.84375,7.859375,12400
2000-02-10,5.707188129425049,7.921875,7.96875,7.8125,7.828125,216000
2000-02-11,5.583365440368652,7.75,7.875,7.75,7.875,101600
2000-02-14,5.6846771240234375,7.890625,7.890625,7.6875,7.75,350000
2000-02-15,5.110581398010254,7.09375,7.28125,5.75,5.75,1554000
2000-02-16,5.043040752410889,7.0,7.0625,7.0,7.0625,37200
2000-02-17,5.245664596557617,7.28125,7.28125,7.0625,7.078125,123200
2000-02-18,5.144350528717041,7.140625,7.25,7.140625,7.25,33200
2000-02-22,5.009270668029785,6.953125,7.140625,6.828125,7.140625,284000
2000-02-23,5.009270668029785,6.953125,6.953125,6.921875,6.921875,33200
2000-02-24,4.795391082763672,6.65625,6.953125,6.484375,6.953125,149600
2000-02-25,4.795391082763672,6.65625,6.65625,6.46875,6.640625,134400
2000-02-28,4.9529852867126465,6.875,6.9375,6.59375,6.65625,106000
2000-02-29,5.301945686340332,7.359375,7.359375,6.875,6.875,187600
2000-03-01,5.234405040740967,7.265625,7.625,7.25,7.359375,81200
2000-03-02,5.065552711486816,7.03125,7.25,7.0,7.25,79200
2000-03-03,4.941730499267578,6.859375,7.0625,6.859375,7.0625,19200
2000-03-06,5.009270668029785,6.953125,6.96875,6.765625,6.84375,48400
2000-03-07,4.998013496398926,6.9375,7.0,6.9375,6.953125,44400
2000-03-08,4.964241981506348,6.890625,6.96875,6.75,6.9375,115200
2000-03-09,4.885446548461914,6.78125,6.875,6.75,6.875,28000
2000-03-10,4.750363349914551,6.59375,6.8125,6.59375,6.8125,50000
2000-03-13,4.649052143096924,6.453125,6.65625,6.453125,6.65625,72800
2000-03-14,4.660306453704834,6.46875,6.46875,6.34375,6.46875,230800
2000-03-15,4.705337047576904,6.53125,6.5625,6.453125,6.46875,41200
2000-03-16,4.930472373962402,6.84375,6.84375,6.546875,6.546875,68800
2000-03-17,4.885446548461914,6.78125,6.8125,6.6875,6.78125,82400
2000-03-20,4.829160213470459,6.703125,6.8125,6.703125,6.8125,32400
2000-03-21,4.885446548461914,6.78125,6.78125,6.625,6.65625,34800
2000-03-22,4.795391082763672,6.65625,6.75,6.65625,6.75,31200
2000-03-23,4.761621952056885,6.609375,6.65625,6.59375,6.65625,38000
2000-03-24,4.716594696044922,6.546875,6.59375,6.546875,6.59375,65600
2000-03-27,4.73910665512085,6.578125,6.578125,6.4375,6.5,174000
2000-03-28,4.716594696044922,6.546875,6.609375,6.546875,6.578125,81200
2000-03-29,4.570254325866699,6.34375,6.4375,6.28125,6.40625,105200
2000-03-30,4.784134864807129,6.640625,6.640625,6.3125,6.3125,131200
2000-03-31,4.558998107910156,6.328125,6.765625,6.328125,6.609375,390400
2000-04-03,4.412662029266357,6.125,6.375,6.125,6.359375,204400
2000-04-04,4.367635726928711,6.0625,6.109375,5.96875,6.109375,187200
2000-04-05,4.457686424255371,6.1875,6.25,6.03125,6.03125,104400
2000-04-06,4.390147686004639,6.09375,6.234375,6.078125,6.1875,136000
2000-04-07,4.345118522644043,6.03125,6.140625,6.03125,6.125,31600
2000-04-10,4.198781967163086,5.828125,6.03125,5.828125,6.03125,89600
2000-04-11,4.131239891052246,5.734375,5.859375,5.71875,5.859375,106400
2000-04-12,4.187525749206543,5.8125,5.828125,5.71875,5.734375,188800
2000-04-13,4.232553005218506,5.875,5.890625,5.75,5.828125,231200
2000-04-14,4.266321659088135,5.921875,5.96875,5.875,5.90625,79600
2000-04-17,4.353854179382324,6.0,6.0,5.828125,5.890625,30400
2000-04-18,4.512587547302246,6.21875,6.25,5.96875,5.96875,111600
2000-04-19,4.444558620452881,6.125,6.1875,6.0,6.1875,88000
2000-04-20,4.387866973876953,6.046875,6.140625,6.03125,6.140625,249600
2000-04-24,4.399205207824707,6.0625,6.0625,6.03125,6.046875,50400
2000-04-25,4.4672346115112305,6.15625,6.15625,6.0,6.03125,220000
2000-04-26,4.399205207824707,6.0625,6.15625,6.0625,6.15625,28800
2000-04-27,4.4672346115112305,6.15625,6.15625,6.09375,6.09375,15200
2000-04-28,4.433220863342285,6.109375,6.15625,6.046875,6.15625,64800
2000-05-01,4.399205207824707,6.0625,6.109375,6.015625,6.09375,70800
2000-05-02,4.26314640045166,5.875,6.046875,5.875,6.046875,408800
2000-05-03,4.161105632781982,5.734375,5.890625,5.734375,5.890625,190000
2000-05-04,4.26314640045166,5.875,5.890625,5.78125,5.78125,96000
2000-05-05,4.251809597015381,5.859375,5.875,5.8125,5.8125,38400
2000-05-08,4.26314640045166,5.875,5.90625,5.875,5.890625,96000
2000-05-09,4.206455230712891,5.796875,5.90625,5.796875,5.875,16400
2000-05-10,4.1044135093688965,5.65625,5.78125,5.640625,5.78125,88800
2000-05-11,4.274485111236572,5.890625,5.9375,5.71875,5.71875,108000
2000-05-12,4.285822868347168,5.90625,5.921875,5.859375,5.890625,129200
2000-05-15,4.26314640045166,5.875,5.90625,5.859375,5.90625,29600
2000-05-16,4.274485111236572,5.890625,5.921875,5.890625,5.90625,64800
2000-05-17,4.229132652282715,5.828125,5.875,5.828125,5.859375,77600
2000-05-18,4.229132652282715,5.828125,5.84375,5.796875,5.828125,106800
2000-05-19,4.195116996765137,5.78125,5.828125,5.78125,5.828125,95200
2000-05-22,4.172440528869629,5.75,5.796875,5.71875,5.78125,55600
2000-05-23,4.161105632781982,5.734375,5.75,5.71875,5.734375,308800
2000-05-24,4.217794895172119,5.8125,5.8125,5.71875,5.734375,88000
2000-05-25,4.26314640045166,5.875,5.890625,5.84375,5.84375,45200
2000-05-26,4.26314640045166,5.875,5.890625,5.875,5.875,111600
2000-05-30,4.240470886230469,5.84375,5.84375,5.796875,5.8125,38000
2000-05-31,4.26314640045166,5.875,5.984375,5.828125,5.828125,42800
2000-06-01,4.285822868347168,5.90625,5.90625,5.875,5.875,236800
2000-06-02,4.353854179382324,6.0,6.0,5.9375,5.9375,232400
2000-06-05,4.30850076675415,5.9375,5.96875,5.9375,5.96875,99600
2000-06-06,4.30850076675415,5.9375,5.96875,5.9375,5.9375,136800
2000-06-07,4.30850076675415,5.9375,5.9375,5.90625,5.9375,225200
2000-06-08,4.297161102294922,5.921875,5.921875,5.90625,5.90625,166000
2000-06-09,4.319838523864746,5.953125,5.96875,5.90625,5.90625,158400
2000-06-12,4.297161102294922,5.921875,5.96875,5.90625,5.96875,99600
